S. No ,Tower No,Joint Box,Supspension / Tenion,Tower type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),,Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain /Hilly / Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
84,82,,S,A+0,28,81-82,278,2.72,FALSE,93.711929,,9.976919928,78.58540801,GOOD,GOOD,"LT, 66KV ",,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.58540800555322 9.976919927612936, 78.58314204185581 9.975771942068814)"
85,83,,S,A+0,28,82-83,282,1.22,FALSE,93.714912,,9.975771942,78.58314204,GOOD,GOOD,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.58314204185581 9.975771942068814, 78.5807329990717 9.974565953748963)"
86,84,,S,A+0,28,83-84,299,6.25,FALSE,95.44175,,9.974565954,78.580733,GOOD,GOOD,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.5807329990717 9.974565953748963, 78.5784340106759 9.973446885768684)"
87,85,,S,A+0,28,84-85,283,0.99,FALSE,96.80101,,9.973446886,78.57843401,GOOD,GOOD,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.5784340106759 9.973446885768684, 78.5762269717577 9.97230594102491)"
88,86,,S,A+0,28,85-86,276,0.09,FALSE,99.470749,,9.972305941,78.57622697,GOOD,GOOD,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.5762269717577 9.97230594102491, 78.57496901573307 9.971733959903887)"
89,87 LILO,3W,T,B+0,26,86-87 LILO,154,0.24,FALSE,99.039162,5°21'31''RT,9.97173396,78.57496902,GOOD,GOOD,,,LILO,LILO AT MADAGUPATTY TAPPING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.57496901573307 9.971733959903887, 78.5737719961444 9.971048906911818)"
90,88,,S,A+0,28,87 LILO-88,154,0.04,FALSE,97.695488,,9.971048907,78.573772,GOOD,GOOD,66KV,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.5737719961444 9.971048906911818, 78.57147401357709 9.969896898051646)"
91,89,,S,A+0,28,88-89,285,0.51,FALSE,97.05616,,9.969896898,78.57147401,GOOD,GOOD,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.57147401357709 9.969896898051646, 78.56937803487565 9.968822924717134)"
92,90,,T,D+0,26,89-90,261,0.3,FALSE,94.809616,25°37'37''RT,9.968822925,78.56937803,GOOD,GOOD,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.56937803487565 9.968822924717134, 78.56785403724524 9.966820907094492)"
93,91,,S,A+0,28,90-91,280,0.08,FALSE,89.758987,,9.966820907,78.56785404,GOOD,GOOD,,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.56785403724524 9.966820907094492, 78.56636197466574 9.96474596691513)"
94,92,,S,A+0,28,91-92,284,0.81,FALSE,88.193153,,9.964745967,78.56636197,GOOD,GOOD,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.56636197466574 9.96474596691513, 78.56462499287633 9.96237196042267)"
95,93,,S,A+0,28,92-93,327,3.11,FALSE,87.431717,,9.96237196,78.56462499,GOOD,GOOD,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.56462499287633 9.96237196042267, 78.56298096639277 9.960067942825107)"
96,94,,S,A+0,28,93-94,315,0.54,FALSE,87.795143,,9.960067943,78.56298097,GOOD,GOOD,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.56298096639277 9.960067942825107, 78.5619270258909 9.958616951531964)"
97,95,,S,A+0,28,94-95,200,0.43,FALSE,86.752686,,9.958616952,78.56192703,GOOD,GOOD,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.5619270258909 9.958616951531964, 78.56077099380873 9.957011900855509)"
98,96,,S,A+0,28,95-96,221,0.17,FALSE,86.839676,,9.957011901,78.56077099,GOOD,GOOD,2 LT LINES,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.56077099380873 9.957011900855509, 78.55956399975538 9.955304926234541)"
99,97,,T,C+0,26,96-97,233,0.1,FALSE,86.670341,19°18'34''RT,9.955304926,78.559564,GOOD,GOOD,11 KV,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.55956399975538 9.955304926234541, 78.55804997658967 9.954227935438668)"
100,98,2W,T,D+0,26,97-98,207,3.3,FALSE,87.710495,50°53'16''RT,9.954227935,78.55804998,GOOD,GOOD,2 LT LINES,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.55804997658967 9.954227935438668, 78.55570798903095 9.954859930834385)"
101,99,,S,A+0,28,98-99,269,2.59,FALSE,87.334152,,9.954859931,78.55570799,GOOD,GOOD,,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.55570798903095 9.954859930834385, 78.55275697238946 9.95563190398505)"
102,100,,S,A+0,28,99-100,337,2.61,FALSE,88.0438,,9.955631904,78.55275697,GOOD,GOOD,,ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.55275697238946 9.95563190398505, 78.55017903425706 9.956351909352648)"
103,101,,S,A+0,28,100-101,296,5.12,FALSE,89.44767,,9.956351909,78.55017903,GOOD,GOOD,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.55017903425706 9.956351909352648, 78.54750001037277 9.95710091609977)"
104,102,,T,D+0,26,101-102,308,0.83,FALSE,91.697212,52°46'37''RT,9.957100916,78.54750001,GOOD,GOOD,LT,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.54750001037277 9.95710091609977, 78.54565599168025 9.955721925319775)"
105,103,,S,A+0,28,102-103,256,0.03,FALSE,90.448776,,9.955721925,78.54565599,GOOD,GOOD,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.54565599168025 9.955721925319775, 78.54391599240579 9.954419964233717)"
106,104,,S,A+0,28,103-104,242,0.11,FALSE,91.116226,,9.954419964,78.54391599,GOOD,GOOD,,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.54391599240579 9.954419964233717, 78.54173803869188 9.952779960976061)"
107,105,,S,A+0,28,104-105,303,0.37,FALSE,92.477585,,9.952779961,78.54173804,GOOD,GOOD,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.54173803869188 9.952779960976061, 78.53947702031779 9.951081954944607)"
108,106,,S,A+0,28,105-106,314,1.34,FALSE,91.905861,,9.951081955,78.53947702,GOOD,GOOD,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.53947702031779 9.951081954944607, 78.53728003968378 9.949439940028698)"
109,107,,S,A+0,28,106-107,304,1.73,FALSE,94.449791,,9.94943994,78.53728004,GOOD,GOOD,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.53728003968378 9.949439940028698, 78.53478198108873 9.947538924293804)"
110,108,,S,A+0,28,107-108,348,4.27,FALSE,95.333076,,9.947538924,78.53478198,GOOD,GOOD,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.53478198108873 9.947538924293804, 78.53232700547592 9.945717955734576)"
111,109,,S,A+0,28,108-109,339,0.06,FALSE,98.24514,,9.945717956,78.53232701,GOOD,GOOD,,ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.53232700547592 9.945717955734576, 78.53127901612534 9.944857888609306)"
112,110 LILO,3W,T,DB+0,26,109-110 LILO,152,4.14,FALSE,99.442169,5°41'29''RT,9.944857889,78.53127902,GOOD,GOOD,"66KV, 11KV",,Plain,LILO AT KALAYARKOIL SPUR LINE LOOPING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.53127901612534 9.944857888609306, 78.53006598710193 9.944048951086577)"
113,111,,S,A+0,28,110 LILO-111,163,0.09,FALSE,101.754143,,9.944048951,78.53006599,GOOD,GOOD,33KV,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.53006598710193 9.944048951086577, 78.5277400089786 9.942349939223394)"
114,112,,S,A+0,28,111-112,319,1.22,FALSE,101.442383,,9.942349939,78.52774001,GOOD,GOOD,,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.5277400089786 9.942349939223394, 78.52549500003963 9.940703900990332)"
115,113,,S,A+0,28,112-113,309,0.54,FALSE,101.6278,,9.940703901,78.525495,GOOD,GOOD,3 LT LINES,ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.52549500003963 9.940703900990332, 78.52311403663168 9.938950909667868)"
116,114,,S,A+0,28,113-114,328,2.25,FALSE,102.742912,,9.93895091,78.52311404,GOOD,GOOD,3 LT LINES,ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.52311403663168 9.938950909667868, 78.520818987731 9.937289951645326)"
117,115,,S,A+0,28,114-115,314,4.31,FALSE,102.847099,,9.937289952,78.52081899,GOOD,GOOD,LT,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.520818987731 9.937289951645326, 78.51865897129007 9.935705939498197)"
118,116,,T,C+0,26,115-116,297,3.62,FALSE,101.800804,27°59'32''RT,9.935705939,78.51865897,GOOD,GOOD,LT,ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.51865897129007 9.935705939498197, 78.51756404328208 9.933431929134667)"
119,117,,S,A+0,28,116-117,281,0.47,FALSE,102.427635,,9.933431929,78.51756404,GOOD,GOOD,11 KV,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.51756404328208 9.933431929134667, 78.51647699426306 9.931146938478529)"
120,118,,S,A+0,28,117-118,282,0.04,FALSE,104.774323,,9.931146938,78.51647699,GOOD,GOOD,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.51647699426306 9.931146938478529, 78.51540100935611 9.928923890085956)"
121,119,,S,A+0,28,118-119,275,0.12,FALSE,106.217392,,9.92892389,78.51540101,GOOD,GOOD,66KV,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.51540100935611 9.928923890085956, 78.5143210011358 9.926677959098242)"
122,120,,S,A+0,28,119-120,278,4.05,FALSE,106.848541,,9.926677959,78.514321,GOOD,GOOD,LT,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.5143210011358 9.926677959098242, 78.51322096016682 9.924459939847576)"
123,121,,T,D+0,26,120-121,276,5.35,FALSE,103.184135,65°44'9''RT,9.92445994,78.51322096,GOOD,GOOD,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.51322096016682 9.924459939847576, 78.51413299504834 9.92283393450295)"
124,122,2W,T,D+0,26,121-122,208,0.32,FALSE,104.089493,67°0'55''LT,9.922833935,78.514133,GOOD,GOOD,66 KV,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.51413299504834 9.92283393450295, 78.51306597877786 9.920917915222729)"
125,123,,S,A+0,28,122-123,245,0.57,FALSE,103.094933,,9.920917915,78.51306598,GOOD,GOOD,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.51306597877786 9.920917915222729, 78.51158196282587 9.918262947344749)"
126,124,,S,A+0,28,123-124,338,1.94,FALSE,101.451775,,9.918262947,78.51158196,GOOD,GOOD,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.51158196282587 9.918262947344749, 78.5100869665807 9.915645949487535)"
127,125,,S,A+0,28,124-125,335,1.06,FALSE,101.816383,,9.915645949,78.51008697,GOOD,GOOD,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.5100869665807 9.915645949487535, 78.50869900723872 9.913154931638381)"
128,126,,S,A+0,28,125-126,317,7.22,FALSE,100.338074,,9.913154932,78.50869901,GOOD,GOOD,11KV,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.50869900723872 9.913154931638381, 78.50726796491472 9.910608928503418)"
129,127,,S,A+0,28,126-127,325,0.66,FALSE,101.97599,,9.910608929,78.50726796,GOOD,GOOD,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.50726796491472 9.910608928503418, 78.50588402888624 9.908163927302397)"
130,128,,S,A+0,28,127-128,313,1.85,FALSE,104.30072,,9.908163927,78.50588403,GOOD,GOOD,,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.50588402888624 9.908163927302397, 78.50451098933196 9.905765948578956)"
131,129,,S,A+0,28,128-129,308,5.9,FALSE,105.929741,,9.905765949,78.50451099,GOOD,GOOD,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.50451098933196 9.905765948578956, 78.50309503443353 9.903308961254774)"
132,130,,S,A+0,28,129-130,316,0.13,FALSE,106.599091,,9.903308961,78.50309503,GOOD,GOOD,LT,ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.50309503443353 9.903308961254774, 78.50181201712941 9.901080803028755)"
133,131,,S,A+0,28,130-131,286,0.68,FALSE,106.473778,,9.901080803,78.50181202,GOOD,GOOD,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.50181201712941 9.901080803028755, 78.50070099525702 9.899122954912489)"
134,132,,S,A+0,28,131-132,251,0.04,FALSE,108.969254,,9.899122955,78.500701,GOOD,GOOD,LT,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.50070099525702 9.899122954912489, 78.49945502535448 9.896925890412282)"
135,133,,S,A+0,28,132-133,281,0.03,FALSE,108.93998,,9.89692589,78.49945503,GOOD,GOOD,LT,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.49945502535448 9.896925890412282, 78.49814099439836 9.89460091806655)"
136,134,,S,A+0,28,133-134,297,5.36,FALSE,109.631058,,9.894600918,78.49814099,GOOD,GOOD,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.49814099439836 9.89460091806655, 78.49687901506078 9.89232891935118)"
137,135,,T,D+0,26,134-135,290,5.35,FALSE,110.895821,45°56'34''RT,9.892328919,78.49687902,GOOD,GOOD,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.49687901506078 9.89232891935118, 78.49638196820418 9.892194892697434)"
138,136,2W,T,D+0,26,135-136,59,2.36,FALSE,110.888733,60°22'54''RT,9.892194893,78.49638197,GOOD,GOOD,66KV,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.49638196820418 9.892194892697434, 78.49565098243097 9.889372957343618)"
139,137,,S,A+0,28,136-137,325,1.1,FALSE,112.287102,,9.889372957,78.49565098,GOOD,GOOD,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.49565098243097 9.889372957343618, 78.49508696416838 9.88719491979389)"
140,138,,S,A+0,28,137-138,251,0.41,FALSE,110.996773,,9.88719492,78.49508696,GOOD,GOOD,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.49508696416838 9.88719491979389, 78.4944040067002 9.884491923646657)"
141,139,,T,D+0,26,138-139,311,0.07,FALSE,111.939461,75°18'28''RT,9.884491924,78.49440401,GOOD,GOOD,,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.4944040067002 9.884491923646657, 78.49481899472495 9.883976939538238)"
142,140,,T,D+0,26,139-140,75,0.82,FALSE,110.996895,72°40'22''RT,9.88397694,78.49481899,GOOD,GOOD,66KV,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.49481899472495 9.883976939538238, 78.49437299365877 9.881086943143341)"
143,141,,S,A+0,28,140-141,326,5.26,FALSE,108.552628,,9.881086943,78.49437299,GOOD,NO E/W,,,Plain,E/W Not Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.49437299365877 9.881086943143341, 78.49395800563407 9.8783869644931)"
144,142,,S,A+0,28,141-142,305,5.12,FALSE,110.288383,,9.878386964,78.49395801,GOOD,NO E/W,,,Plain,E/W Not Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.49395800563407 9.8783869644931, 78.49353698263918 9.875758902572306)"
145,143,,S,A+0,28,142-143,297,1.24,FALSE,110.808998,,9.875758903,78.49353698,GOOD,NO E/W,"11KV, LT",,Plain,E/W Not Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.49353698263918 9.875758902572306, 78.49310103985677 9.8729269089468)"
146,144,,S,A+0,28,143-144,320,0.87,FALSE,113.605637,,9.872926909,78.49310104,GOOD,NO E/W,LT,Village Road,Plain,E/W Not Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.49310103985677 9.8729269089468, 78.49268697384147 9.870175884507601)"
147,145,,T,D+0,26,144-145,310,1.06,FALSE,113.274223,24°59'30''RT,9.870175885,78.49268697,GOOD,NO E/W,2 LT LINES,Village Road,Plain,E/W Not Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.49268697384147 9.870175884507601, 78.49119901839514 9.867944957106923)"
148,146,,S,A+0,28,145-146,299,0.7,FALSE,111.54541,,9.867944957,78.49119902,GOOD,GOOD,LT,ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.49119901839514 9.867944957106923, 78.48989596773214 9.86582793977758)"
149,147,,S,A+0,28,146-147,277,0.25,FALSE,113.709457,,9.86582794,78.48989597,GOOD,GOOD,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.48989596773214 9.86582793977758, 78.48868503418484 9.863963888288701)"
150,148,,T,D+0,26,147-148,248,3.54,FALSE,114.313164,24°24'60''RT,9.863963888,78.48868503,GOOD,GOOD,"2- 11KV, 2 LT LINES",ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.48868503418484 9.863963888288701, 78.48664102328367 9.862657903870938)"
151,149,,T,C+0,26,148-149,269,0.04,FALSE,112.364326,33°21'40''RT,9.862657904,78.48664102,GOOD,GOOD,"4 - 33KV, 11 KV, 3 LT LINES",SIVAGANGAI - KARAKUDI NH,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.48664102328367 9.862657903870938, 78.48602998254445 9.861286959770043)"
152,150,,T,B+0,26,149-150,168,0.02,FALSE,110.568489,5°48'51''RT,9.86128696,78.48602998,GOOD,GOOD,2 LT LINES,ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.48602998254445 9.861286959770043, 78.48592202363197 9.861098953678002)"
153,SIVAGANGAI GANTRY,2W,T,GANTRY,12,150-SIVAGANGAI GANTRY,26,,FALSE,111.3004,,9.861098954,78.48592202,GOOD,NO E/W,11KV,ROAD,Plain,E/W Not Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Length,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note    :  ,1.  Shut down will be required in where earth wires are missing.,,,,,,,,,,,,,,,,,,,,:,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2. From Gantry at Karakudi S/S to TN - 8 section is common for 110kV Karakudi - Sivagangai & Karakudi - K.Thirupathur Link . So It is recommended to prepare 96F OPGW at this section,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,No of Suspension Tower ( A)                    ,,,,,:,112,No,,,"No of Tension Tower      ( B,C & D)       ",,,:,36 No,No of H-Pole  & Gantry                                           ,,:,4 No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Earthwire Missing Locations  (17 Span)  ,,,,,:,"Karakudi Gantry-1,  2 - 4H, 35 -43, 140 - 145 & 150 - Sivagangai Gantry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
For M/S STERLITE POWER TRANSMISSION LIMITED,,,,,,,,,,,,,,For M/S TANTRANSCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
