S.No,Tower No.,Joint box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1, 18/1,3W,T,DC,26,,,2.44,FALSE,134.942932,,9.888583333,78.11844444,GOOD,,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.11844444444444 9.888583333333333, 78.11797222222222 9.887194444444445)"
2, 18/2,,T,DC,26, 18/1- 18/2,162.8150955,1.68,FALSE,135.764099,"30°54'19"" R",9.887194444,78.11797222,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.11797222222222 9.887194444444445, 78.11691666666665 9.886305555555555)"
3, 18/3,,T,DC,26, 18/2- 18/3,151.5844834,1.87,FALSE,134.050522,"59°41'14"" L",9.886305556,78.11691667,GOOD,Available,LT -2No,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.11691666666665 9.886305555555555, 78.11694444444444 9.886166666666666)"
4,Gantry (Avaniyapuram SS),2W,Gantry,H-POLE,12, 18/3-Gantry ,24,,,135.8582,,9.886166667,78.11694444,GOOD,NO E/W,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note : 1 . Shut down will be required in where earth wier are missing ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
