,Tower No,Joint Box,Type,Supspension/ Tenion,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts, broken, etc)","Condition of Earht wire (Missing, Broken etc)",GROUND EARTH AVAILABLE,Crossing Objects,,,Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,T.NO-1 LILO 110KV ALANKULAM,3W,DA,T,26,,,4.03,108,,8.93007326,77.4976268,GOOD,,NO,,,CULTIVATION,NEED 3 WAY JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4976268 8.93007326, 77.49742236 8.92807748)"
2,T.NO-2,,DB,T,24,01-Feb,221.9954954,3.12,108,"10°12'50.94""",8.92807748,77.49742236,GOOD,GOOD,NO,11KV,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.49742236 8.92807748, 77.49670571 8.92559716)"
3,T.NO-3,,DA,S,26,02-Mar,285.5766097,2.27,102,,8.92559716,77.49670571,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.49670571 8.92559716, 77.49602549 8.92312562)"
4,T.NO-4,,DA,S,26,03-Apr,283.5577543,2.93,100,,8.92312562,77.49602549,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.49602549 8.92312562, 77.49528062 8.92050089)"
5,T.NO-5,,DA,S,26,04-May,301.7962889,3.72,100,,8.92050089,77.49528062,GOOD,GOOD,NO,LT,"MUDROAD,NALA",CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.49528062 8.92050089, 77.49460018 8.9179932)"
6,T.NO-6,,DA,S,32,05-Jun,287.4247728,1.74,102,,8.9179932,77.49460018,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.49460018 8.9179932, 77.49395733 8.91566599)"
7,T.NO-7 TAPPING KANARPATTI,3W,DB,T,33,06-Jul,267.0674072,2.12,106,"0°8'47.02""",8.91566599,77.49395733,GOOD,GOOD,NO,LT,"RIVER,MUDROAD",CULTIVATION,"NEED 3WAY JUNCTION BOX.2EARTH WIRE ON THIS TOWER.1 IS CONTINUE TO OUR T.NO-8,ANOTHER EARTH WIRE CONNECT TO KANARPATTI TOWER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.49395733 8.91566599, 77.49328637 8.91321245)"
8,T.NO-8,,DA,S,29,07-Aug,281.3680863,1.28,106,,8.91321245,77.49328637,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.49328637 8.91321245, 77.49269014 8.91105662)"
9,T.NO-9,,DB,T,30,08-Sep,247.4206944,3.8,113,"0°12'30.09""",8.91105662,77.49269014,GOOD,GOOD,NO,"LT,11KV",,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.49269014 8.91105662, 77.49198187 8.90845873)"
10,T.NO-10,,DA,S,29,09-Oct,297.8590271,AT PRESENT WATER,113,,8.90845873,77.49198187,GOOD,GOOD,NO,,"TAAR ROAD,POND",INSIDE POND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.49198187 8.90845873, 77.49134767 8.90605916)"
