SL.NO,TOWER NO,Tower Suspension/ Tension,DIVATION OF  ANGLE ('),TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER LENGTH (Mtrs),SPAN LENGTH (Mtrs),EARTH FOOTING RESIDENCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,"CONDITION OF TOWER (Missing parts, broken etc)",CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING OBJECTS,,CONDITION OF AREA ( Plain/Hills/Forest/Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
19,19,T,"45°46'00""LT",KC+3,27,T18-T19,64.51845804103789,2.65,15,8.303162317,77.17448551,NORMAL,AVAILABLE,11KV Line,Road,Agri Land,"road,11 kv,4 fencing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.17448551 8.303162317, 77.17574682 8.302611236)"
20,20,T,"36°09'26""LT",KC,24,T19-T20,151.7725287658659,2.53,17,8.302611236,77.17574682,NORMAL,AVAILABLE,,,Agri Land,4 Nos  fencing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.17574682 8.302611236, 77.17744834 8.302986111)"
21,21,T,"45°07'55""LT",KC,24,T20-T21,192.03097104379088,2.82,21,8.302986111,77.17744834,NORMAL,AVAILABLE,"11Kv line, 33KV Line",,Agri Land,"11 kv line,4 fence,Road,33 kv line",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.17744834 8.302986111, 77.17798344 8.303826119)"
22,22,T,"42°04'36""RT",KC,24,T21-T22,110.06073387454776,2.71,22,8.303826119,77.17798344,NORMAL,AVAILABLE,,,Agri Land,2nos fencing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.17798344 8.303826119, 77.17920016 8.30416284)"
23,23,T,"19°59'36""LT",HC+3,24.94,T22-T23,139.15512660691064,2.59,19,8.30416284,77.17920016,NORMAL,AVAILABLE,"LT LINE, 11KV Line",Road,Agri Land,"Road,2 Nos 11 kv line, Lt Line",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.17920016 8.30416284, 77.18123495 8.30560962)"
24,24,T,"20°10'31""RT",HC+3,24.94,T23-T24,275.4924016320857,2.44,13,8.30560962,77.18123495,NORMAL,AVAILABLE,,Road,Agri Land,"Road, fence-2Nos",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.18123495 8.30560962, 77.18369153 8.306281071)"
25,25,T,"11°02'37""RT",HC,21.94,T24-T25,280.7084182884552,2.85,18,8.306281071,77.18369153,NORMAL,AVAILABLE,11KV Line,,Agri Land,"11 kv Line,fencing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.18369153 8.306281071, 77.18605154 8.306457868)"
26,26,T,"64°57'23""LT",KC,24,T25-T26,260.79454503494475,2.51,18,8.306457868,77.18605154,NORMAL,AVAILABLE,,Pond,Agri Land,pond ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.18605154 8.306457868, 77.1866966 8.308154463)"
27,27,T,"79°14'53""RT",KC+3,27,T26-T27,200.70853005542608,2.72,18,8.308154463,77.1866966,NORMAL,AVAILABLE,11KV Line,Road,Agri Land,"11 kv Line ,Road",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.1866966 8.308154463, 77.18986194 8.307599064)"
28,28,T,"104°47'16""LT",KC(LILO ),24,T27-T28,354.1720806218859,2.63,17,8.307599064,77.18986194,NORMAL,AVAILABLE,,River,Agri Land,"lilo,dc line,River ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.18986194 8.307599064, 77.1898187 8.308112295)"
