S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,Gantry ( Ramarajapuram SS),2W,Gantry,H-POLE,12,,,,,208.14624,,10.08958333,77.92202778,GOOD,,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.92202777777779 10.089583333333334, 77.92225 10.08975)"
2,1,,T,DC,26,Gantry -1,29.15853691,0.18,FALSE,209.945816,"74°45'0""R",10.08975,77.92225,GOOD,NO E/W,,,Plain,Common Tower for 110 KV Achampattu - Ramarajapuram LILO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.92225 10.08975, 77.92277777777778 10.0885)"
3,2,,T,SC,22,01-Feb,149.3089001,2.46,FALSE,210.600037,"66°22'48""R",10.0885,77.92277778,GOOD,Available,"2-11KV, LT, 110KV",,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.92277777777778 10.0885, 77.92363888888889 10.0885)"
4,3,,T,SC,22,02-Mar,93.69264605,1.18,FALSE,212.016754,"80°25'48""R",10.0885,77.92363889,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.92363888888889 10.0885, 77.92383333333333 10.089666666666668)"
5,4,,T,SB,21,03-Apr,131.839768,3.06,FALSE,212.299301,"7°57'0""R",10.08966667,77.92383333,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.92383333333333 10.089666666666668, 77.9238888888889 10.091333333333333)"
6,5,,S,SA,22,04-May,182.0842724,1.21,FALSE,207.538559,,10.09133333,77.92388889,GOOD,Available,3-LT,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9238888888889 10.091333333333333, 77.92391666666667 10.092916666666667)"
7,6,,T,SC,22,05-Jun,177.6038614,1.39,FALSE,207.920975,"58°35'24""L",10.09291667,77.92391667,GOOD,Available,"2-HT,LT",,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.92391666666667 10.092916666666667, 77.92611111111111 10.094194444444446)"
8,7,,S,SA,22,06-Jul,278.7767076,1.51,FALSE,208.152206,,10.09419444,77.92611111,GOOD,Available,3-HT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.92611111111111 10.094194444444446, 77.92822222222223 10.095416666666667)"
9,8,,T,SB,21,07-Aug,267.0241754,2.64,FALSE,208.487289,"7°27'0""R",10.09541667,77.92822222,GOOD,Available,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.92822222222223 10.095416666666667, 77.92927777777778 10.096250000000001)"
10,9,,T,SB,21,08-Sep,147.5781912,1.43,FALSE,209.795334,"12°16'48""R",10.09625,77.92927778,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.92927777777778 10.096250000000001, 77.93036111111111 10.097555555555557)"
11,10,,T,SB,21,09-Oct,188.3792141,2.18,FALSE,207.858292,"5°41'24""L",10.09755556,77.93036111,GOOD,Available,"LT,HT",Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.93036111111111 10.097555555555557, 77.93202777777778 10.099166666666667)"
12,11,,S,SA,22,10-Nov,253.9571559,0.4,FALSE,206.402618,,10.09916667,77.93202778,GOOD,Available,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.93202777777778 10.099166666666667, 77.93347222222222 10.100472222222223)"
13,12,,S,SA,22,11-Dec,215.1996042,2.03,FALSE,207.727905,,10.10047222,77.93347222,GOOD,Available,HT,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.93347222222222 10.100472222222223, 77.93508333333334 10.102027777777778)"
14,13,,S,SA,22,Dec-13,247.3284368,0.77,FALSE,208.80217,,10.10202778,77.93508333,GOOD,Available,2-HT,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.93508333333334 10.102027777777778, 77.93680555555557 10.103694444444445)"
15,14,,S,SA,22,13-14,262.9150291,2.05,FALSE,209.523315,,10.10369444,77.93680556,GOOD,Available,"2-LT,230 KV",Road,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.93680555555557 10.103694444444445, 77.9388888888889 10.105638888888889)"
16,15,,T,SC,22,14-15,313.5836301,1.61,FALSE,213.608902,"59°13'48""L",10.10563889,77.93888889,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9388888888889 10.105638888888889, 77.94030555555555 10.10525)"
17,16,,T,SC,22,15-16,161.2803179,2.36,FALSE,212.442657,"50°58'48""L",10.10525,77.94030556,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.94030555555555 10.10525, 77.94111111111111 10.103361111111111)"
18,17,,T,SC,22,16-17,226.4271501,1.08,FALSE,212.773712,"87°20'24""L",10.10336111,77.94111111,GOOD,Available,,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.94111111111111 10.103361111111111, 77.94197222222222 10.103777777777777)"
