SL.NO,TOWER NO,Joint Box,TOWER S / T,DEVIATION OF  ANGLE ,TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER ,SPAN LENGTH (Mtrs),EARTH FOOTING RESISTANCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING DETAILS,,CONDITION OF AREA (Plain/Hills/Forest/Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
5,3,2W,T,"32°35'55""LT",KC+3,27,T2-T3,101.0439117,2.54,55,8.885343291,77.76920501,AVAILABLE,LT LINE,ROAD NH-44,PLAIN LAND,"SC line, LT line , Road  NH-44  ( madurai - kanyakumari ) , plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7692050114274 8.88534329071426, 77.7700861170888 8.88335013830816)"
6,4,,T,"2°26'59""RT",PC,21.94,T3-T4,240.987144,2.63,52,8.883350138,77.77008612,AVAILABLE,11KV LINE,,PLAIN LAND,"SC line , 11kv line , plain  land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7700861170888 8.88335013830816, 77.7707281708717 8.88178595161569)"
7,5,,T,,PB,26.62,T4-T5,105,1.7,52,8.881785952,77.77072817,AVAILABLE,"11KV LINE, LT LINE","ROAD,ODAI(NALA)",PLAIN LAND,"SC line  , 11kv line , Road , odai(nala ), LT line , plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7707281708717 8.88178595161569, 77.771405428648 8.88002035379095)"
8,6,,S,,PA,23.62,T5-T6,239,1.26,50,8.880020354,77.77140543,AVAILABLE,LT LINE,,PLAIN LAND,"SC line , LT line , plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.771405428648 8.88002035379095, 77.7720226719975 8.87848430989442)"
9,7,,S,,PA,23.62,T6-T7,190,1.58,48,8.87848431,77.77202267,AVAILABLE,,,PLAIN LAND,"SC line, street , plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7720226719975 8.87848430989442, 77.772589623928 8.87696150997286)"
10,8,,S,,PA,23.62,T7-T8,210,1.52,48,8.87696151,77.77258962,AVAILABLE,LT LINE,,PLAIN LAND,"SC Line  , LT line , plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.772589623928 8.87696150997286, 77.7735294029116 8.87455887196508)"
11,9,2W,T,"0°42'2""RT",PB,21.94,T8-T9,183,2.43,44,8.874558872,77.7735294,AVAILABLE,,CART TRACK,WATER LOGGED AREA,"SC line  , cart track , water logged area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7735294029116 8.87455887196508, 77.7745114266872 8.87204723218059)"
12,10,,S,,PA,26.62,T9-T10,188,1.74,44,8.872047232,77.77451143,AVAILABLE,400KV LINE,"POND, ODAI BUND",WATER LOGGED AREA,"SC line  , pond ,odai bund , 400 KV line unter crossing in our line , water logged area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7745114266872 8.87204723218059, 77.7752443403005 8.86999769223082)"
13,11,,S,,PA,23.62,T10-T11,323,1.46,43,8.869997692,77.77524434,AVAILABLE,230KV LINE,,PLAIN LAND,"SC line , 230 kv line unter crossing in our line , plain  land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7752443403005 8.86999769223082, 77.7761274576187 8.86797497357273)"
14,12,,S,,PA,23.62,T11-T12,280,1.59,43,8.867974974,77.77612746,AVAILABLE,LT LINE,,PLAIN LAND,"SC line , plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7761274576187 8.86797497357273, 77.7769029513001 8.86583099888829)"
