S.No,Tower No.,Joint box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,Gantry (A.Thekkur SS),2W,Gantry,Gantry,12,,,,,140.167328,,10.17616667,78.5325,GOOD,NO E/W,,,SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.5325 10.176166666666665, 78.53277777777778 10.176333333333332)"
2,1,,T,SB,21,Gantry-1,38,1.21,FALSE,137.996552,"3°18'36""L",10.17633333,78.53277778,GOOD,Available,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.53277777777778 10.176333333333332, 78.53330555555556 10.176638888888888)"
3,2,,T,SC,22,01-Feb,68.68025546,2.04,FALSE,139.319016,"51°16'12""R",10.17663889,78.53330556,GOOD,Available,LT,A.Thekkur Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.53330555555556 10.176638888888888, 78.53369444444444 10.179027777777778)"
4,3,,S,SA,21,02-Mar,269,5.37,FALSE,139.017441,,10.17902778,78.53369444,GOOD,Available,5-HT,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.53369444444444 10.179027777777778, 78.53408333333333 10.181305555555555)"
5,4,,T,SC,22,03-Apr,258,4.59,FALSE,135.486816,"37°58'12""R",10.18130556,78.53408333,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.53408333333333 10.181305555555555, 78.53333333333333 10.182666666666666)"
6,5,,S,SA,21,04-May,176,4.97,FALSE,132.587006,,10.18266667,78.53333333,GOOD,Available,LT,Pond,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.53333333333333 10.182666666666666, 78.53233333333333 10.184583333333334)"
7,6,,S,SA+3,24,05-Jun,241,1.26,FALSE,132.704239,,10.18458333,78.53233333,GOOD,Available,"HT,LT",Pond,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.53233333333333 10.184583333333334, 78.53133333333334 10.186527777777778)"
8,7,,T,SC,22,06-Jul,240.4131016,2.8,FALSE,131.988144,"33°1'48""L",10.18652778,78.53133333,GOOD,Available,"HT,LT",Pond,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.53133333333334 10.186527777777778, 78.53158333333333 10.188833333333333)"
9,8,,S,SA+3,24,07-Aug,262,1.5,FALSE,128.402008,,10.18883333,78.53158333,GOOD,Available,,Pond,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.53158333333333 10.188833333333333, 78.53166666666667 10.190611111111112)"
10,9,,S,SA+3,24,08-Sep,200,3.11,FALSE,131.414398,,10.19061111,78.53166667,GOOD,Available,"HT,LT",A.Thekkur Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.53166666666667 10.190611111111112, 78.53191666666666 10.193333333333333)"
