S.Noy,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
36,167,S,DA,26,166-167,303.951335860825,8.03,144.758636,,9.3786889873445,77.5491369701921,GOOD,Available,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5491369701921 9.3786889873445, 77.549578025937 9.37579697929322)"
37,168,S,DA,26,167-168,323.6994472167685,5.82,143.082611,,9.37579697929322,77.549578025937,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.549578025937 9.37579697929322, 77.5500070117414 9.37308300286531)"
38,169,S,DA,26,168-169,304.02529939414705,6.07,141.214004999999,,9.37308300286531,77.5500070117414,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5500070117414 9.37308300286531, 77.5504469778388 9.37035704031586)"
39,170,S,DA,26,169-170,305.5245782683921,2.86,141.340302,,9.37035704031586,77.5504469778388,GOOD,Available,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5504469778388 9.37035704031586, 77.5508550088852 9.36764298006892)"
40,171,S,DA,26,170-171,303.6860648885173,4.2,141.014145,,9.36764298006892,77.5508550088852,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5508550088852 9.36764298006892, 77.5512590166181 9.36494995839893)"
41,172,T,DC,26,171-172,301.3181361067197,2.16,140.903976,,9.36494995839893,77.5512590166181,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,=SUM(G6:G46),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note : 1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
