S. No ,Tower No,SUSPENTION/TENTION,Circuit,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of Tower  (Missing  parts, broken,etc)","Condition of Earht wire (Missing,Broken etc)",EARTH AVAILABLE,Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
18,T.NO 17,S,SA,26,"=B23&""-""&B24",187.9680823969857,WATER LOCKED,200,,9.09077777777778,77.3357222222222,GOOD,GOOD,NO,,"MUD ROAD, NALA",INSIDE THE POND,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3357222222222 9.09077777777778, 77.3364722222222 9.09280555555555)"
19,T.NO 18,S,SA,26,"=B24&""-""&B25",239.74152748324602,3.04,203,,9.09280555555555,77.3364722222222,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3364722222222 9.09280555555555, 77.3372222222222 9.09472222222222)"
20,T.NO 19,T,SB,24,"=B25&""-""&B26",228.23890991677996,2.53,205,"1°7'3.15""",9.09472222222222,77.3372222222222,GOOD,GOOD,NO,LT,,CULTIVATION,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3372222222222 9.09472222222222, 77.3379166666666 9.09655555555555)"
21,T.NO 20,S,SA,26,"=B26&""-""&B27",217.00691233230336,3.41,208,,9.09655555555555,77.3379166666666,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3379166666666 9.09655555555555, 77.3387499999999 9.09872222222222)"
22,T.NO 21,S,SA,26,"=B27&""-""&B28",256.67294364618954,4.11,210,,9.09872222222222,77.3387499999999,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3387499999999 9.09872222222222, 77.3394166666666 9.10055555555555)"
23,T.NO 22,S,SA,26,"=B28&""-""&B29",214.78593994952277,2.67,208,,9.10055555555555,77.3394166666666,GOOD,GOOD,NO,,POND,INSIDE THE POND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3394166666666 9.10055555555555, 77.3401111111111 9.1025)"
24,T.NO 23,S,SA,26,"=B29&""-""&B30",230.8679276123039,1.68,215,,9.1025,77.3401111111111,GOOD,GOOD,NO,,2nos NALA,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3401111111111 9.1025, 77.3409166666666 9.10461111111111)"
25,T.NO 24,T,SD,31,"=B30&""-""&B31",247.7761086142084,2.57,214,"32°25'38.17""",9.10461111111111,77.3409166666666,GOOD,GOOD,NO,,"NALA, CANAL",CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3409166666666 9.10461111111111, 77.3426388888888 9.10586111111111)"
26,T.NO 25,S,SA,29,"=B31&""-""&B32",234.2007685726074,3.41,216,,9.10586111111111,77.3426388888888,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3426388888888 9.10586111111111, 77.3443333333333 9.10705555555555)"
27,T.NO 26,S,SA,26,"=B32&""-""&B33",228.65913495856665,4.06,218,,9.10705555555555,77.3443333333333,GOOD,GOOD,NO,LT,"TAAR ROAD, CANAL",PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3443333333333 9.10705555555555, 77.3461388888888 9.10833333333333)"
