S.No,Tower No.,Tower Suspension / Tension,Tower Model,Tower Type,Tower Height (m),Span Between Tower No.,Span Length (m),Footing Resistance of Tower ( Ohms),,Ground Elevation(m),"Deviation Angle
Degrees",Latitude,Longitude,"Condition of  Tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/  Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,GANTRY KOSAVAPATTY,T,,BAY,12,,,NIL,,336.825073242187,,10.2908335067331,78.0615339428186,Good,NO E/W,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0615339428186 10.2908335067331, 78.0615041870623 10.2907181717455)"
2,8,T,KCR,DD+0,24,GANTRY KOSAVAPATTY-8,18,3.61,"=IF(I7>15,0)",337.546020507812,36°42'48''RT,10.2907181717455,78.0615041870623,Good,Good,,,Plain,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0615041870623 10.2907181717455, 78.0596814583987 10.2892587985843)"
3,7,T,KCR,DC+0,22,8-7,262,2.89,"=IF(I8>15,0)",335.142822265625,16°16'10''RT,10.2892587985843,78.0596814583987,Good,Good,,,Plain,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0596814583987 10.2892587985843, 78.0585795734077 10.2888026554137)"
4,6,T,KCR,DD+6,30,7-6,135,4.68,"=IF(I9>15,0)",335.86376953125,32°39'11''LT,10.2888026554137,78.0585795734077,Good,Good,22KV,,Plain,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0585795734077 10.2888026554137, 78.0578258726745 10.2877231501042)"
5,5,T,KCR,DB+6,28,6-5,150,6.21,"=IF(I10>15,0)",338.747680664062,12°51'23''RT,10.2877231501042,78.0578258726745,Good,Good,,DIN-NATHAM NH,Plain,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0578258726745 10.2877231501042, 78.0572279915213 10.2871809247881)"
6,4,T,KCR,DB+6,28,5-4,93,2.16,"=IF(I11>15,0)",339.228393554687,4°50'39''LT,10.2871809247881,78.0572279915213,Good,Good,22KV,,Plain,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0572279915213 10.2871809247881, 78.0562555231153 10.2861362881958)"
7,3,T,KCR,DB+0,22,4-3,162,3.33,"=IF(I12>15,0)",338.507446289062,15°14'16''LT,10.2861362881958,78.0562555231153,Good,Good,,,Plain,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0562555231153 10.2861362881958, 78.0553806200623 10.2844672836363)"
8,2,T,KCR,DB+0,22,3-2,213,3.98,"=IF(I13>15,0)",345.717163085937,2°45'56''LT,10.2844672836363,78.0553806200623,Good,Good,LT,,Plain,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0553806200623 10.2844672836363, 78.054571012035 10.2828710339963)"
9,1 LILO KOSAVAPATTY,T,KCR,DD+0,24,2-1 LILO KOSAVAPATTY,203,1.9,"=IF(I14>15,0)",344.275268554687,79°14'2''RT,10.2828710339963,78.054571012035,Good,Good,LT,CAR TRACK,Plain,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.054571012035 10.2828710339963, 78.0553933605551 10.2819695603102)"
10,41,S,PA,A+0,24,1 LILO KOSAVAPATTY-41,139,2.64,"=IF(I15>15,0)",351.244750976562,,10.2819695603102,78.0553933605551,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0553933605551 10.2819695603102, 78.0570240598171 10.2801967039704)"
11,42,S,PA,A+0,24,41-42,270,4.26,"=IF(I16>15,0)",346.918823242187,,10.2801967039704,78.0570240598171,Good,Good,22KV,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0570240598171 10.2801967039704, 78.0588272586464 10.2783511765301)"
12,43,T,PB,B+0,22,42-43,289,2.93,"=IF(I17>15,0)",352.2060546875,15°13'60''LT,10.2783511765301,78.0588272586464,Good,Good,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0588272586464 10.2783511765301, 78.0608047172427 10.2771879360079)"
13,44,S,PA,A+0,24,43-44,257,3.12,"=IF(I18>15,0)",347.880126953125,,10.2771879360079,78.0608047172427,Good,Good,LT,CAR TRACK,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0608047172427 10.2771879360079, 78.0624904017895 10.2762945089489)"
14,45,S,PA,A+0,24,44-45,214,3.86,"=IF(I19>15,0)",351.9658203125,,10.2762945089489,78.0624904017895,Good,Good,"LT,22KV",,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0624904017895 10.2762945089489, 78.0642219353467 10.2752988226711)"
15,46,T,PB,B+0,22,45-46,228,1.9,"=IF(I20>15,0)",346.918823242187,11°32'38''LT,10.2752988226711,78.0642219353467,Good,Good,3-LT,THAR ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0642219353467 10.2752988226711, 78.0662920139729 10.2746089920401)"
16,47,S,PA,A+0,24,46-47,248,1.88,"=IF(I21>15,0)",341.871948242187,,10.2746089920401,78.0662920139729,Good,Good,LT,THAR ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0662920139729 10.2746089920401, 78.0680947937071 10.2739568799734)"
17,48,S,PA,A+0,24,47-48,219,2.16,"=IF(I22>15,0)",347.159057617187,,10.2739568799734,78.0680947937071,Good,Good,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0680947937071 10.2739568799734, 78.0706306546926 10.2730703260749)"
18,49,S,PA,A+0,24,48-49,303,3.12,"=IF(I23>15,0)",344.034912109375,,10.2730703260749,78.0706306546926,Good,Good,,THAR ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0706306546926 10.2730703260749, 78.0730428826063 10.272246049717)"
19,50,T,PB,B+0,22,49-50,288,3.88,"=IF(I24>15,0)",335.86376953125,0°30'26''LT,10.272246049717,78.0730428826063,Good,Good,,ODAI,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0730428826063 10.272246049717, 78.0758268479257 10.2713219448924)"
20,51,S,PA,A+0,24,50-51,330,1.9,"=IF(I25>15,0)",342.352661132812,,10.2713219448924,78.0758268479257,Good,Good,22KV,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0758268479257 10.2713219448924, 78.0787882581353 10.2703529130667)"
21,52,S,PA,A+0,24,51-52,350,2.1,"=IF(I26>15,0)",348.120605468749,,10.2703529130667,78.0787882581353,Good,Good,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0787882581353 10.2703529130667, 78.0813055112957 10.269515896216)"
22,53,S,PA,A+0,24,52-53,299,2.93,"=IF(I27>15,0)",345.476806640625,,10.269515896216,78.0813055112957,Good,Good,LT,ODAI,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0813055112957 10.269515896216, 78.0838805157691 10.2686765324324)"
23,54,S,PA,A+0,24,53-54,305,2.86,"=IF(I28>15,0)",357.012573242187,,10.2686765324324,78.0838805157691,Good,Good,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0838805157691 10.2686765324324, 78.0862171389162 10.2678654156625)"
24,55,S,PA,A+0,24,54-55,280,3.16,"=IF(I29>15,0)",349.802856445312,,10.2678654156625,78.0862171389162,Good,Good,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0862171389162 10.2678654156625, 78.0888042971491 10.2670817077159)"
25,56,S,PA,A+0,24,55-56,305,3.84,"=IF(I30>15,0)",341.151000976562,,10.2670817077159,78.0888042971491,Good,Good,,THAR ROAD,AGRI,WATER LOGGED AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0888042971491 10.2670817077159, 78.0912495497614 10.2662022784352)"
26,57,T,PB,B+0,22,56-57,293,3.21,"=IF(I31>15,0)",343.313842773437,1°27'35''LT,10.2662022784352,78.0912495497614,Good,Good,,CAR TRACK,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0912495497614 10.2662022784352, 78.0932403355836 10.2655426226556)"
27,58,S,PA,A+0,24,57-58,238,4.36,"=IF(I32>15,0)",343.313842773437,,10.2655426226556,78.0932403355836,Good,Good,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0932403355836 10.2655426226556, 78.0949038080871 10.2649937756359)"
28,59,S,PA,A+0,24,58-59,200,6.1,"=IF(I33>15,0)",347.159057617187,,10.2649937756359,78.0949038080871,Good,Good,LT,CAR TRACK,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0949038080871 10.2649937756359, 78.0954497214406 10.2648716513067)"
29,LILO AMBIKA MILL,T,,DB+0,22,59-LILO AMBIKA MILL,70,7.1,"=IF(I34>15,0)",344.034912109375,6°1'44''RT,10.2648716513067,78.0954497214406,Good,Good,2-22KV,MUD ROAD,AGRI,D/C AMBIKA MILL PVT LTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0954497214406 10.2648716513067, 78.0969410296529 10.2643700782209)"
30,60,S,PA,A+0,24,LILO AMBIKA MILL-60,181,6.88,"=IF(I35>15,0)",345.236450195312,,10.2643700782209,78.0969410296529,Good,Good,,,AGRI,WATER LOGGED AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0969410296529 10.2643700782209, 78.0991279520094 10.2635970991104)"
31,61,S,PA,A+0,24,60-61,263,3.1,"=IF(I36>15,0)",346.197875976562,,10.2635970991104,78.0991279520094,Good,Good,,,Plain,WATER LOGGED AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0991279520094 10.2635970991104, 78.1005681306123 10.2630994655191)"
32,62,S,PA,A+0,24,61-62,176,2.18,"=IF(I37>15,0)",335.86376953125,,10.2630994655191,78.1005681306123,Good,Good,,THAR ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1005681306123 10.2630994655191, 78.1023674737662 10.2625164203345)"
