SL.NO,TOWER NO,Tower Suspension/ Tension,DEVIATION  ANGLE ('),TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER NO(Mtrs),SPAN LENGTH (Mtrs),EARTH FOOTING RESISTENCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,"CONDITION OF TOWER (Missing parts, broken etc)",CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING OBJECTS,,CONDITION OF AREA ( Plain/Hills/Forest/Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
GANTRY,ARALVOIMOZHI,,,,,,,,108,8.259642808,77.53878939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.53878939 8.259642808, 77.53882605 8.260002015)"
1,10,T,"20°15'54""LT",HC,21.94,ARALVOIMOZHY-T10,39.95506408456598,2.38,109,8.260002015,77.53882605,GOOD,NOT AVAILABLE,11KV LINE,,AGRI Land,"DC LINE: , ARALVOIMOZHY-T1  earth Wire not available, AGRI Land , Fencing, 1nos 11kv Line,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.53882605 8.260002015, 77.53831643 8.262272173)"
2,11,S,,GC,23.62,T10-T11,257.4197110420602,1.45,112,8.262272173,77.53831643,GOOD,AVAILABLE,11KV LINE-3Nos,,AGRI Land,"DC LINE  AGRI Land, 3nos 11kv Line , nelli garden,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.53831643 8.262272173, 77.53778603 8.26402008)"
3,12,T,"72°36'37""LT",KC,24,T11-T12,202.06644480463353,2.46,122,8.26402008,77.53778603,GOOD,AVAILABLE,,,AGRI Land,DC LINE    AGRI Land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.53778603 8.26402008, 77.53677819 8.264083473)"
4,13,S,,PA,20.9,T12-T13,111.31869845180437,1.52,123,8.264083473,77.53677819,GOOD,AVAILABLE,,Odai(Nala),PLAIN Land,"Odai(Nala),plain Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.53677819 8.264083473, 77.53449429 8.264188036)"
5,14,T,"04°04'43""LT",PB,20.85,T13-T14,252.02800227356204,2.36,123,8.264188036,77.53449429,GOOD,AVAILABLE,11KV LINE,CANAL,PLAIN Land,"11kv Line, canal,plain Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.53449429 8.264188036, 77.53219899 8.264125042)"
6,15,S,,PA,20.9,T14-T15,253.11463250081,1.41,108,8.264125042,77.53219899,GOOD,AVAILABLE,11KV LINE,,PLAIN Land,"11kv line, plain Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.53219899 8.264125042, 77.52954226 8.264071351)"
7,16,S,,PA,20.9,T15-T16,292.919082835121,1.58,97,8.264071351,77.52954226,GOOD,AVAILABLE,11KV LINE -2Nos,"CART TRACK, Odai(Nala)",PLAIN Land,"11kv Line-2Nos,Cart Track,Odai(Nala),plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.52954226 8.264071351, 77.52703406 8.264035234)"
8,17,S,,PA,20.9,T16-T17,276.51593622249493,1.47,95,8.264035234,77.52703406,GOOD,AVAILABLE,,Odai(Nala),PLAIN Land,"Odai(Nala),plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.52703406 8.264035234, 77.5248085 8.264000438)"
9,18,S,,PA,20.9,T17-T18,245.35967256463,1.51,93,8.264000438,77.5248085,GOOD,AVAILABLE,,CANAL,PLAIN Land,"canal,plain Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5248085 8.264000438, 77.52234724 8.263942757)"
10,19,S,,PA,20.9,T18-T19,271.38611547757364,1.6,86,8.263942757,77.52234724,GOOD,AVAILABLE,11KV LINE-2Nos,"POND,CART TRACK",AGRI Land,"pond,Cart Track,11kv Line -2Nos,agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.52234724 8.263942757, 77.51987826 8.263872133)"
11,20,S,,PA,20.9,T19-T20,272.2732893343627,1.72,86,8.263872133,77.51987826,GOOD,AVAILABLE,11KV LINE,CART TRACK,AGRI Land,"CartTrack.11kv Line, agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.51987826 8.263872133, 77.517359 8.263845974)"
12,21,T,"58°11'52""LT",PC,21.65,T20-T21,277.71903200182027,2.54,87,8.263845974,77.517359,GOOD,AVAILABLE,LT LINE,,AGRI Land,"lt Line,agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.517359 8.263845974, 77.51650538 8.262322392)"
13,22,S,,PA,20.9,T21-T22,193.07939025441542,1.48,86,8.262322392,77.51650538,GOOD,AVAILABLE,,,AGRI Land,AGRI Land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.51650538 8.262322392, 77.5156055 8.260800455)"
