S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,Gantry (Tenkasi SS),2W,Gantry,H-POLE,12,,,,171.025528,,8.963202992,77.29839502,GOOD,,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.2983950190246 8.96320299245417, 77.2980829607695 8.96320098079741)"
2,1,,T,DC,26,Gantry-1,65,5.3,165.718796,"22°24'41"" R",8.963200981,77.29808296,GOOD,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.2980829607695 8.96320098079741, 77.2956009954214 8.96420001983642)"
3,2,,T,DC,26, 1-2,294.5715134,3.19,159.528931,"4°7'15"" R",8.96420002,77.295601,GOOD,Available,LT -2NO,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.2956009954214 8.96420001983642, 77.2936620097607 8.96514700725674)"
4,3,,S,DA,26,02-Mar,237.6548484,7.02,158.850479,,8.965147007,77.29366201,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.2936620097607 8.96514700725674, 77.291397973895 8.9662820007652)"
5,4,,S,DA,26,03-Apr,278.9362778,4.69,159.050385,,8.966282001,77.29139797,GOOD,Available,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.291397973895 8.9662820007652, 77.2889300063252 8.9675029926002)"
6,5,,S,DA,26,04-May,303.2555246,8.11,159.305481,,8.967502993,77.28893001,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.2889300063252 8.9675029926002, 77.2866000048816 8.96865399554371)"
7,6,,S,DA,26,05-Jun,286.2161752,6.26,159.866241,,8.968653996,77.2866,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.2866000048816 8.96865399554371, 77.2841150220483 8.96992603316903)"
8,7,,T,DC,26,06-Jul,307.4738161,5.08,160.579636,"5°27'30"" R",8.969926033,77.28411502,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.2841150220483 8.96992603316903, 77.2821270022541 8.97119496949017)"
9,8,,S,DA,26,07-Aug,259.8872001,4.66,159.57756,,8.971194969,77.282127,GOOD,Available,"LT,HT",ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.2821270022541 8.97119496949017, 77.2798679955303 8.97267496213316)"
10,9,,S,DA,26,08-Sep,297.6089528,7.34,158.713989,,8.972674962,77.279868,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.2798679955303 8.97267496213316, 77.2779160179197 8.97394901141524)"
