S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,28,2W,T,DC,26,,,1.3,FALSE,160.6484375,,10.18869444,78.40338889,GOOD,,,,Plain,Common tower for 110kV Singampuneri - A.Thekkur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.4033888888889 10.188694444444444, 78.40216666666667 10.188944444444445)"
2,27,,S,SA,22,28-27,135.8578209,2.14,FALSE,183.279984,,10.18894444,78.40216667,GOOD,Available,2-LT,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.40216666666667 10.188944444444445, 78.40083333333334 10.189305555555556)"
3,26,,T,SB,21,27-26,153.566364,1.17,FALSE,180.309418,"1°56'24""L",10.18930556,78.40083333,GOOD,Available,"2-LT,3-HT",Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.40083333333334 10.189305555555556, 78.39852777777779 10.189972222222222)"
4,25,,S,SA,22,26-25,262.3947189,3.3,FALSE,178.661865,,10.18997222,78.39852778,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.39852777777779 10.189972222222222, 78.39605555555556 10.190666666666667)"
5,24,,S,SA+3,25,25-24,281.479481,2.67,FALSE,177.609467,,10.19066667,78.39605556,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.39605555555556 10.190666666666667, 78.39327777777778 10.191416666666667)"
6,23,,S,SA,22,24-23,317.080784,6.01,FALSE,179.518478,,10.19141667,78.39327778,GOOD,Available,2-LT,POND,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.39327777777778 10.191416666666667, 78.39066666666668 10.19213888888889)"
7,22,,S,SA,22,23-22,296.7935481,6.03,FALSE,181.524475,,10.19213889,78.39066667,GOOD,Available,LT,Road,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.39066666666668 10.19213888888889, 78.38855555555556 10.192722222222223)"
8,21,,S,SA,22,22-21,238.7268045,4.11,FALSE,181.132706,,10.19272222,78.38855556,GOOD,Available,2-LT,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.38855555555556 10.192722222222223, 78.38597222222224 10.193444444444445)"
9,20,,S,SA,22,21-20,293.4939307,1.26,FALSE,179.590729,,10.19344444,78.38597222,GOOD,Available,LT,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.38597222222224 10.193444444444445, 78.3833888888889 10.194166666666668)"
10,19,,S,SA,22,20-19,297.0954803,2.27,FALSE,181.776688,,10.19416667,78.38338889,GOOD,Available,LT,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.3833888888889 10.194166666666668, 78.38072222222222 10.194916666666668)"
11,18,2W,T,SC,22,19-18,304.3269187,6.07,FALSE,186.662476,"36°5'24""L",10.19491667,78.38072222,GOOD,Available,"LT,HT",,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.38072222222222 10.194916666666668, 78.37944444444443 10.196527777777778)"
12,17,,S,SA,22,18-17,223.6571087,5.05,FALSE,180.045807,,10.19652778,78.37944444,GOOD,Available,LT,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.37944444444443 10.196527777777778, 78.3778611111111 10.198472222222222)"
13,16,,S,SA,22,17-16,278.1949441,1.99,FALSE,177.913254,,10.19847222,78.37786111,GOOD,Available,HT,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.3778611111111 10.198472222222222, 78.37647222222222 10.20036111111111)"
14,15,,S,SA,22,16-15,257.740557,5.63,FALSE,177.762604,,10.20036111,78.37647222,GOOD,Available,LT,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.37647222222222 10.20036111111111, 78.37494444444444 10.202083333333333)"
15,14,,S,SA,22,15-14,254.5656089,1.44,FALSE,177.412186,,10.20208333,78.37494444,GOOD,Available,LT,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.37494444444444 10.202083333333333, 78.37336111111111 10.204166666666666)"
16,13,,T,DC,26,14-13,288.0871444,4.3,FALSE,180.530746,"42°0'0""R",10.20416667,78.37336111,GOOD,Available,"LT,2-HT",Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.37336111111111 10.204166666666666, 78.37374999999999 10.204083333333333)"
17,Gantry (Kottampatty SS),2W,Gantry,H-POLE,12,13-Gantry,42.46417963,,,180.449158,,10.20408333,78.37375,GOOD,NO E/W,,,SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
