S.No,Tower No.,Joint Box,Tower Model,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length (m),Footing Resistance of Tower ( Ohms),,Ground Elevation (m),Deviation Angle (Degrees),Latitude,Longitude,"Condition of  Tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/  Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,LILO,3W,PC+3,T,DB+3,25,,,1.86,FALSE,220.7468262,,10.69772311,77.88521667,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8852166701108 10.6977231055498, 77.8842671681195 10.6957374326884)"
2,231,,Existing KCR,T,B+0,22,234-235,248,2.85,FALSE,208.7303467,2°57'18''RT,10.69573743,77.88426717,Good,Good,,CAR TRACK,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8842671681195 10.6957374326884, 77.8833499364554 10.6938991136848)"
3,232,,PC,S,A+0,28,235-236,232,3.16,FALSE,212.815918,,10.69389911,77.88334994,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8833499364554 10.6938991136848, 77.8823407553136 10.6919000297784)"
4,233,,PA+3M,S,A+3,27,236-237,253,4.89,FALSE,214.0175781,,10.69190003,77.88234076,Good,Good,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8823407553136 10.6919000297784, 77.881250269711 10.6896646600216)"
5,234,,PA,S,A+0,24,237-238,280,5.21,FALSE,211.133667,,10.68966466,77.88125027,Good,Good,"22KV,LT",THAR ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.881250269711 10.6896646600216, 77.880333373323 10.6877717748284)"
6,235,,PA,T,B+0,22,238-239,238,2.98,FALSE,213.7772217,1°19'26''RT,10.68777177,77.88033337,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.880333373323 10.6877717748284, 77.8792791813611 10.6857185438275)"
7,236,,PB,S,A+0,30,239-240,260,2.36,FALSE,216.180542,,10.68571854,77.87927918,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8792791813611 10.6857185438275, 77.8782986663281 10.6837041210383)"
8,237,,PA,S,A+0,24,240-241,253,2.85,FALSE,215.9401855,,10.68370412,77.87829867,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8782986663281 10.6837041210383, 77.8773327358067 10.6817409954965)"
9,238,,PA,S,A+0,24,241-242,247,1.96,FALSE,218.5837402,,10.681741,77.87733274,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8773327358067 10.6817409954965, 77.8762883506715 10.6797837372869)"
10,239,,PA,T,B+0,22,242-243,250,2.56,FALSE,217,3°57'14''LT,10.67978374,77.87628835,Good,Good,,THAR ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8762883506715 10.6797837372869, 77.8753335680812 10.6776496209204)"
11,240,,PB,S,A+0,24,243-244,264,2.87,FALSE,218.1031494,,10.67764962,77.87533357,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8753335680812 10.6776496209204, 77.874405439943 10.6757539696991)"
12,241,,PA,S,A+0,24,244-245,238,3.86,FALSE,216.6611328,,10.67575397,77.87440544,Good,Good,,CAR TRACK,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.874405439943 10.6757539696991, 77.8733908105641 10.6736805383116)"
13,242,,PA,S,A+0,24,245-246,260,4.23,FALSE,220.7468262,,10.67368054,77.87339081,Good,Good,4-LT,CAR TRACK,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8733908105641 10.6736805383116, 77.8723382111638 10.671559581533)"
14,243,2W,PA,T,B+0,22,246-247,267,3.24,FALSE,230.1195068,1°17'44''LT,10.67155958,77.87233821,Good,Good,,CAR TRACK,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8723382111638 10.671559581533, 77.8713076561689 10.6694556400179)"
15,244,,PB,S,A+0,24,247-248,264,4.23,FALSE,233.9647217,,10.66945564,77.87130766,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8713076561689 10.6694556400179, 77.8703139815479 10.6675584800541)"
16,245,,PA,T,B+0,22,248-249,242,3.42,FALSE,231.321167,2°17'8''LT,10.66755848,77.87031398,Good,Good,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8703139815479 10.6675584800541, 77.8693026211112 10.6656037364155)"
17,246,,PA,S,A+0,24,249-250,248,2.86,FALSE,233.9647217,,10.66560374,77.86930262,Good,Good,22KV,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8693026211112 10.6656037364155, 77.8681792784482 10.6634562090039)"
18,247,,PB,S,A+0,24,250-251,273,3.19,FALSE,220.2661133,,10.66345621,77.86817928,Good,Good,2-LT,THAR ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8681792784482 10.6634562090039, 77.8672130126506 10.6616471428424)"
19,248,,PA,S,A+0,24,251-252,232,3.73,FALSE,224.592041,,10.66164714,77.86721301,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8672130126506 10.6616471428424, 77.8662500996142 10.6598231568932)"
20,249,,PA+3M,S,A+3,27,252-253,233,5.89,FALSE,217.1418457,,10.65982316,77.8662501,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8662500996142 10.6598231568932, 77.8651753719896 10.6577973347157)"
21,250,,PA,T,B+0,22,253-254,259,3.12,FALSE,223.1501465,1°5'39''RT,10.65779733,77.86517537,Good,Good,,THAR ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8651753719896 10.6577973347157, 77.8640667814761 10.6557159405201)"
22,251,,PB+3M,S,A+3,25,254-255,266,5.48,FALSE,226.274292,,10.65571594,77.86406678,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8640667814761 10.6557159405201, 77.8632010146975 10.6541052740067)"
23,252,,PA,S,A+0,24,255-256,207,4.07,FALSE,227.4759521,,10.65410527,77.86320101,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8632010146975 10.6541052740067, 77.8620541188865 10.6519175134599)"
