SL.NO,TOWER NO,Joint Box,Tower Suspension/ Tension,DEVIATION OF ANGLE ('),TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER NO,SPAN LENGTH (Mtrs),EARTH FOOTING RESISTENCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,"CONDITION OF TOWER (Missing parts, broken etc)",CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING OBJECTS,,CONDITION OF AREA ( Plain/Hills/Forest/Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
17,17,,S,,PA+3,23.9,T16-T17,216.240853,2.49,99,8.541580173,77.63094888,GOOD,AVAILABLE,"LT LINE-1NO , 11KV LINE-1NO","ROAD,POND",WATER LOGGED AREA,"Sc line , Road ( menavankulam - perumal kulam ) , LT  line, 11kv line , pond , water logged area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.63094887519136 8.54158017320954, 77.62892984300329 8.5417503121774)"
18,18,,T,"03°48'55""LT",PB+3,23.85,T17-T18,223.2178751,1.53,97,8.541750312,77.62892984,GOOD,AVAILABLE,LT LINE -2NOS,,PLAIN LAND,"Sc line, pond , 2nos LT line,  plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.62892984300329 8.5417503121774, 77.62660168312601 8.541759984884672)"
19,19,,S,,PA,20.9,T18-T19,256.4789121,1.82,96,8.541759985,77.62660168,GOOD,AVAILABLE,,CART TRACK,AGRI LAND,"Sc line, cart track , agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.62660168312601 8.541759984884672, 77.62413807040187 8.541777612741566)"
20,20,,S,,PA,20.9,T19-T20,271.405017,1.71,95,8.541777613,77.62413807,GOOD,AVAILABLE,LT LINE-1NO,,AGRI LAND,"Sc line , LT line , agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.62413807040187 8.541777612741566, 77.62171034190551 8.541770709803265)"
21,21,,S,,PA,20.9,T20-T21,267.4455414,1.38,97,8.54177071,77.62171034,GOOD,AVAILABLE,11KV LINE-1NO,WELL,AGRI LAND,"Sc line, well , agri land, 11kv line",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.62171034190551 8.541770709803265, 77.61965710864813 8.541775400112192)"
22,22,,S,,PA,20.9,T21-T22,226.1893179,1.54,100,8.5417754,77.61965711,GOOD,AVAILABLE,,"ODAI BUND-2NOS, POND",WATER LOGGED AREA,"Sc line , 2nos odai bund , pond , water logged area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61965710864813 8.541775400112192, 77.61777016906662 8.541808264878243)"
23,23,2W,T,"22°00'22""LT",PB+3,23.85,T22-T23,207.9008531,1.76,100,8.541808265,77.61777017,GOOD,AVAILABLE,400KV LINE,ROAD,WATER LOGGED AREA,"Sc line,400kv line under crossing , Road ( karantheneri - subramaniya puram ) , water logged area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61777016906662 8.541808264878243, 77.61593118341709 8.541215154346368)"
24,24,,S,,PA+3,23.9,T23-T24,212.9559597,1.84,100,8.541215154,77.61593118,GOOD,AVAILABLE,,"ODAI BUND, POND",WATER LOGGED AREA,"Sc line, pond , odai bund , water logged area ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61593118341709 8.541215154346368, 77.61349606875673 8.540061386544686)"
25,25,,S,,PA,20.9,T24-T25,297.0977285,2.85,100,8.540061387,77.61349607,GOOD,AVAILABLE,,"ODAI BUND, POND",WATER LOGGED AREA,"Sc line , pond ,odai bund , water logged area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61349606875673 8.540061386544686, 77.61009938949869 8.538524692455457)"
26,26,,S,,PA,20.9,T25-T26,411.0220201,1.36,100,8.538524692,77.61009939,GOOD,AVAILABLE,,"ODAI BUND, POND",WATER LOGGED AREA,"Sc line , pond ,odai bund , water logged area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61009938949869 8.538524692455457, 77.6082952698089 8.538058233836486)"
27,27,,S,,PA,20.39,T26-T27,205.3416825,1.84,103,8.538058234,77.60829527,GOOD,AVAILABLE,,"ODAI BUND, POND,ROAD, ODAI (NALA)-2NOS",AGRI LAND,"Sc line , 2no odai(nala) , Road ( meenavankulam - perumal kulam ) , pond ,odai bund , agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6082952698089 8.538058233836486, 77.60635033522409 8.537282427781543)"
28,28,,T,"11°30'16""RT",PB+3,23.85,T27-T28,230.8220912,1.9,105,8.537282428,77.60635034,GOOD,AVAILABLE,LI LINE-3NOS,"ROAD,ODAI (NALA)",PLAIN LAND,"Sc line, Road , 3nos LT LINE , odai(nala), plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.60635033522409 8.537282427781543, 77.60426257011245 8.536915101147008)"
29,29,,S,,PA+3,23.9,T28-T29,233.5586908,1.53,108,8.536915101,77.60426257,GOOD,AVAILABLE,,,PLAIN LAND,"Sc line , plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.60426257011245 8.536915101147008, 77.60187775281919 8.536446993419222)"
30,30,,S,,PA,20.9,T29-T30,267.7766327,1.49,107,8.536446993,77.60187775,GOOD,AVAILABLE,,CART TRACK,PLAIN LAND,"Sc line ,  cart track , plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.60187775281919 8.536446993419222, 77.5998557028693 8.53611846023368)"
31,31,,T,"5°00'59""LT",PB+3,23.85,T30-T31,225.7017224,2.78,107,8.53611846,77.5998557,GOOD,AVAILABLE,,ROAD,PLAIN LAND,"Sc line, Road , plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5998557028693 8.53611846023368, 77.59873319081008 8.534140721470475)"
32,32,,S,,PA+3,23.9,T31-T32,251.3895904,1.76,113,8.534140721,77.59873319,GOOD,AVAILABLE,11KV LINE-1NO,ROAD,PLAIN LAND,"Sc line , 11kv line , LT line , ROAD , PLAIN LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.59873319081008 8.534140721470475, 77.59754229303658 8.532015420140013)"
33,33,,S,,PA,20.9,T32-T33,269.3175705,2.74,113,8.53201542,77.59754229,GOOD,AVAILABLE,,"CART TRACK,ODAI (NALA)",PLAIN LAND,"Sc line, odai (nala) ,LT line, CART TRACK , plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.59754229303658 8.532015420140013, 77.59646069537247 8.530083414541627)"
34,34,,S,,PA,20.9,T33-T34,244.7702457,1.37,114,8.530083415,77.5964607,GOOD,AVAILABLE,,ODAI (NALA),PLAIN LAND,"Sc line , odai (nala) , plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.59646069537247 8.530083414541627, 77.59554035931355 8.528610279985662)"
35,35,,T,"22°25'33""RT",PB,20.85,T34-T345,191.9840237,2.9,114,8.52861028,77.59554036,GOOD,AVAILABLE,,ODAI (NALA),PLAIN LAND,"Sc line, odai (nala) , plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.59554035931355 8.528610279985662, 77.59352535477004 8.527078810104571)"
36,36,,S,,PA,20.9,T35-T36,279.2873631,2.82,118,8.52707881,77.59352535,GOOD,AVAILABLE,,CART TRACK 2NOS,PLAIN LAND,"Sc line, 2nos  cart track , plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.59352535477004 8.527078810104571, 77.59150866190913 8.525448188756297)"
37,37,,S,,PA,20.9,T36-T37,286.2237852,2.52,114,8.525448189,77.59150866,GOOD,AVAILABLE,LT LINE -1NO,"ODAI (NALA),CART TRACK",AGRI LAND,"Sc line , odai (nala) , cart track , LT line, agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.59150866190913 8.525448188756297, 77.58967470271911 8.52408116723188)"
38,38,2W,T,"10°26'7""RT",PB,20.85,T37-T38,252.4022596,1.45,115,8.524081167,77.5896747,GOOD,AVAILABLE,,,AGRI LAND,"Sc line, agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.58967470271911 8.52408116723188, 77.5873918118254 8.522962818796394)"
39,39,,S,,PA,20.9,T38-T39,280.2996391,1.86,120,8.522962819,77.58739181,GOOD,AVAILABLE,,"POND,ODAI BUND,CART TRACK",PLAIN LAND,"Sc line , pond ,odai bund , cart track , plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5873918118254 8.522962818796394, 77.58519038605408 8.521715157136093)"
40,40,,S,,PA,20.9,T39-T40,279.0726405,1.58,119,8.521715157,77.58519039,GOOD,AVAILABLE,,"CART TRACK , ODAI (NALA)",WATER LOGGED AREA,"Sc line, odai (nala) ,  cart track, water logged land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.58519038605408 8.521715157136093, 77.58286624720054 8.520516570592077)"
41,41,,S,,PA,20.9,T40-T41,288.3596448,1.32,121,8.520516571,77.58286625,GOOD,AVAILABLE,,CART TRACK,PLAIN LAND,"Sc line , cart tark , plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.58286624720054 8.520516570592077, 77.58059107137285 8.5193256002482)"
42,42,,S,,PA+3,23.9,T41-T42,283.1879246,2.33,122,8.5193256,77.58059107,GOOD,AVAILABLE,11KV LINE-1NO,"CART TRACK , ROAD",PLAIN LAND,"Sc line , Road , 11KV line , cart track, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.58059107137285 8.5193256002482, 77.5783748902527 8.51825896793872)"
43,43,,T,"9°13'9""LT",PC+3,24.65,T42-T43,271.185971,2.53,121,8.518258968,77.57837489,GOOD,AVAILABLE,,,PLAIN LAND,"Sc line, plain land ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5783748902527 8.51825896793872, 77.57672801348156 8.516963529576104)"
44,44,,S,,PA+3,23.9,T43-T44,231.2348262,1.93,122,8.51696353,77.57672801,GOOD,AVAILABLE,,"ODAI BUND,ROAD",PLAIN LAND,"Sc line,odai bund , Road, 11kv line , plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.57672801348156 8.516963529576104, 77.57519714978315 8.515919427841505)"
45,45,,S,,PA,20.9,T44-T45,204.4355755,1.42,122,8.515919428,77.57519715,GOOD,AVAILABLE,,,AGRI LAND,"Sc line, agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.57519714978315 8.515919427841505, 77.5729923723433 8.514194267706042)"
46,46,,S,,PA,20.9,T45-T46,308.9439743,2.58,123,8.514194268,77.57299237,GOOD,AVAILABLE,,,AGRI LAND,"Sc line, agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5729923723433 8.514194267706042, 77.5711651145296 8.512931314023508)"
47,47,,T,"11°9'45""LT",PB+3,23.85,T46-T47,245.0666731,1.7,124,8.512931314,77.57116511,GOOD,AVAILABLE,LT LINE-1NO,"ROAD,ODAI BUND,POND",PLAIN LAND,"Sc line, Road , odai bund , pond , LT line , Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5711651145296 8.512931314023508, 77.56960038118115 8.511214742527702)"
48,48,,S,,PA+3,23.9,T47-T48,256.5201959,1.82,125,8.511214743,77.56960038,GOOD,AVAILABLE,,"ODAI BUND,POND",AGRI LAND,"Sc line ,odai bund , pond , agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.56960038118115 8.511214742527702, 77.56779961079658 8.509242851621718)"
49,49,,T,"35°27'55""LT",PC,21.65,T48-T49,294.9192937,1.73,124,8.509242852,77.56779961,GOOD,AVAILABLE,LT LINE-1NO,,AGRI LAND,"Sc line, LT line , agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.56779961079658 8.509242851621718, 77.56764571719616 8.507954976807742)"
50,50,,T,,PA,20.9,T49-T50,143.526507,2.84,127,8.507954977,77.56764572,GOOD,AVAILABLE,LT LINE-1NO,,AGRI LAND,"Sc line, LT line, agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.56764571719616 8.507954976807742, 77.56730977873664 8.50764760993921)"
GANTRY,KALAKKADU,2W,T,,,,T51-Gantry (Kalakkadu),50.26665584,,128,8.50764761,77.56730978,GOOD,NOT AVAILABLE,11KV LINE-1NO,,," T50 TO GANTRY KALAKKADU earth wire not available , 11kv line , Fencing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0,KM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
