S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length (m),Footing Resistance of Tower ( Ohms),,Ground Elevation (m),Deviation Angle (Degrees),Latitude,Longitude,"Condition of  Tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/  Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,1 LILO (115/54/01),3W,T,DD+9,24,#REF!,61,7.86,FALSE,267,68°15'11''LT,10.59629403,78.08365798,Good,Good,,,Agri,LILO KOVILUR                (D/C TOWER START),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0836579762399 10.5962940305471, 78.0857259593904 10.5980689823627)"
2,2,,T,DC+0,24,5-6,309,5.43,FALSE,271,23°44'11''LT,10.59806898,78.08572596,Good,Good,22KV,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0857259593904 10.5980689823627, 78.0866260081529 10.5999509710818)"
3,3,,T,DB+0,24,6-7,240,6.82,FALSE,270,13°43'25''LT,10.59995097,78.08662601,Good,Good,,THAR ROAD,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0866260081529 10.5999509710818, 78.0871659703552 10.6025539711117)"
4,4,,T,DC+0,31,7-8,304,8.84,FALSE,276,31°27'21''RT,10.60255397,78.08716597,Good,Good,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0871659703552 10.6025539711117, 78.0866329651325 10.6040900386869)"
5,5,,S,DA+0,31,8-9,189,3.24,FALSE,270,,10.60409004,78.08663297,Good,Good,"22KV,2-LT",,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0866329651325 10.6040900386869, 78.0861019715666 10.6056120246648)"
6,6,,T,DD+0,27,9-10,187,2.57,FALSE,268,36°5'33''LT,10.60561202,78.08610197,Good,Good,LT,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0861019715666 10.6056120246648, 78.0868420097976 10.6080270186066)"
7,7,,S,DA+0,27,10-11,289,3.07,FALSE,268,,10.60802702,78.08684201,Good,Good,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0868420097976 10.6080270186066, 78.0875050183385 10.6102310400456)"
8,8,,S,DA+0,24,11-12,264,7.02,FALSE,265,,10.61023104,78.08750502,Good,Good,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0875050183385 10.6102310400456, 78.0881680268794 10.6125929765403)"
9,9,,S,DA+0,24,12-13,281,0.81,FALSE,262,,10.61259298,78.08816803,Good,Good,2-LT,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0881680268794 10.6125929765403, 78.0888369865715 10.6149570085108)"
10,10,,S,DA+0,24,13-14,281,3.82,FALSE,256,,10.61495701,78.08883699,Good,Good,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0888369865715 10.6149570085108, 78.0896109715104 10.6174839846789)"
11,11,,S,DA+0,24,14-15,302,1.47,FALSE,260,,10.61748398,78.08961097,Good,Good,LT,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0896109715104 10.6174839846789, 78.0901619978249 10.6193219684064)"
12,12,,T,DC+0,24,15-16,222,5.41,FALSE,260,22°23'46''RT,10.61932197,78.090162,Good,Good,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0901619978249 10.6193219684064, 78.0915379710495 10.6210079882293)"
13,13,,S,DA+0,24,16-17,249,2.08,FALSE,257,,10.62100799,78.09153797,Good,Good,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0915379710495 10.6210079882293, 78.0931830033659 10.6229899730533)"
14,14,,S,DA+0,24,17-18,293,2.47,FALSE,271,,10.62298997,78.093183,Good,Good,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0931830033659 10.6229899730533, 78.0945049971342 10.6245879828929)"
15,15,,S,DA+0,24,18-19,238,4.29,FALSE,265,,10.62458798,78.094505,Good,Good,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0945049971342 10.6245879828929, 78.0957860033959 10.6260580010712)"
16,16,2W,T,DB+0,24,19-20,224,3.76,FALSE,266,15°5'57''LT,10.626058,78.095786,Good,Good,LT,THAR ROAD,Agri,NEAR BY NH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0957860033959 10.6260580010712, 78.0964660272002 10.6274580303579)"
17,17,,S,DA+0,24,20-21,181,6.26,FALSE,236,,10.62745803,78.09646603,Good,Good,2-LT,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0964660272002 10.6274580303579, 78.0972970090806 10.6290879752486)"
18,18,,S,DA+0,24,21-22,211,4.05,FALSE,254,,10.62908798,78.09729701,Good,Good,LT,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0972970090806 10.6290879752486, 78.0982239637523 10.6307579856365)"
19,19,,T,DB+0,24,22-23,220,5.48,FALSE,259,20°15'58''RT,10.63075799,78.09822396,Good,Good,LT,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0982239637523 10.6307579856365, 78.0999099835753 10.6322059594094)"
20,20,,S,DA+0,24,23-24,253,0.48,FALSE,261,,10.63220596,78.09990998,Good,Good,22KV,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0999099835753 10.6322059594094, 78.1021519750356 10.6341109983623)"
21,21,,T,DC+0,25,24-25,332,4.36,FALSE,265,29°0'50''LT,10.634111,78.10215198,Good,Good,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1021519750356 10.6341109983623, 78.1027930229902 10.635823002085)"
22,22,,S,DA+0,25,25-26,211,2.26,FALSE,266,,10.635823,78.10279302,Good,Good,2-LT,THAR ROAD,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1027930229902 10.635823002085, 78.103677984327 10.6379850301891)"
