,Tower No,Joint Box,Supspension/ Tenion,CIRCUIT,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts, broken, etc)","Condition of Earht wire (Missing, Broken etc)",GROUND EARTH AVAILABLE,Crossing Objects,,Condition of Area (Plain/Hilly/ Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
13,T.NO-28,,S,DA,26,29-28,259.5630944,7.12,140,,8.98749288,77.45603437,GOOD,GOOD,NO,33KV ,MUD ROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.45603437 8.98749288, 77.45883851 8.98681448)"
14,T.NO-27,,S,DA,26,28-27,317.5059055,5.09,140,,8.98681448,77.45883851,GOOD,GOOD,NO,"LT, 33KV",TAAR ROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.45883851 8.98681448, 77.46103469 8.98629375)"
15,T.NO-26,,S,DA,26,27-26,248.394847,6.15,140,,8.98629375,77.46103469,GOOD,GOOD,NO,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.46103469 8.98629375, 77.46366642 8.98566165)"
16,T.NO-25,2W,T,DC,26,26-25,297.8657416,5.4,141,"18°39'54.23""",8.98566165,77.46366642,GOOD,GOOD,NO,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.46366642 8.98566165, 77.46593827 8.98423668)"
17,T.NO-24,,S,DA,26,25-24,295.5283404,4.35,140,,8.98423668,77.46593827,GOOD,GOOD,NO,LT,TAAR ROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.46593827 8.98423668, 77.46832777 8.98273862)"
18,T.NO-23,,S,DA,26,24-23,310.7925353,3.67,129,,8.98273862,77.46832777,GOOD,GOOD,NO,2nos LT,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.46832777 8.98273862, 77.47049124 8.9814228)"
19,T.NO-22,,S,DA,26,23-22,279.0286724,3.87,127,,8.9814228,77.47049124,GOOD,GOOD,NO,"LT,11KV",,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.47049124 8.9814228, 77.47278115 8.97998864)"
20,T.NO-21,,S,DA,26,22-21,297.7549328,2.64,125,,8.97998864,77.47278115,GOOD,GOOD,NO,33KV,TAAR ROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.47278115 8.97998864, 77.47509837 8.97856333)"
21,T.NO-20,,T,DB,24,21-20,299.7865908,3.06,129,"0°6'34.37""",8.97856333,77.47509837,GOOD,GOOD,NO,LT,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.47509837 8.97856333, 77.47736121 8.97716548)"
22,T.NO-19,,S,DA,29,20-19,293.1023712,2.94,128,,8.97716548,77.47736121,GOOD,GOOD,NO,11KV,,CULTIVATION,EARTH WIRE NOT IN PEAK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.47736121 8.97716548, 77.4795423 8.97577721)"
23,T.NO-18,,S,DA,26,19-18,284.9298159,2.52,149,,8.97577721,77.4795423,GOOD,GOOD,NO,"11KV, 33KV",TAAR ROAD,CULTIVATION,EARTH WIRE NOT IN PEAK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4795423 8.97577721, 77.48176894 8.9744067)"
24,T.NO-17,,S,DA,26,18-17,288.1249729,2.45,148,,8.9744067,77.48176894,GOOD,GOOD,NO,"11KV, LT",POND,INSIDE THE POND,HEAVY BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.48176894 8.9744067, 77.48393206 8.97305469)"
25,T.NO-16,2W,T,DC,26,17-16,281.1138559,2.51,149,"18°17'23.67""",8.97305469,77.48393206,GOOD,GOOD,NO,LT,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.48393206 8.97305469, 77.48612796 8.97251576)"
26,T.NO-15,,S,DA,26,16-15,248.8533705,3.94,145,,8.97251576,77.48612796,GOOD,GOOD,NO,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.48612796 8.97251576, 77.48860499 8.97188457)"
27,T.NO-14,,S,DA,26,15-14,281.3414296,2.6,142,,8.97188457,77.48860499,GOOD,GOOD,NO,33KV,MUD ROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.48860499 8.97188457, 77.49106408 8.97128962)"
28,T.NO-13,,S,DA,29,14-13,278.4546642,2.45,142,,8.97128962,77.49106408,GOOD,GOOD,NO,,MUD ROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.49106408 8.97128962, 77.4932508 8.97074169)"
29,T.NO-12,,S,DA,26,13-Dec,248.1169079,4.12,138,,8.97074169,77.4932508,GOOD,GOOD,NO,LT,TAAR ROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4932508 8.97074169, 77.49551912 8.97016608)"
30,T.NO-11,,S,DA,26,12-Nov,257.5732905,4.35,137,,8.97016608,77.49551912,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.49551912 8.97016608, 77.49812334 8.96953397)"
31,T.NO-10,,S,DA,26,11-Oct,294.9457577,3.91,134,,8.96953397,77.49812334,GOOD,GOOD,NO,2nos LT,2nos MUD ROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.49812334 8.96953397, 77.50018292 8.96900494)"
