S.NO,TOWER NO,Joint Box,TOWER S/T,DEVIATION OF  ANGLE,TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER ,SPAN LENGTH (Mtrs),EARTH FOOTING RESISTANCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING DETAILS,,CONDITION OF AREA (Plain/Hills/Forest/Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
GANTRY,,2W,THANDAYARKULAM,,,18,,,,85,8.312199847,77.60657832,NOT AVAILABLE,,,,"GENTRY,NO EARTH  WIRE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6065783202648 8.31219984732271, 77.6064267754554 8.31225657726302)"
1,1,,T,"53°05'50""LT",KC,24, THANDAYARKULAM-1,17.84580455,32.97,85,8.312256577,77.60642678,AVAILABLE,33KV LINE-5NOS,ROAD,AGRI LAND,"DC LINE, 33 KV LINE-5NOS, FENCING,ROAD ,GOOD,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6064267754554 8.31225657726302, 77.6062018051743 8.3110533036121)"
2,2,,T,"16°12'47""RT",HC,24,T1-T2,135.4498263,32.89,86,8.311053304,77.60620181,AVAILABLE,,POND,WATER LOGGED AREA,"DC LINE,POND,WATER LOGED AREA,GOOD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6062018051743 8.3110533036121, 77.6060817763209 8.30901333662307)"
3,3,,T,"36°26'13""LT",KC,24,T2-T3,226.1432008,30.65,82,8.309013337,77.60608178,AVAILABLE,,POND,WATER LOGGED AREA,"DC LINE,POND,WATER LOGED AREA,GOOD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6060817763209 8.30901333662307, 77.6064981892705 8.30799849139365)"
4,4,3W,T (LILO),,KC,24,T3-T4,121.3256188,32.93,82,8.307998491,77.60649819,AVAILABLE,,,AGRI LAND,"LILO,DC LINE, AGRILAND,GOOD,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0,KM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
