SL.NO,TOWER NO,TOWER S / T,DEVIATION OF  ANGLE ,TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER ,SPAN LENGTH (Mtrs),EARTH FOOTING RESISTENCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING DETAILS,,CONDITION OF AREA (Plain/Hills/Forest/Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
18,18,T,"37°3'40""RT",KCR+3,27,T17-T18,166,35.88,12,8.46138664094296,78.0005200579762,AVAILABLE,,ROAD,AGRI LAND,"DC Line, road, Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0005200579762 8.46138664094296, 78.0028790608048 8.46128748453773)"
19,19,S,,GCR,23.62,T18-T19,262,35.870000000000005,12,8.46128748453773,78.0028790608048,AVAILABLE,LT LINE,,AGRI LAND,"DC Line,lt line, Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0028790608048 8.46128748453773, 78.005384914577 8.46114422172653)"
20,20,T,"18°12'35""LT",HCR+3,24.94,T19-T20,279,35.89,10,8.46114422172653,78.005384914577,AVAILABLE,11KV LINE,ROAD,PLAIN LAND,"DC Line,11kv line, road, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.005384914577 8.46114422172653, 78.0076020956039 8.46113029339483)"
21,21,S,,GCR,23.62,T20-T21,244.38195974332794,35.86,14,8.46113029339483,78.0076020956039,AVAILABLE,,,PLAIN LAND,"DC Line, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0076020956039 8.46113029339483, 78.0101699754595 8.46245149290318)"
22,22,T,"46°43'40""RT",KCR,24,T21-T22,318.58794052823583,35.88,11,8.46245149290318,78.0101699754595,AVAILABLE,,,PLAIN LAND,"DC Line, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0101699754595 8.46245149290318, 78.0120448395609 8.46133523879629)"
23,23,S,,GCR,23.62,T22-T23,240.77543856675962,35.9,13,8.46133523879629,78.0120448395609,AVAILABLE,LT LINE,,PLAIN LAND,"DC Line,lt line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0120448395609 8.46133523879629, 78.0138784646987 8.46019908378957)"
24,24,T,"7°3'39""RT",HCR,21.94,T23-T24,238.04205714534578,35.89,12,8.46019908378957,78.0138784646987,AVAILABLE,,,PLAIN LAND,"DC Line, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0138784646987 8.46019908378957, 78.0155065655708 8.45891866690667)"
25,25,S,,GCR,23.62,T24-T25,228.67736753992756,35.870000000000005,15,8.45891866690667,78.0155065655708,AVAILABLE,,,PLAIN LAND,"DC Line, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0155065655708 8.45891866690667, 78.0172784999013 8.45751156310376)"
26,26,T,"29°28'55""RT",KCR,24,T25-T26,249.81314722212502,40.010000000000005,13,8.45751156310376,78.0172784999013,AVAILABLE,,,PLAIN LAND,"DC Line,GOOD, PLAIN LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0172784999013 8.45751156310376, 78.0180332064628 8.45565840983626)"
27,27,T,"56°15'45""LT",KCR,24,T26-T27,221.3711565244887,40.18,12,8.45565840983626,78.0180332064628,AVAILABLE,,,PLAIN LAND,"DC Line,2 FENCING, GOOD, PLAIN LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0180332064628 8.45565840983626, 78.0201900377869 8.45521501805015)"
