S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,GANTRY,2W,GANTRY,GANTRY,15,,,,55,,9.431332871,77.57054209,GOOD,,,,PLAIN, 110KV RAJAPALAYAM SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5705420877784 9.43133287131786, 77.5706897769123 9.43115701898932)"
2,TN - 17,,T,DC on DC,26,TN - 14 : TN - 13,27.34047598,6.91,58,47°0'18''LT,9.431157019,77.57068978,GOOD,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5706897769123 9.43115701898932, 77.5704473722726 9.42917696200311)"
3,T/OFF - 16,,T,DC on DC,26,TN - 13 : TN - 12,222.7438964,4.65,57,49°34'60''LT,9.429176962,77.57044737,GOOD,AVAILABLE,HT -2,,PLAIN,T/OFF TO RAMCO FACTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5704473722726 9.42917696200311, 77.5693927612155 9.42848059348762)"
4,TN - 15,,T,DC on DC,26,TN - 12 : TN - 11,141.1758808,5.27,54,24°3'40''RT,9.428480593,77.56939276,GOOD,AVAILABLE,,,PLAIN,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5693927612155 9.42848059348762, 77.5680946558713 9.42644312046468)"
5,TN - 14,,S,DC on DC,26,TN - 11 : TN - 10,268.8183182,6.54,56,,9.42644312,77.56809466,GOOD,AVAILABLE,LT -3,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5680946558713 9.42644312046468, 77.5668133981525 9.42458602599799)"
6,TN - 13,,S,DC on DC,26,TN - 10 : TN - 9,251.1253907,4.23,59,,9.424586026,77.5668134,GOOD,AVAILABLE,LT -2,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5668133981525 9.42458602599799, 77.5652974471449 9.4223628938198)"
7,TN - 12,,S,DC on DC,26,TN - 9 : TN - 8,299.1248726,3.75,55,,9.422362894,77.56529745,GOOD,AVAILABLE,LT ,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5652974471449 9.4223628938198, 77.5639574322849 9.42035207524895)"
8,TN - 11,,S,DC on DC,26,TN - 8 : TN - 7,268.8442539,3.98,54,,9.420352075,77.56395743,GOOD,AVAILABLE,LT -2,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5639574322849 9.42035207524895, 77.5624579936265 9.41810388118028)"
9,TN - 10,,T,DC on DC,35,TN - 7 : TN - 6,300.4201973,4.28,56,35°46'12''LT,9.418103881,77.56245799,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5624579936265 9.41810388118028, 77.5609781686216 9.41754975356161)"
10,TN - 9,,T,DC on DC,35,TN - 6 : TN - 5,175.8001439,5.64,58,21°39'31''RT,9.417549754,77.56097817,GOOD,AVAILABLE,,RAILWAY ,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5609781686216 9.41754975356161, 77.5586908310651 9.41547665745019)"
11,TN - 8,,T,DC on DC,26,TN - 5 : LILO - 10,342.3215697,6.12,53,0°45'37''RT,9.415476657,77.55869083,GOOD,AVAILABLE,"HT, LT -2",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5586908310651 9.41547665745019, 77.5568267796188 9.41374160349369)"
12,TN - 7,,S,DC on DC,26,LILO - 10 : TN - 9,282.7698634,5.85,52,,9.413741603,77.55682678,GOOD,AVAILABLE,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5568267796188 9.41374160349369, 77.554882094264 9.4119878578931)"
13,TN - 6,,S,DC on DC,26,TN - 9 : TN - 8,290.6857351,3.65,57,,9.411987858,77.55488209,GOOD,AVAILABLE,,NH,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.554882094264 9.4119878578931, 77.553137904033 9.41038926132023)"
14,TN - 5,,T,DC on DC,26,TN - 8 : TN - 7,262.8404714,4.29,59,21°57'53''LT,9.410389261,77.5531379,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.553137904033 9.41038926132023, 77.5518962088972 9.40992398187518)"
15,LILO - 10,3W,T,DC on DC,44,TN - 7 : TN - 6,147.8469601,6.45,56,58°7'55''RT,9.409923982,77.55189621,GOOD,AVAILABLE,,,PLAIN,COMMON TOWER FOR 110KV RAJAPALAYAM - THOTTIAPAAI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5518962088972 9.40992398187518, 77.5526374205946 9.40911998972296)"
16,TN - 9,,T,DC on DC,44,TN - 6 : TN - 5,122.6299161,4.58,51,23°20'17''LT,9.40911999,77.55263742,GOOD,AVAILABLE,"110KV BELOW XING, LT",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5526374205946 9.40911998972296, 77.553468318656 9.40675201825797)"
17,TN - 8,,S,DC on DC,26,TN - 5 : TN - 4,279.5098081,5.28,52,,9.406752018,77.55346832,GOOD,AVAILABLE,,,PLAIN,INSIDE OF POND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.553468318656 9.40675201825797, 77.5541337579488 9.40455009229481)"
18,TN - 7,2W,S,DC on DC,26,TN - 4 : TN - 3,256.4178601,6.12,54,,9.404550092,77.55413376,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5541337579488 9.40455009229481, 77.5550545938313 9.40182949416339)"
19,TN - 6,,S,DC on DC,26,TN - 3 : TN - 2,319.6332787,3.47,56,,9.401829494,77.55505459,GOOD,NO E/W,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5550545938313 9.40182949416339, 77.5559043511748 9.39925909973681)"
20,TN - 5,,T,DC on DC,26,TN - 2 : TN - 1,301.3959837,2.98,58,40°51'22''RT,9.3992591,77.55590435,GOOD,NO E/W,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5559043511748 9.39925909973681, 77.5580399762839 9.39798345789313)"
21,TN - 4,,T,DC on DC,26,TN - 1 : ,275.8874637,3.73,57,22°46'10''RT,9.397983458,77.55803998,GOOD,AVAILABLE,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5580399762839 9.39798345789313, 77.5597442686557 9.39774147234857)"
22,TN - 3,,T,DC on DC,26, : ,191.2041897,4.65,56,22°39'39''LT,9.397741472,77.55974427,GOOD,AVAILABLE,LT -2,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5597442686557 9.39774147234857, 77.5620978232473 9.3982960190624)"
23,TN - 2,,T,DC on DC,26, : ,267.8336919,5.89,53,9°38'6''LT,9.398296019,77.56209782,GOOD,AVAILABLE,LT,NH,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5620978232473 9.3982960190624, 77.5642117392271 9.39842987805604)"
24,TN - 1,2W,T,DC on DC,26, : ,234.7887013,6.21,58,,9.398429878,77.56421174,GOOD,AVAILABLE,"HT, LT",,PLAIN,230KV NALLAMANAICKENPATTI SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note : 1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
