SL.NO,TOWER NO,Tower Suspension/ Tension,DIVATIONN OF  ANGLE ('),TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER LENGTH (Mtrs),SPAN LENGTH (Mtrs),FOOTING RESIDENCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING OBJECTS,,CONDITION OF AREA ( Plain/Hills/Forest/Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
GANTRY,Gantry (Aruppukottai),,,,16,,,,96,9.50069186738957,78.1215778575577,,,,,GANTRY ARUPPUKOTTAI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1215778575577 9.50069186738957, 78.1218585 9.500625255)"
1,1,T,,,24,Gantry (Aruppukottai)- T1,32.45653955676691,2.56,96,9.500625255,78.1218585,AVAILABLE,,,PLAIN LAND," Dc line , Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1218585 9.500625255, 78.12413905 9.501471458)"
2,2,S,,GC,23.62,T1-T2,267.55214794318,1.72,93,9.501471458,78.12413905,AVAILABLE,"11KV LINE , LT LINE","CART TRACK-2NOS,ROAD-2NOS",PLAIN LAND," Dc line,  2Nos Road , cart track,2nos 11kv line,  Lt line, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.12413905 9.501471458, 78.12607493 9.502183073)"
3,3,S,,GC,23.62,T2-T3,226.8579216007237,1.63,92,9.502183073,78.12607493,AVAILABLE,LT LINE-2NOS,CART TRACK ,PLAIN LAND," Dc line,  2nos Lt line, cart track, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.12607493 9.502183073, 78.12843695 9.503034563)"
4,4,T,"3°31'40""RT",HC+3,24.94,T3-T4,276.15379695557556,2.66,90,9.503034563,78.12843695,AVAILABLE,LT LINE-2NOS ,ROAD-2NOS,PLAIN LAND,"Dc line ,  2nos  Lt line, 2nos road, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.12843695 9.503034563, 78.12983505 9.503451544)"
5,5,T,"8°30'26""LT",HC+3,24.94,T4-T5,160.42508391459302,2.59,90,9.503451544,78.12983505,AVAILABLE,"11KV LINE , LT LINE-2NOS",ROAD-2NOS,PLAIN LAND,"Dc line, 11kv line, 2nos LT line , 2nos Road,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.12983505 9.503451544, 78.13134044 9.50415588)"
6,6,T,"0°47'59""RT",HC,21.94,T5-T6,182.88349041396407,2.71,90,9.50415588,78.13134044,AVAILABLE,"11KV LINE ,LT LINE",,PLAIN LAND," Dc line ,  11 kv line , Lt line, LiLo, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.13134044 9.50415588, 78.13307818 9.504946521)"
7,7,S,,GC,23.62,T6-T7,210.0641464053476,1.49,90,9.504946521,78.13307818,AVAILABLE,"11KV LINE,LT LINE-3NOS",POND,WATER LOGGED AREA,"sc line, 11 kv line, 3nos LT line,  pond, water logged area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.13307818 9.504946521, 78.13416179 9.50542798)"
8,8,T,"16°9'24""RT",HC,21.94,T7-T8,130.46321086425485,2.85,91,9.50542798,78.13416179,AVAILABLE,LT LINE-2NOS,CART TRACK -2NOS,PLAIN LAND," sc line ,  2nos LT line, 2nos  cart track",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.13416179 9.50542798, 78.13680075 9.505831401)"
9,9,S,,GC,23.62,T8-T9,293.41709432985385,1.43,98,9.505831401,78.13680075,AVAILABLE,11KV LINE,,PLAIN LAND,"Sc line, 11 kv line, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.13680075 9.505831401, 78.13942965 9.506219279)"
