S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,LILO : 13,3W,T,DC,28,,,,17,,8.761940338,78.12670743,GOOD,,,,PLAIN,TTN (AUTO )- VAGAIKULAM  LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1267074309289 8.76194033771753, 78.1283679697662 8.76216581091284)"
2,26,,T,DC+3,32,LILO 13 - 26,193.5554336,-,9,58°9'6''LT,8.762165811,78.12836797,GOOD,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1283679697662 8.76216581091284, 78.128600064665 8.76268255524337)"
3,25,,T,H-POLE,15,26 - 25,71.6501449,-,8,15°58'57''LT,8.762682555,78.12860006,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.128600064665 8.76268255524337, 78.1286517810076 8.76304431818425)"
4,24,,T,H-POLE,15,25 - 24,49.44736695,-,9,168°27'23''RT,8.763044318,78.12865178,GOOD,Available,230KV,RIVER,PLAIN,UP LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1286517810076 8.76304431818425, 78.1286309938877 8.76338738948106)"
5,23,,T,DC+3,32,24 - 23,47.04433067,-,12,153°47'31''LT,8.763387389,78.12863099,GOOD,Available,,RIVER,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1286309938877 8.76338738948106, 78.1288718059659 8.76395844854414)"
6,22,,T,M+12,58,23 - 22,77.54901635,-,13,6°34'29''RT,8.763958449,78.12887181,GOOD,Available,400KV,RIVER,PLAIN,UP LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1288718059659 8.76395844854414, 78.1300813145935 8.76609968952834)"
7,21,,T,M+12,58,22 - 21,280.8783837,-,10,28°13'18''RT,8.76609969,78.13008131,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1300813145935 8.76609968952834, 78.1315272767096 8.76701415516436)"
8,20,,T,M+12,58,21 - 20,197.6796314,-,8,33°35'7''LT,8.767014155,78.13152728,GOOD,Available,,HIGHWAY,SALT PLANT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1315272767096 8.76701415516436, 78.1319648120552 8.76799316145479)"
9,19,,T,M+12,58,20 - 19,127.5963629,-,9,31°54'8''RT,8.767993161,78.13196481,GOOD,Available,230KV,,SALT PLANT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1319648120552 8.76799316145479, 78.1333470717072 8.76892514526844)"
10,18,,T,M+12,58,19 - 18,192.8784163,-,6,52°5'41''LT,8.768925145,78.13334707,GOOD,Available,HT,,SALT PLANT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1333470717072 8.76892514526844, 78.1334040686488 8.76978387124836)"
11,17,,T,M+12,58,18 - 17,104.2611122,-,6,74°23'55''RT,8.769783871,78.13340407,GOOD,Available,"230KV, HT",,SALT PLANT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1334040686488 8.76978387124836, 78.1347097177058 8.77005578018724)"
12,16,,T,DC+6,34,17 - 16,155.8920355,-,12,5°39'18''RT,8.77005578,78.13470972,GOOD,Available,LT - 2NO,HIGHWAY,SALT PLANT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1347097177058 8.77005578018724, 78.1371506117284 8.77031821757555)"
13,15,,T,DC+6,34,16 - 15,279.3509162,-,7,2°16'14''RT,8.770318218,78.13715061,GOOD,Available,LT,,SALT PLANT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1371506117284 8.77031821757555, 78.1391020864248 8.77045048400759)"
14,14,,T,DC+9,37,15 - 14,224.3895797,-,6,39°31'6''LT,8.770450484,78.13910209,GOOD,Available,LT,,SALT PLANT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1391020864248 8.77045048400759, 78.139895517379 8.77119731158018)"
15,13,2W,T,DC+9,37,14 - 13,129.2808767,-,7,28°6'55''RT,8.771197312,78.13989552,GOOD,Available,,RAILWAY,SALT PLANT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.139895517379 8.77119731158018, 78.1418077647686 8.7717177439481)"
16,12,,T,DC+3,34,13-Dec,227.308563,-,11,37°7'34''LT,8.771717744,78.14180776,GOOD,Available,HT,,SALT PLANT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1418077647686 8.7717177439481, 78.1432555709034 8.77358975820243)"
17,11,,T,DC+3,34,12-Nov,270.4484001,-,7,0°34'51''RT,8.773589758,78.14325557,GOOD,Available,LT,,SALT PLANT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1432555709034 8.77358975820243, 78.1447126809507 8.77543478272855)"
18,10,,S,DC+3,34,11-Oct,268.7178684,-,10,,8.775434783,78.14471268,GOOD,Available,,,SALT PLANT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1447126809507 8.77543478272855, 78.146232990548 8.77733445726335)"
19,9,,T,DC+3,34,10-Sep,277.7787754,-,4,10°24'49''RT,8.777334457,78.14623299,GOOD,Available,LT,,SALT PLANT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.146232990548 8.77733445726335, 78.1480734050273 8.77892944961786)"
20,8,,S,DC+3,34,09-Aug,277.7743935,-,4,,8.77892945,78.14807341,GOOD,Available,HT,ROAD,SALT PLANT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1480734050273 8.77892944961786, 78.1496789585798 8.78037801012396)"
21,7,,S,DC+3,34,08-Jul,247.6744532,-,7,,8.78037801,78.14967896,GOOD,Available,LT,,SALT PLANT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1496789585798 8.78037801012396, 78.151465812698 8.78185515291988)"
