,Tower No,Joint Box,Type,Supspension/ Tenion,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts, broken, etc)","Condition of Earht wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/ Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
18,T.NO-17,,SC,T,26,16-17,241.0020747,3.36,192,"20°25'37.72""",8.98945528,77.30901318,GOOD,GOOD,2nos 11KV,MUDROAD,PLAIN & ROCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30901318 8.98945528, 77.30630032 8.98884864)"
19,T.NO-18,,SC,T,26,17-18,305.8839649,4.89,186,"24°11'29.02""",8.98884864,77.30630032,GOOD,GOOD,11KV,,PLAIN & ROCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30630032 8.98884864, 77.30501109 8.98910977)"
20,T.NO-19,,SC,T,26,18-19,144.7342392,4.1,183,"28°52'32.16""",8.98910977,77.30501109,GOOD,GOOD,,,PLAIN & ROCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30501109 8.98910977, 77.30365474 8.99025705)"
21,T.NO-20,,SC,T,26,19-20,195.8979326,3.18,185,"15°11'30.87""",8.99025705,77.30365474,GOOD,GOOD,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30365474 8.99025705, 77.30342954 8.99058383)"
22,T.NO-21,,DP TOWER,DP TOWER,20,20-21,43.829214,DP TOWER,184,,8.99058383,77.30342954,GOOD,GOOD,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30342954 8.99058383, 77.30333949 8.99071996)"
23,T.NO-22,,DP TOWER,DP TOWER,20,21-22,18.02775638,DP TOWER,184,,8.99071996,77.30333949,GOOD,GOOD,110KV DC LINE CROSSING ABOVE OUR LINE,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30333949 8.99071996, 77.30323166 8.99091947)"
24,T.NO-23,,SD,T,28,22-23,25.05992817,2.92,182,"31°47'6.32""",8.99091947,77.30323166,GOOD,GOOD,LT,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30323166 8.99091947, 77.30163746 8.99183324)"
25,T.NO-24,,SB,T,24,23-24,202.4252949,5.97,189,"1°4'9.53""",8.99183324,77.30163746,GOOD,GOOD,"LT,11KV",,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30163746 8.99183324, 77.30018796 8.99262861)"
26,T.NO-25,,SD,T,28,24-25,182.1235844,4.83,194,"60°50'55.69""",8.99262861,77.30018796,GOOD,GOOD,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30018796 8.99262861, 77.30018417 8.99346918)"
27,T.NO-26,,SB,T,24,25-26,93.00537619,5.33,190,"2°46'24.39""",8.99346918,77.30018417,GOOD,GOOD,LT ,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30018417 8.99346918, 77.30030084 8.99610758)"
