SL.NO,TOWER NO,Joint Box,TOWER S/T,DEVIATION OF  ANGLE ,TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER ,SPAN LENGTH (Mtrs),EARTH FOOTING RESISTENCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING DETAILS,,CONDITION OF AREA (Plain/Hills/Forest/Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
,KARANTHANERI ,2W,,,,,,,0,,8.545438219,77.66903691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.66903690966589 8.54543821872579, 77.66856450491794 8.545406401347826)"
1,1,,T,"49°44'15""RT",KC,24,Gantry (Karanthaneri)- T1,52.16172905,2.78,97,8.545406401,77.6685645,NOT AVAILABLE,110 KV LINE,,PLAIN LAND,"Dc line  , KARANTHANERI - T1  earth Wire IS NOT AVAILABLE, 110 kv under crossing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.66856450491794 8.545406401347826, 77.66686398763524 8.547151070374369)"
2,2,,T,"20°17'40""LT",KC,24,T1-T2,269.0284759,2.92,97,8.54715107,77.66686399,AVAILABLE,,,PLAIN LAND,"DC line  , plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.66686398763524 8.547151070374369, 77.6646357367467 8.54821242235032)"
3,3,,T,"11°29'40""RT",PB,20.85,T2-T3,272.127821,2.46,97,8.548212422,77.66463574,AVAILABLE,11KV LINE,,PLAIN LAND,"SC line  , 11kv line ,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6646357367467 8.54821242235032, 77.6625965939962 8.549750873374702)"
4,4,,S,,PA,20.9,T3-T4,281.8706915,1.28,95,8.549750873,77.66259659,AVAILABLE,,CART TRACK,AGRI LAND,"SC line    , 1no cart track , Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6625965939962 8.549750873374702, 77.66055945164393 8.551226974825038)"
5,5,,S,,PA,20.9,T4-T5,277.5777451,1.54,97,8.551226975,77.66055945,AVAILABLE,,ODAI(NALA),PLAIN LAND,"SC line , Odai(nala) , solor plants,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.66055945164393 8.551226974825038, 77.65849817904837 8.552773364256343)"
6,6,,S,,PA,20.9,T5-T6,284.3429718,1.76,99,8.552773364,77.65849818,AVAILABLE,LT LINE,CART TRACK,AGRI LAND,"SC line   , LT  Line, cart track , Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.65849817904837 8.552773364256343, 77.65650663787072 8.554324390064226)"
7,7,,T,"14°24'06""RT",PB,20.85,T6-T7,278.5615988,2.97,102,8.55432439,77.65650664,AVAILABLE,,,AGRI LAND,"SC line , Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.65650663787072 8.554324390064226, 77.65514910246749 8.555986782548489)"
8,8,,S,,PA,20.9,T7-T8,237.0905021,1.42,99,8.555986783,77.6551491,AVAILABLE,,CART TRACK,PLAIN LAND,"SC line :  , cart track, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.65514910246749 8.555986782548489, 77.65371110614561 8.55779041775636)"
9,9,,S,,PA,20.9,T8-T9,254.8276805,1.36,97,8.557790418,77.65371111,AVAILABLE,,,PLAIN LAND,"SC line    , Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.65371110614561 8.55779041775636, 77.65231099306877 8.559539665125921)"
