S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
19,59/19,S,DA,26,"=B23&""-""&B24",248.43565165525226,3.52,"=IF(H24>15,0)",115.030838,,9.846527777777778,78.24830555555556,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.24830555555556 9.846527777777778, 78.24608333333333 9.845916666666668)"
20,59/20,T,DC,26,"=B24&""-""&B25",251.49891007226546,2.72,"=IF(H25>15,0)",115.746292,"32°40'51"" L",9.845916666666668,78.24608333333333,GOOD,Available,"HT,LT",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.24608333333333 9.845916666666668, 78.24408333333334 9.843666666666667)"
21,59/21,T,DC,26,"=B25&""-""&B26",332.02929072340254,1.79,"=IF(H26>15,0)",113.711181999999,"1°15'34"" R",9.843666666666667,78.24408333333334,GOOD,Available,"HT,LT",,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.24408333333334 9.843666666666667, 78.24166666666667 9.841111111111111)"
22,59/22,T,DC,26,"=B26&""-""&B27",386.57263740851994,4.8,"=IF(H27>15,0)",116.15303,"11°27'36"" R",9.841111111111111,78.24166666666667,GOOD,Available,,Village Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.24166666666667 9.841111111111111, 78.24005555555556 9.839972222222222)"
23,59/23,T,DC,26,"=B27&""-""&B28",218.25293372202114,7.05,"=IF(H28>15,0)",115.10936,"97°33'59"" L",9.839972222222222,78.24005555555556,GOOD,Available,"HT,LT",NH,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.24005555555556 9.839972222222222, 78.24113888888888 9.838833333333334)"
24,59/24,T,DC,26,"=B28&""-""&B29",174.7902386568963,∞,"=IF(H29>15,0)",117.936995999999,"5°12'30"" R",9.838833333333334,78.24113888888888,GOOD,Available,"HT,LT",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.24113888888888 9.838833333333334, 78.24122222222222 9.838750000000001)"
25,Gantry (Nelmudikkarai SS),Gantry,H-POLE,12,"=B29&""-""&B30",15,,,113.321907,,9.838750000000001,78.24122222222222,GOOD,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,=SUM(G7:G30),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note : 1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
