,TOWER NO,Joint Box,Tower Suspension/ Tension,DIVATIONN OF  ANGLE ('),TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER LENGTH (Mtrs),SPAN LENGTH (Mtrs),FOOTING RESIDENCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,"CONDITION OF TOWER (Missing parts, broken etc)",CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING OBJECTS,,CONDITION OF AREA ( Plain/Hills/Forest/Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
18,17,,S,,A,22,T16-T17,245.6145778,above 200,57,8.904271239,77.73954514,GOOD,AVAILABLE,,CART TRACK,PLAIN LAND,"SC Line,cart track,plainland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7395451441407 8.90427123852838, 77.7376122772693 8.90486679945365)"
19,18,,T,"13°32'46""LT",C,22,T17-T18,222.7210473,above 200,62,8.904866799,77.73761228,GOOD,AVAILABLE,,CART TRACK,PLAIN LAND,"SC Line,cart track.plainland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7376122772693 8.90486679945365, 77.7348653599619 8.90505593456124)"
20,19,,S,,A,22,T18-T19,303.066223,above 200,59,8.905055935,77.73486536,GOOD,AVAILABLE,,,PLAIN LAND,"SC Line,plainland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7348653599619 8.90505593456124, 77.7321331948041 8.90524142599031)"
21,20,,S,,A,25,T19-T20,301.4164658,above 200,59,8.905241426,77.73213319,GOOD,AVAILABLE,LT LINE,,PLAIN LAND,"SC Line,lt line,plain land,ERabove200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7321331948041 8.90524142599031, 77.7293825894594 8.90540339967912)"
22,21,,S,,A,22,T20-T21,303.2762367,above 200,59,8.9054034,77.72938259,GOOD,AVAILABLE,,CART TRACK,AGRI LAND,"SC Line,cart track,agriland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7293825894594 8.90540339967912, 77.7265394479036 8.90558094130874)"
23,22,2W,S,,A,25,T21-T22,313.5468972,above 200,58,8.905580941,77.72653945,GOOD,AVAILABLE,LT LINE,CART TRACK,PLAIN LAND,"SC Line,lt line,cart track,plainland.ERabove200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7265394479036 8.90558094130874, 77.7238408103585 8.90578067553902)"
24,23,,S,,A,22,T22-T23,297.845673,above 200,59,8.905780676,77.72384081,GOOD,AVAILABLE,"LT LINE, 33KV LINE",ROAD,PLAIN LAND,"SC Line,lt line,33kv line,road.plainland.ERabove200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7238408103585 8.90578067553902, 77.7211897820234 8.90592343741786)"
25,24,,S,,A,22,T23-T24,292.2111293,above 200,62,8.905923437,77.72118978,GOOD,AVAILABLE,,,PLAIN LAND,"SC Line,plain land.ER200above",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7211897820234 8.90592343741786, 77.719111405313 8.90613045860483)"
26,25,,S,,A,25,T24-T25,229.899246,above 200,62,8.906130459,77.71911141,GOOD,AVAILABLE,"LT LINE, 11KV LINE",,PLAIN LAND,"SC Line,lt line,11kv line,lake,plain land.ERabove200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.719111405313 8.90613045860483, 77.7166531607508 8.90630733741414)"
27,26,,S,,A,22,T25-T26,271.2707646,above 200,65,8.906307337,77.71665316,GOOD,AVAILABLE,,,WATER LOGGED AREA,"SC Line,water logged area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7166531607508 8.90630733741414, 77.7138536050915 8.90647659776763)"
