S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
21,22,,T,DC,26,21-22,130.6909976,2.82,FALSE,316.697388,"36°46'48""L",10.00266667,77.43102778,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.43102777777779 10.002666666666666, 77.42997222222223 10.0045)"
22,23,2W,T,DB,25,22-23,236.8330644,0.28,FALSE,317.282013,"20°57'36""L",10.0045,77.42997222,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.42997222222223 10.0045, 77.42983333333333 10.00538888888889)"
23,24,,T,DB,25,23-24,98,2.22,FALSE,319.338593,"24°25'48""R",10.00538889,77.42983333,GOOD,Available,,Road & Rail Way,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.42983333333333 10.00538888888889, 77.4286388888889 10.007166666666667)"
24,25,,T,DB,25,24-25,237.0164905,0.44,FALSE,320.564514,"25°37'12""R",10.00716667,77.42863889,GOOD,Available,LT,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4286388888889 10.007166666666667, 77.42627777777778 10.008583333333334)"
25,26,,T,DC,26,25-26,301.6470344,0.78,FALSE,323.945618,"32°11'60""R",10.00858333,77.42627778,GOOD,Available,11KV,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.42627777777778 10.008583333333334, 77.42416666666666 10.008527777777777)"
26,27,,S,DA,26,26-27,232.4672547,1.28,FALSE,326.027954,,10.00852778,77.42416667,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.42416666666666 10.008527777777777, 77.42202777777779 10.0085)"
27,28,,S,DA,26,27-28,235.3039382,1.79,FALSE,329.099243,,10.0085,77.42202778,GOOD,Available,LT,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.42202777777779 10.0085, 77.41991666666667 10.008472222222222)"
28,29,,S,DA,26,28-29,229.0635827,0.22,FALSE,333.070312,,10.00847222,77.41991667,GOOD,Available,LT,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.41991666666667 10.008472222222222, 77.41780555555556 10.008416666666667)"
29,30,,T,DB,25,29-30,233.8022029,1.11,FALSE,335.797333,"8°31'48""L",10.00841667,77.41780556,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.41780555555556 10.008416666666667, 77.41547222222223 10.008722222222222)"
30,31,,S,DA,26,30-31,256.3977912,3.48,FALSE,339.597015,,10.00872222,77.41547222,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.41547222222223 10.008722222222222, 77.41316666666667 10.009)"
