SL NO,TOWER NO,Joint Box,Tower Suspension/ Tension,DIVATIONN OF  ANGLE ('),TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER LENGTH (Mtrs),SPAN LENGTH (Mtrs),FOOTING RESIDENCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING OBJECTS,,CONDITION OF AREA ( Plain/Hills/Forest/Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
,PERIYAR-SURULIYAR MAIN LINE,3W,,,,,,,,,9.126623,77.637055,,,,,  KALUGUMALAI TO 110KV KAYATHAR-PERIYAR-SURULIYAR MAIN LINE LOC.172-374 LILO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.637055 9.126623, 77.6368675008416 9.12653102376887)"
1,1,,T,,KCR,24,PERIYAR-SURULIYAR MAIN LINE  - T1,20,0.84,122,9.126531024,77.6368675,AVAILABLE,,,PLAIN LAND,"DC Line, plain land.er=0.84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6368675008416 9.12653102376887, 77.6392171159386 9.1275903235943)"
2,2,,S,,GC,27,T1-T2,283.782233,0.78,122,9.127590324,77.63921712,AVAILABLE,"LT LINE, 33KV LINE",,PLAIN LAND,"DC Line, lt  line, 33kv line,plain land (ER=0.78)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6392171159386 9.1275903235943, 77.6411912217736 9.12857017313136)"
3,3,,S,,GC,24,T2-T3,242.7049546,1.02,123,9.128570173,77.64119122,AVAILABLE,,,PLAIN LAND,"DC Line, plainland (ER=1.02)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6411912217736 9.12857017313136, 77.6431629806757 9.12946163525273)"
4,4,,T,"04°38'35""LT",HCR,24,T3-T4,238.2606179,0.38,123,9.129461635,77.64316298,AVAILABLE,,,PLAIN LAND,"DC Line, plain land.(ER=0.38)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6431629806757 9.12946163525273, 77.6451625674963 9.13016871242413)"
5,5,,S,,GC,24,T4-T5,233.4404331,2.21,122,9.130168712,77.64516257,AVAILABLE,,POND,WATER LOGGED AREA,"DC Line, pond, water logged area.(ER=2.21)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6451625674963 9.13016871242413, 77.6474223285913 9.1309992614865)"
6,6,,S,,GC,27,T5-T6,265.0023184,2.44,119,9.130999261,77.64742233,AVAILABLE,11KV LINE -3NOS,,PLAIN LAND,"DC Line, 11kv line-3,plain land.(ER=2.44)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6474223285913 9.1309992614865, 77.6496666669845 9.1318033264714)"
7,7,,S,,GC,27,T6-T7,262.4032234,2.51,119,9.131803326,77.64966667,AVAILABLE,LT LINE,,AGRI LAND,"DC Line, lt line,agri land.Er=2.51",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6496666669845 9.1318033264714, 77.6518744602799 9.13262129273611)"
8,8,,S,,GC,24,T7-T8,259.1593532,4.32,119,9.132621293,77.65187446,AVAILABLE,,,AGRI LAND,"DC Line, agri land.(ER=4.32)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6518744602799 9.13262129273611, 77.6540490612387 9.13342965739056)"
9,9,,S,,GC+3,24,T8-T9,255.3669705,1.74,120,9.133429657,77.65404906,AVAILABLE,,,PLAIN LAND,"DC Line, plain land.(ER=1.74)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6540490612387 9.13342965739056, 77.656399346888 9.13436778180383)"
10,10,,T,"12°18'35""RT",HCR,27,T9-T10,278.5776889,0.74,121,9.134367782,77.65639935,AVAILABLE,LT LINE,,PLAIN LAND,"DC Line, pain land, LT line.(ER=0.74)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.656399346888 9.13436778180383, 77.657784037292 9.13530060737068)"
11,11,,S,,GC,24,T10-T11,183.9944569,1.87,121,9.135300607,77.65778404,AVAILABLE,,,PLAIN LAND,"DC Line, plain land.(ER=1.87)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.657784037292 9.13530060737068, 77.6592619344592 9.1362658707162)"
12,12,,T,"16°06'25""LT",HCR,27,T11-T12,194.5145606,2.23,125,9.136265871,77.65926193,AVAILABLE,11KV LINE,ROAD,PLAIN LAND,"DC Line, 11kv line, plain land, road .(ER=2.23)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6592619344592 9.1362658707162, 77.6612846553325 9.13687395879932)"
13,13,,S,,GC,27,T12-T13,232.4331738,0.64,125,9.136873959,77.66128466,AVAILABLE,11KV LINE,,PLAIN LAND,"DC Line, 11kv line, plain land.(ER=0.64)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6612846553325 9.13687395879932, 77.663080394268 9.13747575643557)"
14,14,,S,,GC,24,T13-T14,208.4386715,1.24,127,9.137475756,77.66308039,AVAILABLE,,,PLAIN LAND,"DC Line, plain land.(ER=1.24)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.663080394268 9.13747575643557, 77.6653119921684 9.13817354912157)"
15,15,2W,T,"06°27'00""RT",HCR,24,T14-T15,257.3135554,0.77,126,9.138173549,77.66531199,AVAILABLE,,WBM ROAD,PLAIN LAND,"DC Line,plain land. ( e.r 0.77 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6653119921684 9.13817354912157, 77.6671482995152 9.13949994729415)"
16,16,,S,,GC,27,T15-T16,249.6854094,0.6,128,9.139499947,77.6671483,AVAILABLE,LT LINE,,PLAIN LAND,"DC Line,lt line,plain land. ( e.r  0.60 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6671482995152 9.13949994729415, 77.6689467206597 9.14073464841575)"
17,17,,S,,GC,24,T16-T17,240.4180423,1.59,128,9.140734648,77.66894672,AVAILABLE,,,PLAIN LAND,"DC Line,plain land. ( e.r  1.59 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6689467206597 9.14073464841575, 77.6707283779978 9.14183495218844)"
18,18,,S,,GC,24,T17-T18,230.7169692,1.16,129,9.141834952,77.67072838,AVAILABLE,CAR TRACK,,PLAIN LAND,"DC Line,plain land.( e.r  1.16 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6707283779978 9.14183495218844, 77.6727286353707 9.1431375035529)"
