S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
22,34,,S,DC,26,35-34,277.125808,1.16,129.420242,,9.00513296,77.59817697,GOOD,Available,"LT,HT",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5981769710779 9.0051329601556, 77.596929995343 9.0075249876827)"
23,33,2W,T,DC,26,34-33,298.1628333,1.42,127.945465,"15°40'18"" L",9.007524988,77.59693,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.596929995343 9.0075249876827, 77.5953400321304 9.00921603664755)"
24,32,,S,DC,26,33-32,256.1733335,1.63,130.305847,,9.009216037,77.59534003,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5953400321304 9.00921603664755, 77.5936879590153 9.01097397319972)"
25,31,,S,DC,26,32-31,266.2465306,2.11,132.256973,,9.010973973,77.59368796,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5936879590153 9.01097397319972, 77.5921000074595 9.01269402354955)"
26,30,,T,DC,26,31-30,258.3758831,3.74,134.033173,"23°53'51"" R",9.012694024,77.59210001,GOOD,Available,LT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5921000074595 9.01269402354955, 77.5912710372358 9.01513600721955)"
27,29,,S,DC,26,30-29,285.2252294,5.02,134.136536,,9.015136007,77.59127104,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5912710372358 9.01513600721955, 77.5904930289834 9.01750196702778)"
28,28,,S,DC,26,29-28,275.4728209,1.76,133.280228,,9.017501967,77.59049303,GOOD,Available,LT - 2NO,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5904930289834 9.01750196702778, 77.5895710196346 9.02015500701963)"
29,27,,T,DC,26,28-27,310.6365612,0.82,133.906326,"36°45'48"" L",9.020155007,77.58957102,GOOD,Available,HT,SAND PATH,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5895710196346 9.02015500701963, 77.5876659806817 9.02144095860421)"
30,26,,S,DC,26,27-26,253.3388639,2.01,136.361069,,9.021440959,77.58766598,GOOD,Available,HT ,SAND PATH,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5876659806817 9.02144095860421, 77.5857509672641 9.02278902009129)"
31,25,,S,DC,26,26-25,258.1567782,0.43,136.378799,,9.02278902,77.58575097,GOOD,Available,LT - 2NO,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5857509672641 9.02278902009129, 77.5837760232388 9.02418502606451)"
32,24,,T,DC,26,25-24,266.603439,0.61,140.065155,"42°3'1"" L",9.024185026,77.58377602,GOOD,Available,HT -2NO,SAND PATH,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5837760232388 9.02418502606451, 77.5813119951635 9.02390004135668)"
33,23,,S,DC,26,24-23,272.9120361,1.33,142.864883,,9.023900041,77.581312,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5813119951635 9.02390004135668, 77.5788349751383 9.0236070100218)"
34,22,,S,DC,26,23-22,274.4353317,1.15,145.263977,,9.02360701,77.57883498,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5788349751383 9.0236070100218, 77.5764739606529 9.02333602309227)"
35,21,2W,T,DC,26,22-21,261.4752805,2.07,148.237686,"19°20'51"" L",9.023336023,77.57647396,GOOD,Available,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5764739606529 9.02333602309227, 77.5740289594978 9.02215400710701)"
36,20,,S,DC,26,21-20,299.1100105,1.39,151.402252,,9.022154007,77.57402896,GOOD,Available,LT - 2NO,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5740289594978 9.02215400710701, 77.5719349924474 9.02117298915982)"
37,19,,S,DC,26,20-19,254.6708107,1.62,153.576477,,9.021172989,77.57193499,GOOD,Available,LT,SAND PATH,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5719349924474 9.02117298915982, 77.5697479862719 9.02008803561329)"
38,18,,T,DC,26,19-18,268.9013886,3.44,156.279999,"3°21'34"" R",9.020088036,77.56974799,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5697479862719 9.02008803561329, 77.5672719720751 9.01903501711785)"
39,17,,S,DC,26,18-17,296.2825375,1.01,157.238998,,9.019035017,77.56727197,GOOD,Available,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5672719720751 9.01903501711785, 77.5648689642548 9.01805802248418)"
