S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
20,19,T,DC,26,"=B24&"" - ""&B25",379.8740599304382,3.42,48.620434,"14°59'8"" L",8.70469596236944,77.550946958363,GOOD,Available,,RIVER,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.550946958363 8.70469596236944, 77.5486730318516 8.70274901390075)"
21,20,T,DC,26,"=B25&"" - ""&B26",330.320065063494,2.89,50.328789,"1°13'8"" R",8.70274901390075,77.5486730318516,GOOD,Available,,CANAL,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5486730318516 8.70274901390075, 77.5463609676808 8.70085302740335)"
22,21,S,DC,26,"=B26&"" - ""&B27",329.89957613008824,6.13,53.542431,,8.70085302740335,77.5463609676808,GOOD,Available,,VILLAGE ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5463609676808 8.70085302740335, 77.5444150250405 8.69915099814534)"
23,22,S,DC,26,"=B27&"" - ""&B28",285.28375068160534,4.02,55.363491,,8.69915099814534,77.5444150250405,GOOD,Available,,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5444150250405 8.69915099814534, 77.5423140171915 8.69739800691604)"
24,23,S,DC,26,"=B28&"" - ""&B29",301.91340985672684,5.11,59.0461269999999,,8.69739800691604,77.5423140171915,GOOD,Available,,CANAL,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5423140171915 8.69739800691604, 77.5402320362627 8.69559497572481)"
25,24,S,DC,26,"=B29&"" - ""&B30",303.91787072098356,7.04,60.735554,,8.69559497572481,77.5402320362627,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5402320362627 8.69559497572481, 77.5380590278655 8.69380300864577)"
26,25,T,DC,26,"=B30&"" - ""&B31",310.76552532498954,3.72,63.5647579999999,"1°19'0"" L",8.69380300864577,77.5380590278655,GOOD,Available,,CANAL,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5380590278655 8.69380300864577, 77.5360000133514 8.69202403351664)"
27,26,S,DC,26,"=B31&"" - ""&B32",300.2634568564534,4.1,65.181618,,8.69202403351664,77.5360000133514,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5360000133514 8.69202403351664, 77.5338229816406 8.69016802869737)"
28,27,S,DC,26,"=B32&"" - ""&B33",315.6717384358994,3.61,65.2050019999999,,8.69016802869737,77.5338229816406,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5338229816406 8.69016802869737, 77.531648967415 8.68832501582801)"
29,28,S,DC,26,"=B33&"" - ""&B34",314.48557169104004,5.07,67.294876,,8.68832501582801,77.531648967415,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.531648967415 8.68832501582801, 77.529471013695 8.68652198463678)"
30,29,S,DC,26,"=B34&"" - ""&B35",311.96812771501294,7.49,70.9597849999999,,8.68652198463678,77.529471013695,GOOD,Available,HT,"Village road ,Canal",AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.529471013695 8.68652198463678, 77.5273389089852 8.68468333035707)"
31,30,T,DC,26,"=B35&"" - ""&B36",310.67181888606626,6.52,71.261948,"4°53'7"" R",8.68468333035707,77.5273389089852,GOOD,Available,HT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5273389089852 8.68468333035707, 77.5265950150787 8.68414496071636)"
32,LILO : 31/1,T,DC,26,"=B36&"" - ""&B37",101.28673932064635,4.27,71.675285,"47°17'46"" R",8.68414496071636,77.5265950150787,GOOD,Available,LT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5265950150787 8.68414496071636, 77.5240220222622 8.68465499952435)"
33,31/2,S,DC,26,"=B37&"" - ""&B38",288.8866786361898,5.39,72.1337429999999,,8.68465499952435,77.5240220222622,GOOD,Available,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5240220222622 8.68465499952435, 77.5210819859057 8.68527500890195)"
34,31/3,S,DC,26,"=B38&"" - ""&B39",330.9250779039284,4.18,75.7870099999999,,8.68527500890195,77.5210819859057,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5210819859057 8.68527500890195, 77.5189320277422 8.68568697944283)"
35,31/4,S,DC,26,"=B39&"" - ""&B40",241.0858710470101,2.17,79.392914,,8.68568697944283,77.5189320277422,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5189320277422 8.68568697944283, 77.5167440157383 8.68608403019607)"
36,31/5,S,DC,26,"=B40&"" - ""&B41",244.8994886068009,2.62,82.734024,,8.68608403019607,77.5167440157383,GOOD,Available,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5167440157383 8.68608403019607, 77.5143020320683 8.68647404015064)"
37,31/6,T,DC,26,"=B41&"" - ""&B42",272.3318702606177,1.93,79.437408,"15°1'42"" R",8.68647404015064,77.5143020320683,GOOD,Available,"HT,LT",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5143020320683 8.68647404015064, 77.5140509940683 8.68658602237701)"
38,Gantry (Veeravanallur SS),Gantry,DP,12,31/6-Gantry,30.292685390266154,,81.0336149999999,,8.68658602237701,77.5140509940683,GOOD,NO E/W,HT,ROAD,PLAIN,SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,=SUM(G6:G43),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note : 1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
