S.NO,TOWER NO,TOWER S/T,DEVIATION OF  ANGLE,TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER ,SPAN LENGTH (Mtrs),EARTH FOOTING RESISTANCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING DETAILS,,CONDITION OF AREA (Plain/Hills/Forest/Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
Gantry Udayathur,,,,,,,,,23,8.254072,77.753807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.753807 8.254072, 77.75283 8.253532)"
1,1,T,,KCR,24,Gantry (Udayathur)  - T1,,31.71,23,8.253532,77.75283,NOT AVAILABLE,11KV LINE,,PLAIN LAND,"DC Line,11 KVLine,Gantry Udayathur -T1  EARTH Wire is not available, PLAIN land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.75283 8.253532, 77.75347 8.25253)"
2,2,T,"38°35'06""LT",KCR+3,24,T1-T2,25.233228291248395,31.75,25,8.25253,77.75347,AVAILABLE,"33KV Line-3nos, 11kv line",,PLAIN LAND,"DC Line,33 KV LINE-3Nos,11 KV Line",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.75347 8.25253, 77.75561 8.25179)"
3,3,T,"16°38'27""LT",HCR,24,T2-T3,113.43803967351533,32.55,23,8.25179,77.75561,AVAILABLE,33KV Line,,PLAIN LAND,"DC Line33 KV Line,ROAD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.75561 8.25179, 77.75787 8.251692)"
4,4,S,"26°58'46""RT",HCR,24,T3-T4,80.77387934856786,36.91,22,8.251692,77.75787,AVAILABLE,,,PLAIN LAND,"DC Line, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.75787 8.251692, 77.76025 8.25035)"
5,5,S,,GCR,27,T4-T5,322.23327476380035,35.13,19,8.25035,77.76025,AVAILABLE,,,PLAIN LAND,"11 KV Line, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.76025 8.25035, 77.76237 8.24916)"
6,6,T,"12°27'46""LT",HCR,24,T5-T6,326.14900283451374,32.62,18,8.24916,77.76237,AVAILABLE,,,PLAIN LAND,plain land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.76237 8.24916, 77.76284 8.249017)"
7,7,DP,"00°00'00""",DP,8,T6-T7,262.66497353471874,31.7,17,8.249017,77.76284,AVAILABLE,,,PLAIN LAND,plain land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.76284 8.249017, 77.76287 8.249083)"
8,7A,DP,,DP,8,T7-T7A,8,39.34,17,8.249083,77.76287,NOT AVAILABLE,,,PLAIN LAND,"T7-T7A  EARTH Wire is not available, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.76287 8.249083, 77.76344 8.248832)"
9,8,DP,,DP,8,T7A-T8,178.53140224058754,30.77,17,8.248832,77.76344,AVAILABLE,"230KV line, LT LINE",,PLAIN LAND,"LT,BOTTOM IN OUR LINE 230KV Line, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.76344 8.248832, 77.76346 8.248977)"
10,8A,DP,,DP,8,T8-T8A,15,32.4,17,8.248977,77.76346,AVAILABLE,"230KV line, LT LINE",,PLAIN LAND,"LT,NO EARTH LINE,BOTTOM IN OUR LINE,230KV Line, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.76346 8.248977, 77.76382 8.248804)"
11,9,T,"05°13'40""RT",HCR,24,T8A-T9,262.75541371587434,31.64,18,8.248804,77.76382,AVAILABLE,,,PLAIN LAND,plain land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.76382 8.248804, 77.76631 8.24845)"
12,10,S,,GCR,27,T9-T10,322.5333551509655,34.92,15,8.24845,77.76631,AVAILABLE,,,PLAIN LAND,plain land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.76631 8.24845, 77.76887 8.247998)"
13,11,S,,GCR+3,27,T10-T11,318.83740488531646,39.62,15,8.247998,77.76887,AVAILABLE,"33KV LINE-2NOS, LT LINE",,PLAIN LAND,"33 KV line-2Nos,LT Line, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.76887 8.247998, 77.77128 8.24757)"
14,12,T,"22°13'44""RT",HCR,24,T11-T12,336.8781029185595,36.32,13,8.24757,77.77128,AVAILABLE,LT LINE,,PLAIN LAND,"Lt Line, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.77128 8.24757, 77.77319 8.246397)"
