S. No ,Tower No,Joint Box,Supspension/ Tension,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
23,22,,T,DD,28,21-22,245.3935614,3.7,95,"47°19'51""",9.356462946,77.77164767,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7716476656496 9.35646294616162, 77.7704290207475 9.3542138300836)"
24,23,,S,DA,26,22-23,282.7083303,2.75,94,,9.35421383,77.77042902,GOOD,Available,LT-2,ROAD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7704290207475 9.3542138300836, 77.7693951129913 9.35230644419789)"
25,24,,S,DA,26,23-24,239.7665531,2.57,93,,9.352306444,77.76939511,GOOD,Available,HT-2,"MUD ROAD-1 , DRAIN-1",AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7693951129913 9.35230644419789, 77.7683528233319 9.35048958286643)"
26,25,,S,DA,26,24-25,231.4584196,2.7,94,,9.350489583,77.76835282,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7683528233319 9.35048958286643, 77.7673835400491 9.34870826080441)"
27,26,,T,DB,24,25-26,224.1182723,2.19,92,"1°54'15""",9.348708261,77.76738354,GOOD,Available,LT-4,"ROAD-1 , DRAIN-1 ",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7673835400491 9.34870826080441, 77.7663881052285 9.34706264175474)"
28,27,,S,DA,26,26-27,212.4923528,1.23,90,,9.347062642,77.76638811,GOOD,Available,,,LAKE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7663881052285 9.34706264175474, 77.7654657606035 9.34546161442995)"
29,28,,S,DA,26,27-28,204.1665986,Not Taken,90,,9.345461614,77.76546576,GOOD,Available,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7654657606035 9.34546161442995, 77.7644694875925 9.34370753355324)"
30,29,,S,DA,26,28-29,222.9102959,1.03,90,,9.343707534,77.76446949,GOOD,Available,,,LAKE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7644694875925 9.34370753355324, 77.7631611563265 9.34160359203815)"
31,30,2W,S,DA,26,29-30,273.7151804,1.17,87,,9.341603592,77.76316116,GOOD,Available,LT-1,MUD ROAD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7631611563265 9.34160359203815, 77.7621101494878 9.33983190916478)"
32,31,,T,DB,24,30-31,227.6071176,1.46,86,"4°33'13""",9.339831909,77.76211015,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7621101494878 9.33983190916478, 77.7608930971473 9.33776333928108)"
33,32,,S,DA,26,31-32,265.1867267,1.55,85,,9.337763339,77.7608931,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7608930971473 9.33776333928108, 77.7593320515006 9.33590523898601)"
34,33,,T,DD,28,32-33,267.8600381,1.72,84,"34°38'51""",9.335905239,77.75933205,GOOD,Available,HT-1,"MUD ROAD-1 , DRAIN-1",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7593320515006 9.33590523898601, 77.7593176346272 9.33407119475305)"
35,34,,T,DC,26,33-34,203,1.65,83,"18°51'11""",9.334071195,77.75931763,GOOD,Available,LT-1,ROAD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7593176346272 9.33407119475305, 77.7600642107427 9.33184286579489)"
