SL.NO,TOWER NO,TOWER S/T,DEVIATION OF  ANGLE,TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER ,SPAN LENGTH (Mtrs),EARTH FOOTING RESISTENCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING DETAILS,,CONDITION OF AREA (Plain/Hills/Forest/Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
LILO,LILO KYTR-APKM,T,,,24,,,2.43,115,9.130163,77.815702,AVAILABLE,,,AGRI LAND,LILO KAYATHAR -ANUPANKULAM - DURAISAMYPURAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.815702 9.130163, 77.814809 9.129964)"
1,T1,T,"31°1'11""LT",KCR,24,LILO-T1,145,1.87,114,9.129964,77.814809,AVAILABLE,,ROAD,AGRI LAND,ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.814809 9.129964, 77.813536 9.131358)"
2,T2,S,,GCR,27,TI-T2,208.4316122856688,1.62,115,9.131358,77.813536,AVAILABLE,,CAR TRCK,AGRI LAND,CART TRCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.813536 9.131358, 77.81221 9.132804)"
3,T3,S,,GCR,27,T2-T3,216.51293656506633,1.01,116,9.132804,77.81221,AVAILABLE,,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.81221 9.132804, 77.810662 9.134499)"
4,T4,T,"37°25'33""LT",HCR,27,T3-T4,253.38061488592658,3.58,117,9.134499,77.810662,AVAILABLE,11 KV,"MUD ROAD, NALA",AGRI LAND,"MUD ROAD, NALA,11 KV LINE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.810662 9.134499, 77.809097 9.135915)"
5,T5,S,,GCR,27,T4-T5,232.81659906459217,2.76,119,9.135915,77.809097,AVAILABLE,,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.809097 9.135915, 77.8076 9.137329)"
6,T6,T,"18°19'27""LT",HCR,24,T5-T6,227.19617272304777,1.99,121,9.137329,77.8076,AVAILABLE,,ROAD,AGRI LAND,ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8076 9.137329, 77.80644 9.138994)"
7,T7,T,"15°13'21""RT",KCR,24,T6-T7,224.15165625089827,2.84,119,9.138994,77.80644,AVAILABLE,,NALA,AGRI LAND,NALA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.80644 9.138994, 77.80645 9.139223)"
8,DURAISAMYPURAM GANTRY,,,,14,T7-GANTRY,35,,118,9.139223,77.80645,AVAILABLE,,,,DURAISAMYPURAM GANTRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TOTAL,,=SUM(H7:H14)/1000,KM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
