SL.NO,TOWER NO,TOWER S / T,DEVIATION OF  ANGLE ,TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER ,SPAN LENGTH (Mtrs),EARTH FOOTING RESIDENCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING DETAILS,,CONDITION OF AREA  (Plain/Hills/Forest/Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
GANTRY,KAYATHAR,,,,,,,,79,8.88804327367686,77.76998150865971,,,,,gantry kayathar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.76998150865971 8.88804327367686, 77.76986014337037 8.8874851210077)"
1,1,T,"57°13'0.4""RT",KC+6,24,Gantry (Kayathar)- T1,63.20676971663465,ABOVE 200,80,8.8874851210077,77.76986014337037,NOT AVAILABLE,,,AGRI LAND,"DC LINE ,NO EARTH WIRE,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.76986014337037 8.8874851210077, 77.76727181279342 8.886518607419768)"
2,2,T,"19°35'38.0""RT ",KC+3,27.94,T1-T2,315,ABOVE 200,80,8.886518607419768,77.76727181279342,AVAILABLE,"33KV LINE,11KV LINE,LT LINE",NH44 HIGHWAY,AGRI LAND,"DC  LINE,33 KV  LINE,11 KV line,LT line,NH44 HIGHWAY KANYAKUMARI TO MADURAI ROAD CROSSING,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.76727181279342 8.886518607419768, 77.76515655516732 8.886508402888097)"
3,3,S,,GC,23.62,T2-T3,225,ABOVE 200,80,8.886508402888097,77.76515655516732,AVAILABLE,,,AGRI LAND,"DC line,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.76515655516732 8.886508402888097, 77.76317842402325 8.886448502720407)"
4,4,T,"61°24'29.1""RT",KC,24,T3-T4,225,ABOVE 200,79,8.886448502720407,77.76317842402325,AVAILABLE,110KV DP CROSSING,,AGRI LAND,"DC LINE,DP POST CROSSING IN OUR LINE TOP,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.76317842402325 8.886448502720407, 77.76286996784161 8.88655517139617)"
5,5,DP,,DP,8,T4-T5,25,ABOVE 200,79,8.88655517139617,77.76286996784161,AVAILABLE,220KV LINE,,AGRI LAND,"DP POST,220 KV LINE CROSSING IN OUR LINE BOTTOM,AGRI LAND,NO EARTH wire",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.76286996784161 8.88655517139617, 77.76319988134671 8.886740328545649)"
6,5A,DP,,DP,8,T5-T5A,25,ABOVE 200,78,8.886740328545649,77.76319988134671,NOT AVAILABLE,220KV LINE,,AGRI LAND,"DP POST,NO EARTH LINE,220 KV LINE CROSSING IN OUR LINE BOTTOM,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.76319988134671 8.886740328545649, 77.76278346811328 8.88676353091399)"
7,6,DP,,DP,8,T5A-T6,40,ABOVE 200,77,8.88676353091399,77.76278346811328,NOT AVAILABLE,220KV LINE,,AGRI LAND,"DP POST,220 KV LINE CROSSING IN OUR LINE BOTTOM,NO EARTH wire,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.76278346811328 8.88676353091399, 77.76307348219696 8.886923515295022)"
8,6A,DP,,DP,8,T6-T6A,40,ABOVE 200,76,8.886923515295022,77.76307348219696,NOT AVAILABLE,220KV LINE,,AGRI LAND,"7A,DP POST,220 KV LINE CROSSING IN OUR LINE BOTTOM,AGRI LAND,NO EARTH wire",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.76307348219696 8.886923515295022, 77.76283677907705 8.887047078572753)"
9,7 (LILO),T,"73°46'0.9""LT",KC,24,T6A-T7,25,ABOVE 200,75,8.887047078572753,77.76283677907705,NOT AVAILABLE,,,AGRI LAND,"DC LINE,LILO ON SC SANNATHU PUTHUKKUDI SC LINE,NO EARTH wire,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.76283677907705 8.887047078572753, 77.76017837559031 8.886601296253106)"
10,8,S,,GC,23.62,T7-T8,283,ABOVE 200,75,8.886601296253106,77.76017837559031,NOT AVAILABLE,220KV LINE,"POND,",WATER LOGGED AREA,"DC LINE,220 KV LINE CROSSING IN OUR LINE TOP,NO EARTH WIRE,DP POST IN BOTTOM CROSSING,POND,WATER LOGGED AREA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.76017837559031 8.886601296253106, 77.75767218253526 8.88582855696595)"
11,9,T,"1°55'56.1""RT",HC,21.94,T8-T9,300,ABOVE 200,76,8.88582855696595,77.75767218253526,NOT AVAILABLE,,"POND,",WATER LOGGED AREA,"DC LINE,NO EARTH LINE,POND, WATER LOGGED AREA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.75767218253526 8.88582855696595, 77.7554700902544 8.885325443080651)"
12,10,S,,GC+3,23.62,T9-T10,255,ABOVE 200,78,8.885325443080651,77.7554700902544,AVAILABLE,,,AGRI LAND,"DC LINE,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7554700902544 8.885325443080651, 77.75289013717159 8.884874022962988)"
13,11,S,,GC,23.62,T10-T11,286,ABOVE 200,75,8.884874022962988,77.75289013717159,AVAILABLE,,,AGRI LAND,"DC LINE,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.75289013717159 8.884874022962988, 77.75036483806133 8.884417299039153)"
14,12,S,,GC,23.62,T11-T12,284,ABOVE 200,73,8.884417299039153,77.75036483806133,AVAILABLE,11 KV LINE-2NOS,ODAI (NALA),AGRI LAND,"DC LINE,2NOS 11 KV LINE,LT LINE,ROAD CROSSING,ODAI(NALA),AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.75036483806133 8.884417299039153, 77.74783652018267 8.883885703859931)"
