S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
22,56,,T,SB,21,55-56,256.2351371,1.1,FALSE,14.610684,"1°10'12""L",9.250805556,78.73355556,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.73355555555555 9.250805555555555, 78.73544444444444 9.252333333333333)"
23,57,,S,SA,22,56-57,270,0.57,FALSE,16.635929,,9.252333333,78.73544444,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.73544444444444 9.252333333333333, 78.73727777777778 9.253833333333333)"
24,58,,S,SA,22,57-58,260.6231251,1.4,FALSE,15.986788,,9.253833333,78.73727778,GOOD,Available,,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.73727777777778 9.253833333333333, 78.73913888888889 9.255277777777778)"
25,59,,S,SA,22,58-59,258.8134665,4.1,FALSE,15.109894,,9.255277778,78.73913889,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.73913888888889 9.255277777777778, 78.74091666666666 9.25675)"
26,60,,S,SA,22,59-60,253.9261573,3.41,FALSE,13.126496,,9.25675,78.74091667,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.74091666666666 9.25675, 78.74272222222223 9.258166666666666)"
27,61,2W,T,SB,21,60-61,254.6075259,1.7,FALSE,14.267746,"9°6'36""L",9.258166667,78.74272222,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.74272222222223 9.258166666666666, 78.74491666666667 9.25938888888889)"
28,62,,S,SA,22,61-62,277.3652562,4.12,FALSE,13.35327,,9.259388889,78.74491667,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.74491666666667 9.25938888888889, 78.74711111111111 9.260583333333333)"
29,63,,S,SA,22,62-63,273.4347533,0.99,FALSE,14.154358,,9.260583333,78.74711111,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.74711111111111 9.260583333333333, 78.74902777777778 9.261611111111112)"
30,64,,S,SA,22,63-64,240.4489429,1.38,FALSE,12.34234,,9.261611111,78.74902778,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.74902777777778 9.261611111111112, 78.75119444444445 9.262805555555556)"
31,65,,S,SA,22,64-65,271.9902501,2.07,FALSE,13.720608,,9.262805556,78.75119444,GOOD,Available,LT,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.75119444444445 9.262805555555556, 78.75338888888889 9.264)"
32,66,,S,SA,22,65-66,274.6945961,1.88,FALSE,12.367946,,9.264,78.75338889,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.75338888888889 9.264, 78.75519444444444 9.265)"
33,67,,S,SA,22,66-67,226.364351,3.7,FALSE,13.010776,,9.265,78.75519444,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.75519444444444 9.265, 78.75755555555556 9.266277777777777)"
34,68,,T,SC,22,67-68,297.1412961,2.16,FALSE,12.832227,"41°23'60""L",9.266277778,78.75755556,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.75755555555556 9.266277777777777, 78.75980555555556 9.265805555555556)"
35,69,,S,SA+3,25,68-69,252.7535857,1.98,FALSE,11.875635,,9.265805556,78.75980556,GOOD,Available,LT,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.75980555555556 9.265805555555556, 78.7623611111111 9.265222222222222)"
36,70,,T,SB,21,69-70,292,0.86,FALSE,12.710283,"10°1'12""L",9.265222222,78.76236111,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.7623611111111 9.265222222222222, 78.76475 9.26425)"
37,71,,S,SA,22,70-71,283.2092342,1.12,FALSE,11.838243,,9.26425,78.76475,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.76475 9.26425, 78.76702777777777 9.263277777777779)"
38,72,,S,SA,22,71-72,270.5230153,2.14,FALSE,11.992373,,9.263277778,78.76702778,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.76702777777777 9.263277777777779, 78.76916666666666 9.262416666666667)"
39,73,,S,SA,22,72-73,258,3.12,FALSE,12.675069,,9.262416667,78.76916667,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.76916666666666 9.262416666666667, 78.77158333333334 9.261416666666667)"
40,74,2W,T,SB,21,73-74,290,2.74,FALSE,11.373618,"3°18'36""L",9.261416667,78.77158333,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.77158333333334 9.261416666666667, 78.77419444444445 9.260166666666667)"
41,75,,S,SA,22,74-75,322,1.92,FALSE,13.384958,,9.260166667,78.77419444,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.77419444444445 9.260166666666667, 78.77641666666666 9.25913888888889)"
42,76,,S,SA,22,75-76,269.9771156,1.12,FALSE,11.324497,,9.259138889,78.77641667,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.77641666666666 9.25913888888889, 78.7786111111111 9.258166666666666)"
43,77,,S,SA,22,76-77,263.2677756,1.48,FALSE,12.998137,,9.258166667,78.77861111,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.7786111111111 9.258166666666666, 78.78102777777778 9.257083333333334)"
44,78,,S,SA,22,77-78,292.8110289,2.12,FALSE,12.889413,,9.257083333,78.78102778,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.78102777777778 9.257083333333334, 78.78322222222222 9.256055555555555)"
45,79,,S,SA,22,78-79,265,1.2,FALSE,13.832139,,9.256055556,78.78322222,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.78322222222222 9.256055555555555, 78.78544444444444 9.255083333333333)"
46,80,,T,SB,21,79-80,271,3.5,FALSE,15.537758,"8°32'60""L",9.255083333,78.78544444,GOOD,Available,,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.78544444444444 9.255083333333333, 78.78727777777777 9.253916666666667)"
47,81,,T,DC,26,80-81,238.809482,2.7,FALSE,20.017874,,9.253916667,78.78727778,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.78727777777777 9.253916666666667, 78.78747222222222 9.253805555555555)"
50,Gantry (Keelakarai SS),2W,Gantry,Gantry,12,81-Gantry,29,,,19.055071,,9.253805556,78.78747222,GOOD,NO E/W,,,SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note : 1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
