SL.NO,TOWER NO,TOWER S / T,DEVIATION OF ANGLE,TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER ,SPAN LENGTH (Mtrs),EARTH FOOTING RESISTANCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING DETAILS,,CONDITION OF AREA (Plain/Hills/Forest/Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
18,18,T,"48°42'59""RT",KC,24,T17-T18,288.4841629708578,47.89,71,8.302361669,77.64356162, AVAILABLE,33Kv Line,Cart track,Plain Land,"dc Line,33kv line,cart track,fencing,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.64356162 8.302361669, 77.64501001 8.304357839)"
19,19,S,,GC+3,26.62,T18-T19,272.57333245381886,33.31,71,8.304357839,77.64501001, AVAILABLE,"33kv line,11kv line",Road,Plain Land,"dc Line,33kv line,11kv line,Road,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.64501001 8.304357839, 77.64645572 8.306368268)"
20,20,S,,GC,23.62,T19-T20,273.6813567124679,36.25,74,8.306368268,77.64645572, AVAILABLE,,,Plain Land,"dc Line,plainland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.64645572 8.306368268, 77.6479286 8.308431764)"
21,21,S,,GC,23.62,T20-T21,280.20104644531153,35.76,75,8.308431764,77.6479286, AVAILABLE,,,Plain Land,"dc Line,plainland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6479286 8.308431764, 77.64939945 8.310488277)"
22,22,S,,GC,23.62,T21-T22,279.4424806520592,35.25,73,8.310488277,77.64939945, AVAILABLE,,cart track,Plain Land,"dc Line,plainland, cart track",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.64939945 8.310488277, 77.65096486 8.312640662)"
23,23,T,"23°10'20""LT",HC,21.94,T22-T23,294.14035427499863,48.19,72,8.312640662,77.65096486, AVAILABLE,,,Plain Land,"dc Line,Lt Line-2Nos,33kv line,11kv line,Road,house,cart track,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.65096486 8.312640662, 77.65116166 8.313526108)"
24,"S.R.PUDUR TO ARUMUGANERI DC LINE , LILO RATHAPURAM, T.NO131 FROM SATHANKULAM",T,,KC,24,T23-T24 ,100.36548144152337,32.56,72,8.313526108,77.65116166, AVAILABLE,LT line,carttrack,Plain Land,"dc Line,cart track,Lt line,plain land, S.R.PUDUR TO ARUMUGANERI DC LINE , LILO RATHAPURAM,        T.NO 131 FROM SATHANKULAM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,=SUM(H6:H30)/1000,KM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
