S.No,Tower No.,Tower Suspension / Tension,Tower Type (DC/SC),Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
21,229,T,DC,26,228 - 229,186.04903582381905,7.21,105,33°44'49''LT,8.47811669111251,77.297471081838,GOOD,Available,"LT -1, HT -1",ROAD,FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.297471081838 8.47811669111251, 77.2978778555989 8.48013010807335)"
22,230,S,DC,26,229 - 230,228.7296694107256,5.04,108,,8.48013010807335,77.2978778555989,GOOD,Available,,,FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.2978778555989 8.48013010807335, 77.2982221841812 8.48228752613067)"
23,231,T,DC,26,230 - 231,243.19526588006318,2.91,114,145°55'32''RT,8.48228752613067,77.2982221841812,GOOD,Available,,,FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.2982221841812 8.48228752613067, 77.2969318740069 8.48503662273287)"
24,232,T,DC,26,231 - 232,337.2343556504368,4.76,112,148°39'23''LT,8.48503662273287,77.2969318740069,GOOD,Available,HT,ROAD,FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.2969318740069 8.48503662273287, 77.2972284257411 8.48771170713007)"
25,233,T,DC,26,232 - 233,299.2731950163242,1.89,112,2°19'11''RT,8.48771170713007,77.2972284257411,GOOD,Available,,,FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.2972284257411 8.48771170713007, 77.2978895902633 8.49205495789647)"
26,234,T,DC,26,233 - 234,487.5324566721128,6.05,111,3°57'50''LT,8.49205495789647,77.2978895902633,GOOD,Available,,,FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.2978895902633 8.49205495789647, 77.2981249541044 8.49493321962654)"
27,235,T,DC,26,234 - 235,321.009804435233,4.33,111,50°59'1''RT,8.49493321962654,77.2981249541044,GOOD,Available,HT,ROAD,FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.2981249541044 8.49493321962654, 77.3011980950832 8.49702509120106)"
28,236,S,DC,26,235 - 236,411.56541392088013,7.53,110,,8.49702509120106,77.3011980950832,GOOD,Available,HT,RIVER,FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3011980950832 8.49702509120106, 77.3035332094877 8.49859535694122)"
29,237,S,DC,26,236 - 237,311.88999307836673,4.01,108,,8.49859535694122,77.3035332094877,GOOD,Available,,,FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3035332094877 8.49859535694122, 77.3057455290108 8.50009420886635)"
30,238,T,DC,26,237 - 238,296.26037779569754,8.9,121,0°13'37''LT,8.50009420886635,77.3057455290108,GOOD,Available,,,FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3057455290108 8.50009420886635, 77.3093575425446 8.50256217643618)"
31,239,T,DC,26,238 - 239,484.0489166172898,3.79,125,4°56'52''RT,8.50256217643618,77.3093575425446,GOOD,Available,,,FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3093575425446 8.50256217643618, 77.3112868051975 8.50364947691559)"
32,240,T,DC,26,239 - 240,245.6940311353087,4.32,127,20°48'38''RT,8.50364947691559,77.3112868051975,GOOD,Available,,,FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3112868051975 8.50364947691559, 77.3116866219788 8.50371041335165)"
33, Gantry ( Kodayar II SS),T,H-POLE,26,240 -  Gantry ,46.05210752132096,2.76,114,,8.50371041335165,77.3116866219788,GOOD,NO E/W,,,SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,=SUM(G6:G38),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note : 1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
