SL.NO,TOWER NO,Joint Box,Tower Suspension/ Tension,DEVIATION ANGLE ('),TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER NO,SPAN LENGTH (Mtrs),EARTH FOOTING RESISTENCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,"CONDITION OF TOWER (Missing parts, broken etc)",CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING OBJECTS,,CONDITION OF AREA ( Plain/Hills/Forest/Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
17,T.No-17,,S,,SA+3,27,T16-T17,292.0443914,1.594,40,8.224518888,77.60528651,GOOD,AVAILABLE,"11KV-3Nos,LT LINE",ROAD,AGRI LAND,"3 11 kv Line,1 Lt Line,Road,fencing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.60528651 8.224518888, 77.60719489 8.222640368)"
18,T.No-18,,S,,SA+0,24,T17-T18,295.776993,1.856,37,8.222640368,77.60719489,GOOD,AVAILABLE,11KV LINE-2Nos,,AGRI LAND,2 11kv Line,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.60719489 8.222640368, 77.60903153 8.220837159)"
19,T.No-19,,S,,SA+0,24,T18-T19,284.2940309,1.923,38,8.220837159,77.60903153,GOOD,AVAILABLE,"11KV-2Nos, LT Line-2Nos","ROAD,BUND",WATER LOGGED,"2 11 kv Line,Road,pond, 2 Lt line",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.60903153 8.220837159, 77.61099156 8.218883627)"
20,T.No-20,,T,"14°10'29""RT",SB+0,22,T19-T20,305.6692608,2.058,37,8.218883627,77.61099156,GOOD,AVAILABLE,11KV LINE-3 Nos,,AGRI LAND,"3 11 kv Line,fencing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61099156 8.218883627, 77.61237491 8.216605235)"
21,T.No-21,,S,,SA+0,24,T20-T21,294.6782861,1.951,38,8.216605235,77.61237491,GOOD,AVAILABLE,LT LINE-2Nos,,AGRI LAND,"2 lt,4 fencing,home",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61237491 8.216605235, 77.61377335 8.21427539)"
22,T.No-22,,S,,SA+0,24,T21-T22,300.4158407,1.883,34,8.21427539,77.61377335,GOOD,AVAILABLE,"LT,11KVLINE",,AGRI LAND," Lt Line ,11 kv line",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61377335 8.21427539, 77.61522509 8.211798528)"
23,T.No-23,,S,,SA+0,24,T22-T23,317.4138031,1.927,33,8.211798528,77.61522509,GOOD,AVAILABLE,LT LINE-2Nos,,AGRI LAND," 2 Lt line,fencing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61522509 8.211798528, 77.61669997 8.20932364)"
24,T.No-24,,T,"04°59'29""RT",SB+0,22,T23-T24,318.5207828,2.192,30,8.20932364,77.61669997,GOOD,AVAILABLE,"11KV-2Nos,22KV LINE",POND,WATER LOGGED,"2 11kv Line,22kv Line,pond",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61669997 8.20932364, 77.6179083 8.206828496)"
25,T.No-25,,T,"35°27'35""RT",SC+3,27,T24-T25,306.5858177,2.584,30,8.206828496,77.6179083,GOOD,AVAILABLE,11KV LINE-8Nos,ROAD,AGRI LAND,"8 11 kv  Line,Road",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6179083 8.206828496, 77.61782319 8.206332568)"
GANTRY,CHIDAMBARAPURAM,2W,,,,,T25-Gantry,55.67945694,2.629,29,8.206332568,77.61782319,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0,KM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
