S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire ( Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,1 ( LILO : 46 ),3W,T,DC,26,,,7,FALSE,44.198601,,9.632666667,78.61697222,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.61697222222222 9.632666666666667, 78.61763888888888 9.634833333333333)"
2,2,,T,DB,25,LILO :1-2,252.9394935,3.55,FALSE,44.523823,"3°47'24""R",9.634833333,78.61763889,GOOD,Available,11KV,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.61763888888888 9.634833333333333, 78.61822222222222 9.637222222222222)"
3,3,,S,DA,26,02-Mar,270.2063686,1.08,FALSE,45.222382,,9.637222222,78.61822222,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.61822222222222 9.637222222222222, 78.61880555555555 9.63975)"
4,4,,S,DA,26,03-Apr,291,0.42,FALSE,45.124733,,9.63975,78.61880556,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.61880555555555 9.63975, 78.61922222222222 9.641361111111111)"
5,5,,T,DC,26,04-May,183,0.78,FALSE,45.780384,"49°41'60""L",9.641361111,78.61922222,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.61922222222222 9.641361111111111, 78.62013888888889 9.641805555555555)"
6,6,,T,DC,26,05-Jun,114.3494643,3.63,FALSE,46.003063,"61°10'48""R",9.641805556,78.62013889,GOOD,Available,230KV ,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.62013888888889 9.641805555555555, 78.62025 9.643916666666666)"
7,7,,S,DA,26,06-Jul,233.0787731,1.4,FALSE,44.604343,,9.643916667,78.62025,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.62025 9.643916666666666, 78.62038888888888 9.646777777777777)"
8,8,,T,DB,25,07-Aug,320,2.15,FALSE,45.149082,"7°49'12""R",9.646777778,78.62038889,GOOD,Available,LT,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.62038888888888 9.646777777777777, 78.62022222222221 9.648833333333332)"
9,9,,S,DA,26,08-Sep,230,1.61,FALSE,45.374596,,9.648833333,78.62022222,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.62022222222221 9.648833333333332, 78.62008333333333 9.650944444444445)"
10,10,,S,DA,26,09-Oct,235,1.75,FALSE,45.45562,,9.650944444,78.62008333,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.62008333333333 9.650944444444445, 78.61988888888888 9.653027777777778)"
