S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,LILO : 181A,T,DC,26,,,,,311.860351999999,,9.968861111111112,77.43947222222222,GOOD,Available,,,Plain,LILO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.43947222222222 9.968861111111112, 77.43725 9.969833333333334)"
2,1,T,SC,22,LILO-1,265.16017170921054,1.97,"=IF(H7>15,0)",314.284912,"42°55'12""R",9.969833333333334,77.43725,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.43725 9.969833333333334, 77.43475000000001 9.969)"
3,1A,S,SA,21,1-1A,291.014066079012,0.35,"=IF(H8>15,0)",314.973754999999,,9.969,77.43475000000001,GOOD,Available,22 KV,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.43475000000001 9.969, 77.43244444444444 9.968166666666667)"
4,1B,S,SA,21,1A-1B,268.8932627666163,0.59,"=IF(H9>15,0)",314.874846999999,,9.968166666666667,77.43244444444444,GOOD,Available,LT,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.43244444444444 9.968166666666667, 77.43036111111111 9.967444444444444)"
5,1C,S,SA,21,1B-1C,243.43036055486616,0.38,"=IF(H10>15,0)",317.652618,,9.967444444444444,77.43036111111111,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.43036111111111 9.967444444444444, 77.42802777777779 9.966638888888887)"
6,1D,T,SB,21,1C-1D,271.08108775870767,0.67,"=IF(H11>15,0)",317.045502,"8°52'12""R",9.966638888888887,77.42802777777779,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.42802777777779 9.966638888888887, 77.42594444444445 9.965527777777776)"
7,1E,S,SA,21,1D-1E,257.0103124718257,1.28,"=IF(H12>15,0)",317.671477999999,,9.965527777777776,77.42594444444445,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.42594444444445 9.965527777777776, 77.42397222222223 9.964472222222222)"
8,2,T,SB,21,1E-2,248.24243296578473,2.45,"=IF(H13>15,0)",316.383575,"18°11'24""R",9.964472222222222,77.42397222222223,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.42397222222223 9.964472222222222, 77.42225 9.962666666666665)"
9,2A,S,SA,21,2-2A,274.84334451835986,3.01,"=IF(H14>15,0)",318.717589999999,,9.962666666666665,77.42225,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.42225 9.962666666666665, 77.42055555555557 9.960888888888888)"
10,2B,S,SA,21,2A-2B,269.4695942304809,2.05,"=IF(H15>15,0)",320.760680999999,,9.960888888888888,77.42055555555557,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.42055555555557 9.960888888888888, 77.41872222222223 9.959)"
11,3,S,SA,21,2B-3,291.4701323164662,2.04,"=IF(H16>15,0)",320.81427,,9.959,77.41872222222223,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.41872222222223 9.959, 77.41708333333334 9.957277777777778)"
12,4,S,SA,21,3-4,261.29800032393587,2.18,"=IF(H17>15,0)",322.872008999999,,9.957277777777778,77.41708333333334,GOOD,Available,22 KV,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.41708333333334 9.957277777777778, 77.41536111111111 9.955444444444444)"
13,5,T,SB,21,4-5,276.1990791723393,3.02,"=IF(H18>15,0)",322.721802,"4°7'48""R",9.955444444444444,77.41536111111111,GOOD,Available,LT,Uppukottai Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.41536111111111 9.955444444444444, 77.41383333333334 9.953583333333333)"
14,6,S,SA,21,5-6,267.6400760183819,2.57,"=IF(H19>15,0)",324.522644,,9.953583333333333,77.41383333333334,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.41383333333334 9.953583333333333, 77.41230555555556 9.951666666666666)"
15,7,S,SA,21,6-7,267.9579490355023,2.24,"=IF(H20>15,0)",326.731598,,9.951666666666666,77.41230555555556,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.41230555555556 9.951666666666666, 77.41083333333334 9.949833333333334)"
16,8,S,SA,21,7-8,259.1692213654514,0.355,"=IF(H21>15,0)",329.077971999999,,9.949833333333334,77.41083333333334,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.41083333333334 9.949833333333334, 77.40994444444445 9.949166666666667)"
17,9,T,SC,22,8-9,121.7355276217291,2.32,"=IF(H22>15,0)",325.131439,"35°27'0""L",9.949166666666667,77.40994444444445,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.40994444444445 9.949166666666667, 77.40730555555557 9.949055555555557)"
18,10,S,SA,21,9-10,290.4585283833252,2.38,"=IF(H23>15,0)",325.961975,,9.949055555555557,77.40730555555557,GOOD,Available,,River,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.40730555555557 9.949055555555557, 77.40458333333333 9.948972222222222)"
19,11,S,SA,21,10-11,300.32585734290234,0.89,"=IF(H24>15,0)",327.156524999999,,9.948972222222222,77.40458333333333,GOOD,Available,LT,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.40458333333333 9.948972222222222, 77.40219444444445 9.948833333333333)"
20,12,S,SA,21,11-12,261.5177282625622,1.96,"=IF(H25>15,0)",328.529296999999,,9.948833333333333,77.40219444444445,GOOD,Available,LT,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.40219444444445 9.948833333333333, 77.3998888888889 9.94875)"
21,13,S,SA,21,12-13,252.53884600937732,2.32,"=IF(H26>15,0)",330.451385,,9.94875,77.3998888888889,GOOD,Available,LT,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3998888888889 9.94875, 77.39736111111112 9.948638888888889)"
22,14,S,SA,21,13-14,279.45864291147063,4.42,"=IF(H27>15,0)",334.602111999999,,9.948638888888889,77.39736111111112,GOOD,Available,LT,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.39736111111112 9.948638888888889, 77.39480555555556 9.948527777777779)"
