S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
21,188,,T,DB,26,191-192,261.4451058,6.72,FALSE,147.270874,"9°53'59"" L",9.911972222,78.07363889,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.07363888888888 9.911972222222223, 78.07594444444445 9.91088888888889)"
22,189,,S,DA,26,192- DP,280.4103813,4.97,0,146.528076,,9.910888889,78.07594444,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.07594444444445 9.91088888888889, 78.07755555555555 9.91013888888889)"
23,190,,S,DA,26, DP-193,194.313734,1.8,FALSE,144.028366,,9.910138889,78.07755556,GOOD,Available,LT,Road,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.07755555555555 9.91013888888889, 78.07944444444443 9.90925)"
24,191,,S,DA,26,193-194,229.927479,4.56,FALSE,143.61412,,9.90925,78.07944444,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.07944444444443 9.90925, 78.08169444444444 9.908194444444446)"
25,192,2W,T,DB,26,194-Gantry ( Pasumalai SS),272.8802751,13.01,FALSE,141.839493,"29°40'37"" R",9.908194444,78.08169444,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.08169444444444 9.908194444444446, 78.08219444444444 9.907472222222223)"
26, DP,,T,H-Pole,12,Gantry ( Pasumalai SS)-,95.83096009,∞,FALSE,140.895813,"8°25'11"" L",9.907472222,78.08219444,GOOD,NO E/W,110KV,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.08219444444444 9.907472222222223, 78.08241666666666 9.907250000000001)"
27,193,,T,DB,26,-1.  Shut down will be required in where earth wires are missing.,34.31517748,2.38,FALSE,142.944382,"38°23'34"" R",9.90725,78.08241667,GOOD,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.08241666666666 9.907250000000001, 78.08247222222222 9.906527777777779)"
28,194,,T,DB,26,1.  Shut down will be required in where earth wires are missing.-,79.98773463,0.24,FALSE,147.984283,"8°57'53"" R",9.906527778,78.08247222,GOOD,Available,,RAILWAY,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.08247222222222 9.906527777777779, 78.08244444444443 9.906277777777778)"
29,Gantry ( Pasumalai SS),2W,T,H-Pole,12,194 - Gantry,30.30166752,,,150.84227,,9.906277778,78.08244444,GOOD,NO E/W,,,SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note :,1.  Shut down will be required in where earth wires are missing.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
