S. No ,Tower No,Supspension/Tenion,Tower type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,1,T,DC+0,25,,,4.11,295.429077,,9.99811,77.5286,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5286 9.99811, 77.531 9.99812)"
2,2,T,DC+0,25,1-2,269,2.04,299.381012,5°5'22''RT,9.99812,77.531,GOOD,Available,LT,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.531 9.99812, 77.533 9.99796)"
3,3,T,DC+0,25,2-3,229,0.6,297.264557,8°2'30''RT,9.99796,77.533,GOOD,Available,,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.533 9.99796, 77.5339 9.99776)"
4,3A,T,DC+0,25,3-3A,104,1.31,298,34°27'2''RT,9.99776,77.5339,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5339 9.99776, 77.5349 9.9967)"
5,4,T,DC+0,25,3A-4,161,0.51,300.389496,31°37'17''LT,9.9967,77.5349,GOOD,Available,11 KV,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5349 9.9967, 77.5375 9.996)"
6,5,S,DA+0,28,4-5,291,2.04,300.696197999999,0°13'23''LT,9.996,77.5375,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5375 9.996, 77.5391 9.99557)"
7,6,S,DA+0,28,5-6,184,0.83,299.186279,0°29'55''LT,9.99557,77.5391,GOOD,Available,"11KV, LT",Small canal,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5391 9.99557, 77.541 9.99507)"
8,7,T,DC+0,25,6-7,218,0.89,303.623321999999,45°36'13''LT,9.99507,77.541,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.541 9.99507, 77.5425 9.99601)"
9,8,T,DC+0,25,7-8,205,0.22,304.452208999999,41°44'29''LT,9.99601,77.5425,GOOD,Available,,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5425 9.99601, 77.5431 9.99766)"
10,9,T,DC+0,25,8-9,194,0.36,303.415222,1°57'39''LT,9.99766,77.5431,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5431 9.99766, 77.5435 9.99911)"
