S.No,Tower No.,Tower Suspension/Tension,Deviation Angle,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken, etc)","Condition of Earth wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/ Forest/Water Logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
12,55,A+0,,"=IF(C17=""A+0"",""S"",IF(C17=""DA+0"",""S"",IF(C17=""A+3"",""S"",IF(C17=""A+6"",""S"",IF(C17=""A+9"",""S"",IF(C17=FALSE,"" "",""T""))))))",28,"=B16& "" -""&B17",249,∞,"=IF(I17>15,0)",138.860167999999,,9.841465909197145,77.99121899134596,Good,Good,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.99121899134596 9.841465909197145, 77.99285698285411 9.843100883087539)"
13,54,A+0,,"=IF(C18=""A+0"",""S"",IF(C18=""DA+0"",""S"",IF(C18=""A+3"",""S"",IF(C18=""A+6"",""S"",IF(C18=""A+9"",""S"",IF(C18=FALSE,"" "",""T""))))))",28,"=B17& "" -""&B18",258,12.95,"=IF(I18>15,0)",139.756103999999,,9.843100883087539,77.99285698285411,Good,Good,,VILLAGE ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.99285698285411 9.843100883087539, 77.99463796962961 9.844858903303445)"
14,53,A+0,,"=IF(C19=""A+0"",""S"",IF(C19=""DA+0"",""S"",IF(C19=""A+3"",""S"",IF(C19=""A+6"",""S"",IF(C19=""A+9"",""S"",IF(C19=FALSE,"" "",""T""))))))",28,"=B18& "" -""&B19",278,∞,"=IF(I19>15,0)",140.564819,,9.844858903303445,77.99463796962961,Good,Good,LT,VILLAGE ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.99463796962961 9.844858903303445, 77.99614000666922 9.846348870280272)"
15,52,A+0,,"=IF(C20=""A+0"",""S"",IF(C20=""DA+0"",""S"",IF(C20=""A+3"",""S"",IF(C20=""A+6"",""S"",IF(C20=""A+9"",""S"",IF(C20=FALSE,"" "",""T""))))))",28,"=B19& "" -""&B20",236,∞,"=IF(I20>15,0)",141.368591,,9.846348870280272,77.99614000666922,Good,Good,,VILLAGE ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.99614000666922 9.846348870280272, 77.9976780020731 9.847872867780854)"
16,51,A+0,,"=IF(C21=""A+0"",""S"",IF(C21=""DA+0"",""S"",IF(C21=""A+3"",""S"",IF(C21=""A+6"",""S"",IF(C21=""A+9"",""S"",IF(C21=FALSE,"" "",""T""))))))",28,"=B20& "" -""&B21",241,∞,"=IF(I21>15,0)",138.286376999999,,9.847872867780854,77.9976780020731,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9976780020731 9.847872867780854, 77.9993780196644 9.849551930475071)"
17,50,A+0,,"=IF(C22=""A+0"",""S"",IF(C22=""DA+0"",""S"",IF(C22=""A+3"",""S"",IF(C22=""A+6"",""S"",IF(C22=""A+9"",""S"",IF(C22=FALSE,"" "",""T""))))))",28,"=B21& "" -""&B22",266,∞,"=IF(I22>15,0)",141.121658,,9.849551930475071,77.9993780196644,Good,Good,11KV,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9993780196644 9.849551930475071, 78.00105499503827 9.851221857062187)"
18,49,A+0,,"=IF(C23=""A+0"",""S"",IF(C23=""DA+0"",""S"",IF(C23=""A+3"",""S"",IF(C23=""A+6"",""S"",IF(C23=""A+9"",""S"",IF(C23=FALSE,"" "",""T""))))))",28,"=B22& "" -""&B23",259,∞,"=IF(I23>15,0)",141.141098,,9.851221857062187,78.00105499503827,Good,Good,,ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.00105499503827 9.851221857062187, 78.00268401790942 9.852841911418434)"
19,48,A+0,,"=IF(C24=""A+0"",""S"",IF(C24=""DA+0"",""S"",IF(C24=""A+3"",""S"",IF(C24=""A+6"",""S"",IF(C24=""A+9"",""S"",IF(C24=FALSE,"" "",""T""))))))",28,"=B23& "" -""&B24",256,∞,"=IF(I24>15,0)",143.256302,,9.852841911418434,78.00268401790942,Good,Good,,ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.00268401790942 9.852841911418434, 78.00432703855878 9.854460876128902)"
20,47,A+0,,"=IF(C25=""A+0"",""S"",IF(C25=""DA+0"",""S"",IF(C25=""A+3"",""S"",IF(C25=""A+6"",""S"",IF(C25=""A+9"",""S"",IF(C25=FALSE,"" "",""T""))))))",28,"=B24& "" -""&B25",257,∞,"=IF(I25>15,0)",144.630402,,9.854460876128902,78.00432703855878,Good,Good,,ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.00432703855878 9.854460876128902, 78.00609000424171 9.856198863872285)"
21,46,A+0,,"=IF(C26=""A+0"",""S"",IF(C26=""DA+0"",""S"",IF(C26=""A+3"",""S"",IF(C26=""A+6"",""S"",IF(C26=""A+9"",""S"",IF(C26=FALSE,"" "",""T""))))))",28,"=B25& "" -""&B26",275,∞,"=IF(I26>15,0)",145.846297999999,,9.856198863872285,78.00609000424171,Good,Good,LT,ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.00609000424171 9.856198863872285, 78.00775800296248 9.857872897687832)"
