SL.NO,TOWER NO,Joint Box,TOWER    T/ S,DEVIATION OF  ANGLE   ,TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER ,SPAN LENGTH (Mtrs),EARTH FOOTING RESIDENCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING DETAILS,,CONDITION OF AREA                          (Plain/Hills/Forest/Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
136,136,,S,,GC,23.62,T135-T136,249.5696376,37.35,44,8.336812969,77.73638315,AVAILABLE,,,PLAIN LAND,"Dc line , Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.73638315401872 8.336812969183823, 77.73843772332248 8.337554669090883)"
137,137,,S,,GC,23.62,T136-T137,240.8970288,33.94,43,8.337554669,77.73843772,AVAILABLE,,,PLAIN LAND,"Dc line , Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.73843772332248 8.337554669090883, 77.74055331549758 8.338340485804707)"
138,138,,S,,GC+3,26.62,T137-T138,248.8956465,37.87,45,8.338340486,77.74055332,AVAILABLE,LT LINE,,PLAIN LAND,"Dc line , lt Line, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.74055331549758 8.338340485804707, 77.74266924519594 8.339101086290201)"
139,139,,S,,GC,23.62,T138-T139,247.9691355,39.34,43,8.339101086,77.74266925,AVAILABLE,,ROAD,PLAIN LAND,"Dc line   Road, plain land ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.74266924519594 8.339101086290201, 77.74467151244318 8.339824866652695)"
140,140,,T,"00°11'32""RT",HC,21.94,T139-T140,234.8009545,47.94,42,8.339824867,77.74467151,AVAILABLE,,,PLAIN LAND,"Dc line , plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.74467151244318 8.339824866652695, 77.74687628935703 8.340636548943557)"
141,141,,S,,GC,23.62,T140-T141,259.1083526,32.78,43,8.340636549,77.74687629,AVAILABLE,11KV LINE,"ODAI(NALA),CART TRACK",PLAIN LAND,"Dc line  Odai ( nala), cart track,  11kv Line, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.74687628935703 8.340636548943557, 77.74895365963391 8.3413672971244)"
142,142,,S,,GC,23.62,T141-T142,242.8551189,39.61,43,8.341367297,77.74895366,AVAILABLE,,,PLAIN LAND,"Dc line , plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.74895365963391 8.3413672971244, 77.75083020013074 8.342053260930124)"
143,143 ( LILO ),3W,T,"29°04'21""LT",HC,21.94,T142-T143,220.3469306,32.94,41,8.342053261,77.7508302,AVAILABLE,11KV LINE,,PLAIN LAND,"Dc line,11kv Line,plain land (LILO ON KOTTAI KARUNGULAM )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.75083020013074 8.342053260930124, 77.75307454364727 8.3428566461332)"
144,144,2W,S,,GC,23.62,T143-T144,262.8916112,34.47,39,8.342856646,77.75307454,AVAILABLE,"33KV LINE-2NOS,11KV LINE",,PLAIN LAND,"Dc line 33kv Line,  Road , 33kv Line ,11kv Line, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.75307454364727 8.3428566461332, 77.75474320813659 8.34475672776069)"
145,145,,S,,GC+3,26.62,T144-T145,279.3944618,33.53,38,8.344756728,77.75474321,AVAILABLE,"33KV LINE-4NOS,11KV LINE-2NOS,LT LINE","ROAD,CART TRACK",WATER LOGGED AREA,"Dc Line,33kv Line-4Nos,11kv Line-2Nos,Lt Line,Road,cart track, Water logged Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.75474320813659 8.34475672776069, 77.75612488576458 8.346336703045646)"
146,146,,S,,GC,23.62,T145-T146,231.8995131,49.78,37,8.346336703,77.75612489,AVAILABLE,33KV LINE-3NOS,"ODAI BUND, CART TRACK",AGRI LAND,"Dc Line,33kv Line-3Nos, Odai bund, cart track,Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.75612488576458 8.346336703045646, 77.75765977760925 8.348078206528609)"
147,147,,S,,GC,23.62,T146-T147,256.4752435,33.43,37,8.348078207,77.75765978,AVAILABLE,LT LINE,,AGRI LAND,"Dc Line,lt Line,Agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.75765977760925 8.348078206528609, 77.75914102512866 8.349767299853196)"
148,148,,S,,GC,23.62,T147-T148,248.2154014,36.62,35,8.3497673,77.75914103,AVAILABLE,LT LINE,,AGRI LAND,"Dc Line,lt Line,Agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.75914102512866 8.349767299853196, 77.76076141376848 8.351631189956805)"
149,149,,S,,GC,23.62,T148-T149,272.8786898,33.44,35,8.35163119,77.76076141,AVAILABLE,,,AGRI LAND,"Dc Line,Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.76076141376848 8.351631189956805, 77.76240494335035 8.353492421401)"
150,150,,S,,GC,23.62,T149-T150,274.3339354,38.56,35,8.353492421,77.76240494,AVAILABLE,LT LINE,,AGRI LAND,"Dc Line,lt Line,Agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.76240494335035 8.353492421401, 77.76390965892442 8.35522793143995)"
151,151,,S,,GC,23.62,T150-T151,253.790133,35.63,35,8.355227931,77.76390966,AVAILABLE,,CART TRACK,PLAIN AREA,"Dc Line,cart track,plain Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.76390965892442 8.35522793143995, 77.76538587775198 8.356906040817309)"
152,152,,T,"09°14'27""RT",HC,21.94,T151-T152,246.934801,44.7,37,8.356906041,77.76538588,AVAILABLE,,CART TRACK,PLAIN LAND,"Dc Line,cart track,plain",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.76538587775198 8.356906040817309, 77.76676051519362 8.358448810792764)"
153,153,,S,,GC,23.62,T152-T153,228.2933883,38.36,32,8.358448811,77.76676052,AVAILABLE,LT LINE-2NOS,CART TRACK,PLAIN LAND,"Dc Line,cart track,Lt Line-2Nos,plain",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.76676051519362 8.358448810792764, 77.76866521702468 8.360013118026341)"
154,154,,S,,GC,23.62,T153-T154,272.1362259,36.56,32,8.360013118,77.76866522,AVAILABLE,,RIVER,PLAIN LAND,"Dc Line,River,plain Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.76866521702468 8.360013118026341, 77.77045726919697 8.36150643710538)"
155,155,,S,,GC,23.62,T154-T155,257.5637827,31.52,33,8.361506437,77.77045727,AVAILABLE,,,PLAIN LAND,"Dc Line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.77045726919697 8.36150643710538, 77.77218427215949 8.3629261131276)"
156,156,,S,,GC+3,26.62,T155-T156,246.8392852,37.71,32,8.362926113,77.77218427,AVAILABLE,,,PLAIN LAND,"Dc Line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.77218427215949 8.3629261131276, 77.77399544120624 8.36438525520818)"
157,157,,S,,GC,23.62,T156-T157,256.7872241,38.73,32,8.364385255,77.77399544,AVAILABLE,,"RIVER,ODAI(NALA)",PLAIN LAND,"Dc Line,ct,River,odai(Nala),plain Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.77399544120624 8.36438525520818, 77.7757596608428 8.365906750833739)"
158,158,,S,,GC,23.62,T157-T158,257.2486939,42.48,34,8.365906751,77.77575966,AVAILABLE,,"POND, CART TRACK",PLAIN LAND,"Dc Line,cart track,Pond,plain Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7757596608428 8.365906750833739, 77.77750410580498 8.367263057852234)"
159,159,,S,,GC,23.62,T158-T159,243.9466899,36.89,33,8.367263058,77.77750411,AVAILABLE,,"POND, CART TRACK",PLAIN LAND,"Dc Line,Pond,cart track,plain Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.77750410580498 8.367263057852234, 77.77929481517758 8.368757679125613)"
160,160,2W,T,"00°04'25""RT",HC,21.94,T159-T160,257.5420063,33.76,34,8.368757679,77.77929482,AVAILABLE,"11KV LINE, LT LINE",ODAI(NALA),AGRI LAND,"Dc Line,11kv Line,Lt Line,odai(Nala),Agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.77929481517758 8.368757679125613, 77.78102316079416 8.370198219823957)"
161,161,,S,,GC,23.62,T160-T161,248.4284474,32.34,35,8.37019822,77.78102316,AVAILABLE,,,AGRI LAND,"Dc Line,Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.78102316079416 8.370198219823957, 77.78296105708111 8.371743238495057)"
162,162,,S,,GC,23.62,T161-T162,273.6280641,33.49,36,8.371743238,77.78296106,AVAILABLE,LT LINE,"ODAI(NALA), CART TRACK",WATER LOGGED AREA,"Dc Line,lt Line,odai (Nala),cart track,Water logged area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.78296105708111 8.371743238495057, 77.78490800161322 8.373378483930592)"
163,163,,S,,GC,23.62,T162-T163,280.7394689,39.53,39,8.373378484,77.784908,AVAILABLE,,POND,PLAIN LAND,"Dc Line,Pond,Plain Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.78490800161322 8.373378483930592, 77.78659611805469 8.374781531928823)"
164,164,,S,,GC,23.62,T163-T164,242.3642359,47.82,40,8.374781532,77.78659612,AVAILABLE,,,PLAIN LAND,"Dc Line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.78659611805469 8.374781531928823, 77.78837274696363 8.37623133860978)"
165,165,,S,,GC,23.62,T164-T165,253.1809335,32.71,40,8.376231339,77.78837275,AVAILABLE,,,PLAIN LAND,"Dc Line,fencing,plainLand",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.78837274696363 8.37623133860978, 77.79016748228902 8.377676495827572)"
166,166,,T,"13°04'40""RT",HC+3,24.94,T165-T166,254.4037187,36.38,41,8.377676496,77.79016748,AVAILABLE,,,PLAIN LAND,"Dc Line,fencing,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.79016748228902 8.377676495827572, 77.79189582751209 8.379130605016545)"
167,167,,S,,GC,23.62,T166-T167,249.3939924,32.54,40,8.379130605,77.79189583,AVAILABLE,11KV LINE-2NOS,ROAD-2NOS,PLAIN LAND,"Dc Line,11kv Line-2Nos,Road,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.79189582751209 8.379130605016545, 77.79379214788584 8.380062622021466)"
168,168,,S,,GC+3,26.62,T167-T168,233.0926401,35.37,39,8.380062622,77.79379215,AVAILABLE,,ODAI(NALA),PLAIN LAND,"Dc Line,odai(Nala),plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.79379214788584 8.380062622021466, 77.79587488215554 8.38112531038369)"
169,169,,S,,GC,23.62,T168-T169,257.9484004,36.95,39,8.38112531,77.79587488,AVAILABLE,11KV LINE,ROAD,PLAIN LAND,"Dc Line,11kv Line,Road,Fencing,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.79587488215554 8.38112531038369, 77.79785536651391 8.382086508615084)"
170,170,,S,,GC,23.62,T169-T170,242.8439023,34.77,39,8.382086509,77.79785537,AVAILABLE,"11KV LINE, LT LINE-2NOS",CART TRACK,WATER LOGGED AREA,"Dc Line,11kv Line,Lt Line-2Nos,cart track,Water logged area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.79785536651391 8.382086508615084, 77.80008260082911 8.38316445503361)"
171,171,,S,,GC,23.62,T170-T171,272.9542013,33.93,38,8.383164455,77.8000826,AVAILABLE,,"POND, ODAI BUND",PLAIN LAND,"Dc Line,Pond,Odai bund,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.80008260082911 8.38316445503361, 77.80194405858339 8.38410806109685)"
172,172,,S,,GC,23.62,T171-T172,230.2318522,35.49,38,8.384108061,77.80194406,AVAILABLE,LT LINE,,PLAIN LAND,"Dc Line,lt Line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.80194405858339 8.38410806109685, 77.80384071227509 8.385046037235664)"
173,173,,S,,GC,23.62,T172-T173,233.4178414,32.89,38,8.385046037,77.80384071,AVAILABLE,11KV LINE,,PLAIN LAND,"Dc Line,11kv Line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.80384071227509 8.385046037235664, 77.8057239621198 8.386040718690369)"
174,174,,S,,GC+3,26.62,T173-T174,234.970195,34.51,38,8.386040719,77.80572396,AVAILABLE,LT LINE,CART TRACK,AGRI LAND,"Dc Line,lt Line,cart track,Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8057239621198 8.386040718690369, 77.80788749665625 8.387060939649512)"
175,175,,T,"13°32'43""LT",HC,21.94,T174-T175,263.8594709,32.73,37,8.38706094,77.8078875,AVAILABLE,"11KV LINE-2NOS,33KV LINE",ROAD,PLAIN LAND,"Dc Line,11kv Line-2Nos,33kv Line,Road,plainland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.80788749665625 8.387060939649512, 77.80991993662678 8.388056948294716)"
176,176,3W,T,"22°59'48""RT",HC,21.94,T175-T176,249.6812288,34.78,38,8.388056948,77.80991994,AVAILABLE,,,PLAIN LAND,"Dc Line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.80991993662678 8.388056948294716, 77.8106521783812 8.388668561655466)"
177,177,,T,"14°20'47""LT",HC,21.94,T176-T177,105.3432739,47.48,36,8.388668562,77.81065218,AVAILABLE,,,PLAIN LAND,"Dc Line,lilo,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8106521783812 8.388668561655466, 77.81194266363048 8.389061243245619)"
178,178,3W,T,"10°21'44""RT",HC,21.94,T177-T178,148.7346418,39.72,36,8.389061243,77.81194266,AVAILABLE,,,PLAIN LAND,"Dc Line,odai,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.81194266363048 8.389061243245619, 77.81273960900798 8.389544489974522)"
179,179,,S,,GC,23.62,T178-T179,102.8465755,35.44,36,8.38954449,77.81273961,AVAILABLE,,,PLAIN LAND,"Dc Line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.81273960900798 8.389544489974522, 77.81371492875073 8.389965036619051)"
180,180,,S,,GC,23.62,T179-T180,117.1487456,31.51,36,8.389965037,77.81371493,AVAILABLE,,,PLAIN LAND,"Dc Line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.81371492875073 8.389965036619051, 77.81567227022595 8.390897026060603)"
181,181,,S,,GC,23.62,T180-T181,239.1403661,35.76,36,8.390897026,77.81567227,AVAILABLE,400KV LINE,,PLAIN LAND,"Dc Line,400kv Line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.81567227022595 8.390897026060603, 77.81773388309009 8.391968636705661)"
182,182,,S,,GC,23.62,T181-T182,256.3333623,38.97,38,8.391968637,77.81773388,AVAILABLE,,,PLAIN LAND,"Dc Line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.81773388309009 8.391968636705661, 77.81970028226176 8.392661473442127)"
183,183,,S,,GC,23.62,T182-T183,229.9105483,47.54,37,8.392661473,77.81970028,AVAILABLE,LT LINE,,AGRI LAND,"Dc Line,lt Line,Agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.81970028226176 8.392661473442127, 77.82177195090192 8.393391116356135)"
184,184,,S,,GC+3,26.62,T183-T184,242.208144,33.83,36,8.393391116,77.82177195,AVAILABLE,,ODAI(NALA),PLAIN LAND,"Dc Line,odai(Nala) ,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.82177195090192 8.393391116356135, 77.8240330485219 8.39420268240167)"
185,185,,S,,GC,23.62,T184-T185,264.9211815,39.42,36,8.394202682,77.82403305,AVAILABLE,,ROAD,PLAIN LAND,"Dc Line,Road,plain Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8240330485219 8.39420268240167, 77.82592333645077 8.394851071315676)"
186,186,,S,,GC,23.62,T185-T186,220.368422,32.67,35,8.394851071,77.82592334,AVAILABLE,,,PLAIN LAND,"Dc Line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.82592333645077 8.394851071315676, 77.82799467887295 8.395597624865601)"
187,187,,S,,GC,23.62,T186-T187,242.8050051,39.87,35,8.395597625,77.82799468,AVAILABLE,,,PLAIN LAND,"Dc Line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.82799467887295 8.395597624865601, 77.83008679730587 8.396347167911758)"
188,188,,S,,GC,23.62,T187-T188,245.071387,37.46,36,8.396347168,77.8300868,AVAILABLE,LT LINE,,AGRI LAND,"Dc Line,lt Line,Agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.83008679730587 8.396347167911758, 77.83206324990633 8.397048952880567)"
189,189,,T,"04°14'02""LT",HC,21.94,T188-T189,231.2864363,48.63,37,8.397048953,77.83206325,AVAILABLE,,,AGRI LAND,"Dc Line,Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.83206324990633 8.397048952880567, 77.83304762169651 8.397296683249008)"
190,190 ( LILO ),3W,T,"01°10'45""RT",HC,21.94,T189-T190,111.9120559,33.88,37,8.397296683,77.83304762,AVAILABLE,LT LINE,,AGRI LAND,"Dc Line,lt Line,Agri Land ( LILO ON THISAYANVILAI )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.83304762169651 8.397296683249008, 77.83396326025053 8.397725854376207)"
191,191,,S,,GC+3,26.62,T190-T191,111.5461757,32.76,38,8.397725854,77.83396326,AVAILABLE,LT LINE,CART TRACK,AGRI LAND,"Dc Line,Lt Line,cart track,Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.83396326025053 8.397725854376207, 77.83607449539734 8.398655822561311)"
192,192,,S,,GC,23.62,T191-T192,254.4584331,36.42,37,8.398655823,77.8360745,AVAILABLE,,ROAD-2NOS,PLAIN LAND,"Dc Line,Road-2Nos,plain Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.83607449539734 8.398655822561311, 77.83824775835029 8.39960436280323)"
193,193,,S,,GC+3,26.62,T192-T193,261.5440136,37.53,37,8.399604363,77.83824776,AVAILABLE,,,PLAIN LAND,"Dc Line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.83824775835029 8.39960436280323, 77.84032445772135 8.40051675295316)"
194,194,,S,,GC,23.62,T193-T194,250.1900884,39.94,37,8.400516753,77.84032446,AVAILABLE,"LT LINE,11KV LINE","ODAI BUND,WELL",PLAIN LAND,"Dc Line,Lt Line,11kv Line,Odai bund,well,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.84032445772135 8.40051675295316, 77.8420849901439 8.401317703007745)"
195,195,,S,,GC,23.62,T194-T195,213.3453022,47.62,38,8.401317703,77.84208499,AVAILABLE,LT LINE,WELL,AGRI LAND,"Dc Line,lt Line,well,Agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8420849901439 8.401317703007745, 77.84439403258779 8.402336208155214)"
196,196,,S,,GC,23.62,T195-T196,278.3621279,33.37,40,8.402336208,77.84439403,AVAILABLE,"LT LINE,11KV LINE","ODAI BUND, CART TRACK",PLAIN LAND,"Dc Line,lt Line,11kv Line Odai bund,cart track,plain  land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.84439403258779 8.402336208155214, 77.8462880116587 8.403188231173857)"
197,197,,S,,GC,23.62,T196-T197,229.075293,37.69,40,8.403188231,77.84628801,AVAILABLE,LT LINE,CART TRACK,PLAIN LAND,"Dc Line,lt Line,cart track,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8462880116587 8.403188231173857, 77.84844014857352 8.404143726466083)"
198,198,,S,,GC+3,26.62,T197-T198,259.7253221,31.34,41,8.404143726,77.84844015,AVAILABLE,LT LINE-3NOS,,PLAIN LAND,"Dc Line,lt Line-3Nos,plainland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.84844014857352 8.404143726466083, 77.85055607950797 8.405091257369328)"
199,199,,T,"09°36'50""RT",HC+3,24.94,T198-T199,255.7227404,35.56,38,8.405091257,77.85055608,AVAILABLE,LT LINE-2NOS,ROAD,PLAIN LAND,"Dc Line,lt Line-2Nos,Road,plain Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.85055607950797 8.405091257369328, 77.8526435007834 8.406017560036016)"
200,200,,S,,GC+3,26.62,T199-T200,251.8944331,37.87,40,8.40601756,77.8526435,AVAILABLE,LT LINE,ROAD,PLAIN LAND,"Dc Line,lt Line,Road,plain Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8526435007834 8.406017560036016, 77.85465348253183 8.406552160334249)"
201,201,,S,,GC,23.62,T200-T201,229.3124852,35.47,39,8.40655216,77.85465348,AVAILABLE,LT LINE-2NOS,ROAD,PLAIN LAND,"Dc Line,lt Line-2Nos,Road,plain Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.85465348253183 8.406552160334249, 77.85667922546871 8.407066847798841)"
202,202,,S,,GC,23.62,T201-T202,230.4365605,49.61,40,8.407066848,77.85667923,AVAILABLE,LT LINE,,PLAIN LAND,"Dc Line,lt Line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.85667922546871 8.407066847798841, 77.85870362376359 8.407568613366408)"
203,203,,S,,GC,23.62,T202-T203,229.9433747,32.32,39,8.407568613,77.85870362,AVAILABLE,,,PLAIN LAND,"Dc Line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.85870362376359 8.407568613366408, 77.86076791724425 8.40808397017191)"
204,204,,S,,GC+3,26.62,T203-T204,234.5743861,38.14,43,8.40808397,77.86076792,AVAILABLE,,,PLAIN LAND,"Dc Line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.86076791724425 8.40808397017191, 77.86286003661009 8.408621209002012)"
205,205,2W,T,"33°55'50""LT",KC,24,T204-T205,238.1439598,30.66,41,8.408621209,77.86286004,AVAILABLE,"11KV LINE, LT LINE",ROAD,AGRI LAND,"Dc Line,11kv line,Lt Line,Road,Agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.86286003661009 8.408621209002012, 77.86481838662323 8.409132255935354)"
206,206,,S,,GC+3,26.62,T205-T206,223.1444901,32.99,41,8.409132256,77.86481839,AVAILABLE,"11KV LINE, LT LINE",,PLAIN LAND,"Dc Line,11kv Line,lt Line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.86481838662323 8.409132255935354, 77.86629125365431 8.410768671092931)"
207,207,,S,,GC,23.62,T206-T207,243.2424821,34.52,41,8.410768671,77.86629125,AVAILABLE,LT LINE,ROAD,PLAIN LAND,"Dc Line,Road.lt Line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.86629125365431 8.410768671092931, 77.8678238058435 8.412487665503914)"
208,208,,S,,GC,23.62,T207-T208,254.4429851,39.8,38,8.412487666,77.86782381,AVAILABLE,,,PLAIN LAND,"Dc Line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8678238058435 8.412487665503914, 77.8693918845463 8.414247441125662)"
209,209,,S,,GC,23.62,T208-T209,260.4183707,45.47,39,8.414247441,77.86939188,AVAILABLE,,ODAI(NALA),PLAIN LAND,"Dc Line,odai (Nala),plain Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8693918845463 8.414247441125662, 77.87092812469714 8.415942210857226)"
210,210,,T,"02°00'50""LT",HC,21.94,T209-T210,252.7158746,32.62,39,8.415942211,77.87092812,AVAILABLE,,,PLAIN LAND,"Dc Line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.87092812469714 8.415942210857226, 77.87239361761772 8.417609772042509)"
211,211,,S,,GC+3,26.62,T210-T211,245.2840825,33.81,38,8.417609772,77.87239362,AVAILABLE,,CART TRACK,PLAIN LAND,"Dc line  ,  cart tark , Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.87239361761772 8.417609772042509, 77.87377462052426 8.419098232430308)"
212,212,,S,,GC+3,26.62,T211-T212,224.3134211,31.51,37,8.419098232,77.87377462,AVAILABLE,LT LINE,VILLAGE ROAD,AGRI LAND,"Dc line   ,  LT Line , VILLEGE ROAD ,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.87377462052426 8.419098232430308, 77.87554521357544 8.421004567689979)"
213,213,,S,,GC+3,26.62,T212-T213,287.4285791,36.73,36,8.421004568,77.87554521,AVAILABLE,LT LINE,VILLAGE ROAD,AGRI LAND,"Dc line   , LT Line , 1NOS VILLAGE ROAD , AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.87554521357544 8.421004567689979, 77.87704758793164 8.42271688108634)"
214,214,,S,,GC+3,26.62,T213-T214,251.6887878,38.69,36,8.422716881,77.87704759,AVAILABLE,,,AGRI LAND,"Dc line   , Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.87704758793164 8.42271688108634, 77.87855163200597 8.424356219526798)"
215,215,2W,T,"15°28'42""RT",HC,21.94,T214-T215,245.7870084,43.56,35,8.42435622,77.87855163,AVAILABLE,LT LINE,VILLAGE ROAD,PLAIN LAND,"Dc line   ,  village road , LT Line , Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.87855163200597 8.424356219526798, 77.87991285067136 8.425921931828924)"
216,216,,S,,GC,23.62,T215-T216,229.2338323,39.92,33,8.425921932,77.87991285,AVAILABLE,11KV LINE-2NOS,"ROAD, VILLAGE ROAD",PLAIN LAND,"Dc line    , puthukulam Road ,village Road , 2nos 11 kv Line, hand pump , Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.87991285067136 8.425921931828924, 77.88168277218517 8.427048181989408)"
