S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
18,TN - 13,T,SC on DC,25,"=CONCATENATE(B22, "" : "", B23)",296.34729113772937,5.66,25.7734521,0°6'52''RT,8.8654033653438,77.7907814551144,GOOD,OPGW,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7907814551144 8.8654033653438, 77.7927090413868 8.86267296038568)"
19,TN - 14,S,SC on DC,26,"=CONCATENATE(B23, "" : "", B24)",371.2712184653634,3.83,25.2172077,,8.86267296038568,77.7927090413868,GOOD,OPGW,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7927090413868 8.86267296038568, 77.7940462063997 8.86077831499278)"
20,TN - 15,S,SC on DC,26,"=CONCATENATE(B24, "" : "", B25)",258.2152508564018,4.94,28.109476,,8.86077831499278,77.7940462063997,GOOD,OPGW,,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7940462063997 8.86077831499278, 77.7954034041613 8.85884226299822)"
21,TN - 16,S,SC on DC,26,"=CONCATENATE(B25, "" : "", B26)",263.23550391194465,2.88,27.246119,,8.85884226299822,77.7954034041613,GOOD,OPGW,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7954034041613 8.85884226299822, 77.7967609371989 8.85692289099097)"
22,TN - 17,S,SC on DC,26,"=CONCATENATE(B26, "" : "", B27)",261.74513108341205,7.82,30.272999,,8.85692289099097,77.7967609371989,GOOD,OPGW,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7967609371989 8.85692289099097, 77.7983400877565 8.85473236441612)"
23,TN - 18,T,SC on DC,25,"=CONCATENATE(B27, "" : "", B28)",300.3426959443717,6.56,26.818712,1°2'12''LT,8.85473236441612,77.7983400877565,GOOD,OPGW,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7983400877565 8.85473236441612, 77.7998753171414 8.8525194581598)"
24,TN - 19,S,SC on DC,26,"=CONCATENATE(B28, "" : "", B29)",299.5878847760715,4.96,26.5434,,8.8525194581598,77.7998753171414,GOOD,OPGW,LT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7998753171414 8.8525194581598, 77.8015518654137 8.85016724467277)"
25,TN - 20,S,SC on DC,26,"=CONCATENATE(B29, "" : "", B30)",321.14143779851645,4.67,26.3296965,,8.85016724467277,77.8015518654137,GOOD,OPGW,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8015518654137 8.85016724467277, 77.8031658846884 8.84791393764317)"
26,TN - 21,S,SC on DC,26,"=CONCATENATE(B30, "" : "", B31)",308.2312042252529,5.78,25.7734521,,8.84791393764317,77.8031658846884,GOOD,OPGW,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8031658846884 8.84791393764317, 77.8048255015164 8.84552920237183)"
27,TN - 22,T,SC on DC,25,"=CONCATENATE(B31, "" : "", B32)",323.0224955570289,6.26,25.2172077,0°8'33''RT,8.84552920237183,77.8048255015164,GOOD,OPGW IS NOT AT PEAK,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8048255015164 8.84552920237183, 77.805754803121 8.84420092217624)"
28,TN - 23,T,SC on SC,23,"=CONCATENATE(B32, "" : "", B33)",181.11568309265485,9.54,28.109476,0°15'51''RT,8.84420092217624,77.805754803121,RUSTED,OPGW,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.805754803121 8.84420092217624, 77.8065354935824 8.84309593588113)"
29,TN - 24,T,SC on SC,23,"=CONCATENATE(B33, "" : "", B34)",151.48545075351961,8.78,27.246119,0°50'19''LT,8.84309593588113,77.8065354935824,RUSTED,OPGW,33KV,RAILWAY,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8065354935824 8.84309593588113, 77.8081458248198 8.84074439294636)"
30,TN - 25,T,SC on DC,25,"=CONCATENATE(B34, "" : "", B35)",316.9246352323733,5.33,30.272999,23°50'36''LT,8.84074439294636,77.8081458248198,GOOD,OPGW,,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8081458248198 8.84074439294636, 77.8086673468351 8.83794684894383)"
31,TN - 26,S,SC on DC,26,"=CONCATENATE(B35, "" : "", B36)",316.929491698068,4.94,26.818712,,8.83794684894383,77.8086673468351,GOOD,OPGW,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8086673468351 8.83794684894383, 77.8092097397893 8.83512717671692)"
32,TN - 27,S,SC on DC,26,"=CONCATENATE(B36, "" : "", B37)",319.7620079267526,6.88,26.5434,,8.83512717671692,77.8092097397893,GOOD,OPGW,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8092097397893 8.83512717671692, 77.8097234666347 8.83236265741288)"
33,TN - 28,S,SC on DC,26,"=CONCATENATE(B37, "" : "", B38)",313.1792990106823,2.66,26.3296965,,8.83236265741288,77.8097234666347,GOOD,OPGW,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8097234666347 8.83236265741288, 77.8102753311395 8.82952144369483)"
34,TN - 29,S,SC on DC,26,"=CONCATENATE(B38, "" : "", B39)",322.30074165521927,3.57,25.7734521,,8.82952144369483,77.8102753311395,GOOD,OPGW,11KV,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8102753311395 8.82952144369483, 77.8108228370547 8.82666002959013)"
35,TN - 30,S,SC on DC,26,"=CONCATENATE(B39, "" : "", B40)",324.40648173970015,3.86,25.2172077,,8.82666002959013,77.8108228370547,GOOD,OPGW,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8108228370547 8.82666002959013, 77.8114244062453 8.82353592664003)"
36,TN - 31,T,SC on DC,25,"=CONCATENATE(B40, "" : "", B41)",354.0833238407581,4.67,28.109476,0°6'45''LT,8.82353592664003,77.8114244062453,GOOD,OPGW,,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8114244062453 8.82353592664003, 77.8119121491909 8.82097592577338)"
37,TN - 32,S,SC on DC,26,"=CONCATENATE(B41, "" : "", B42)",290.4025151356014,4.78,27.246119,,8.82097592577338,77.8119121491909,GOOD,OPGW,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8119121491909 8.82097592577338, 77.8124356828629 8.81822850555181)"
38,TN - 33,S,SC on DC,26,"=CONCATENATE(B42, "" : "", B43)",311.5185218559757,5.66,30.272999,,8.81822850555181,77.8124356828629,GOOD,OPGW,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8124356828629 8.81822850555181, 77.8129865415394 8.81538921967148)"
39,TN - 34,S,SC on DC,26,"=CONCATENATE(B43, "" : "", B44)",322.07119688118775,3.88,26.818712,,8.81538921967148,77.8129865415394,GOOD,OPGW,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8129865415394 8.81538921967148, 77.8135215584188 8.81255446001887)"
40,TN - 35,S,SC on DC,26,"=CONCATENATE(B44, "" : "", B45)",321.2530688334398,4.97,26.5434,,8.81255446001887,77.8135215584188,GOOD,OPGW,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8135215584188 8.81255446001887, 77.8140942100435 8.80958030931651)"
41,TN - 36,T,SC on DC,25,"=CONCATENATE(B45, "" : "", B46)",337.18395499347764,5.36,26.3296965,0°8'32''RT,8.80958030931651,77.8140942100435,GOOD,OPGW,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8140942100435 8.80958030931651, 77.8146180789917 8.8068954180926)"
42,TN - 37,S,SC on DC,26,"=CONCATENATE(B46, "" : "", B47)",304.7289492780674,4.97,25.7734521,,8.8068954180926,77.8146180789917,GOOD,OPGW,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8146180789917 8.8068954180926, 77.8151265252381 8.80415151827037)"
43,TN - 38,S,SC on DC,26,"=CONCATENATE(B47, "" : "", B48)",310.83116571979986,6.86,25.2172077,,8.80415151827037,77.8151265252381,GOOD,OPGW,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8151265252381 8.80415151827037, 77.8156172856688 8.80159629508853)"
44,TN - 39,S,SC on DC,26,"=CONCATENATE(B48, "" : "", B49)",289.9462831644941,2.67,28.109476,,8.80159629508853,77.8156172856688,GOOD,OPGW,33KV,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8156172856688 8.80159629508853, 77.8161492850631 8.79876270890235)"
45,TN - 40,S,SC on DC,26,"=CONCATENATE(B49, "" : "", B50)",321.0651646547466,3.58,27.246119,,8.79876270890235,77.8161492850631,GOOD,OPGW,"33KV, LT",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8161492850631 8.79876270890235, 77.8166912589222 8.79604185931384)"
46,TN - 41,T,SC on DC,25,"=CONCATENATE(B50, "" : "", B51)",309.0190357586654,-,30.272999,0°7'40''RT,8.79604185931384,77.8166912589222,GOOD,OPGW,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8166912589222 8.79604185931384, 77.817147905007 8.79377572797238)"
47,TN - 42,T,SC on DC,25,"=CONCATENATE(B51, "" : "", B52)",257.82200471230317,4.66,26.818712,16°53'22''RT,8.79377572797238,77.817147905007,GOOD,OPGW,LT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.817147905007 8.79377572797238, 77.8183593414723 8.79152418114244)"
48,TN - 43,S,SC on DC,26,"=CONCATENATE(B52, "" : "", B53)",284.66920762935837,4.77,26.5434,,8.79152418114244,77.8183593414723,GOOD,OPGW,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8183593414723 8.79152418114244, 77.8195219952613 8.78931948915123)"
49,TN - 44,S,SC on DC,26,"=CONCATENATE(B53, "" : "", B54)",277.5721759952294,5.69,26.3296965,,8.78931948915123,77.8195219952613,GOOD,OPGW,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8195219952613 8.78931948915123, 77.820676350966 8.78713198006153)"
50,TN - 45,S,SC on DC,26,"=CONCATENATE(B54, "" : "", B55)",275.46407738130785,3.84,25.7734521,,8.78713198006153,77.820676350966,GOOD,OPGW,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.820676350966 8.78713198006153, 77.8218533378094 8.78494807519018)"
51,TN - 46,S,SC on DC,26,"=CONCATENATE(B55, "" : "", B56)",276.28008794115715,4.96,25.2172077,,8.78494807519018,77.8218533378094,GOOD,OPGW,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8218533378094 8.78494807519018, 77.8229454159736 8.7828539405018)"
52,TN - 47,T,SC on DC,25,"=CONCATENATE(B56, "" : "", B57)",263.1298884552699,5.38,28.109476,0°38'45''RT,8.7828539405018,77.8229454159736,GOOD,OPGW,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8229454159736 8.7828539405018, 77.8242499753832 8.78041966818273)"
53,TN - 48,S,SC on DC,26,"=CONCATENATE(B57, "" : "", B58)",307.34342534973246,4.96,27.246119,,8.78041966818273,77.8242499753832,GOOD,OPGW,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8242499753832 8.78041966818273, 77.8256086818873 8.77787953242659)"
54,TN - 49,S,SC on DC,26,"=CONCATENATE(B58, "" : "", B59)",320.4893407444598,6.87,30.272999,,8.77787953242659,77.8256086818873,GOOD,OPGW IS NOT AT PEAK,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8256086818873 8.77787953242659, 77.8269429970532 8.77542799338698)"
55,TN - 50,T,SC on DC,25,"=CONCATENATE(B59, "" : "", B60)",310.5793169664143,2.68,26.818712,2°55'31''LT,8.77542799338698,77.8269429970532,GOOD,OPGW IS NOT AT PEAK,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8269429970532 8.77542799338698, 77.8272272273898 8.77483564428985)"
56, H POLE 3,H POLE,H POLE,15,"=CONCATENATE(B60, "" : "", B61)",74.65290346141366,7.59,26.5434,1°2'8''RT,8.77483564428985,77.8272272273898,GOOD,NO E/W,,,PLAIN,OPGW is connected directly from TN 50 to TN 51  at bottom level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8272272273898 8.77483564428985, 77.8274967893958 8.77429895102977)"
