S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,Gantry (Kamatchipuram SS),2W,Gantry,H-Pole,12,,,,FALSE,347.617035,,9.875305556,77.45922222,GOOD,NO E/W,,,SS,Rail Pole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.45922222222222 9.875305555555556, 77.45919444444445 9.875527777777778)"
2,1,,T,SC,22,GANTRY-1,27.10104507,0.8,FALSE,346.593994,"85°51'36""R",9.875527778,77.45919444,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.45919444444445 9.875527777777778, 77.46152777777777 9.875777777777778)"
3,2,,T,SB,21,01-Feb,259.4489531,0.31,FALSE,344.380463,"23°3'36""L",9.875777778,77.46152778,GOOD,Available,7-11KV ,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.46152777777777 9.875777777777778, 77.4625 9.8755)"
4,3,,T,SB,21,02-Mar,110.2195226,0.94,FALSE,344.173798,"7°6'36""L",9.8755,77.4625,GOOD,Available,"4-11KV, 3-LT ,66KV",Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4625 9.8755, 77.46391666666666 9.874861111111112)"
5,4,,S,SA,21,03-Apr,169.4497414,2.92,FALSE,346.133148,,9.874861111,77.46391667,GOOD,Available,66 KV,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.46391666666666 9.874861111111112, 77.46616666666667 9.873916666666668)"
6,5,,S,SA,21,04-May,269.4566735,0.28,FALSE,347.802246,,9.873916667,77.46616667,GOOD,Available,11 KV,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.46616666666667 9.873916666666668, 77.4675 9.87325)"
7,5A,,S,SA,21,5-5A,164.6744708,0.88,FALSE,345.832977,,9.87325,77.4675,GOOD,Available,"11 KV,2-LT",,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4675 9.87325, 77.46841666666667 9.872944444444444)"
8,6,,S,SA,21,5A-6,105.2513877,0.97,FALSE,342.450378,,9.872944444,77.46841667,GOOD,Available,3-66KV,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.46841666666667 9.872944444444444, 77.47033333333333 9.872111111111112)"
9,7,,S,SA,21,06-Jul,231,1.34,FALSE,341.160797,,9.872111111,77.47033333,GOOD,Available,,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.47033333333333 9.872111111111112, 77.47266666666667 9.871083333333333)"
10,8,,S,SA,21,07-Aug,283,4.14,FALSE,339.608582,,9.871083333,77.47266667,GOOD,Available,"11 KV,LT",Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.47266666666667 9.871083333333333, 77.47491666666667 9.870111111111111)"
11,9,,S,SA,21,08-Sep,271,2.04,FALSE,339.340668,,9.870111111,77.47491667,GOOD,Available,3-LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.47491666666667 9.870111111111111, 77.4773888888889 9.869)"
12,10,,T,SB,21,09-Oct,298.2010686,0.22,FALSE,339.828552,"1°34'48""L",9.869,77.47738889,GOOD,Available,,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4773888888889 9.869, 77.47897222222223 9.86825)"
13,11,,S,SA,21,10-Nov,193.8956378,0.22,FALSE,339.532715,,9.86825,77.47897222,GOOD,Available,11KV,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.47897222222223 9.86825, 77.48061111111112 9.867444444444445)"
14,12,,S,SA,21,11-Dec,199,0.22,0,341.233887,,9.867444444,77.48061111,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.48061111111112 9.867444444444445, 77.48227777777778 9.866638888888888)"
15,13,,S,SA,21,Dec-13,209,0.49,0,339.648102,,9.866638889,77.48227778,GOOD,Available,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.48227777777778 9.866638888888888, 77.48441666666666 9.865638888888888)"
16,14,,S,SA,21,13-14,259.6753679,0.32,FALSE,343.607178,,9.865638889,77.48441667,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.48441666666666 9.865638888888888, 77.48663888888889 9.864555555555555)"
17,15,2W,T,SB,21,14-15,270,2.13,FALSE,346.76825,"29°47'60""L",9.864555556,77.48663889,GOOD,Available,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.48663888888889 9.864555555555555, 77.487 9.864027777777778)"
18,16,,T,H-Pole,12,15-16,71.51795159,NIL,FALSE,346.827087,,9.864027778,77.487,GOOD,Available,,,Plain,Rail Pole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.487 9.864027777777778, 77.48722222222223 9.863694444444445)"
19,17,,T,H-Pole,12,16-17,44.57648279,NIL,FALSE,348.93161,,9.863694444,77.48722222,GOOD,NO E/W,230 KV Link,,Plain,Rail Pole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.48722222222223 9.863694444444445, 77.48786111111112 9.863333333333333)"
20,18,2W,T,SC,22,17-18,81,1.1,FALSE,351.809631,"45°15'0""R",9.863333333,77.48786111,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.48786111111112 9.863333333333333, 77.49022222222223 9.863916666666666)"
21,19,,S,SA,21,18-19,269.5957366,0.32,FALSE,348.830872,,9.863916667,77.49022222,GOOD,Available,LT,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.49022222222223 9.863916666666666, 77.49258333333333 9.864527777777777)"
22,20,,S,SA,21,19-20,266.9210954,0.94,FALSE,345.73822,,9.864527778,77.49258333,GOOD,Available,LT,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.49258333333333 9.864527777777777, 77.49494444444444 9.86511111111111)"
23,21,,S,SA,21,20-21,270,0.32,FALSE,342.439972,,9.865111111,77.49494444,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.49494444444444 9.86511111111111, 77.49708333333334 9.865666666666666)"
24,22,,T,SB,21,21-22,240,8.57,FALSE,339.05545,"10°36'0""R",9.865666667,77.49708333,GOOD,Available,LT,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.49708333333334 9.865666666666666, 77.49938888888889 9.866722222222222)"
25,23,,S,SA,21,22-23,280,2.19,FALSE,337.893768,,9.866722222,77.49938889,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.49938888888889 9.866722222222222, 77.50191666666667 9.867805555555556)"
26,24,,T,SB,21,23-24,300.3132459,8.36,FALSE,333.25647,"16°33'36""L",9.867805556,77.50191667,GOOD,Available,LT,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.50191666666667 9.867805555555556, 77.50352777777778 9.868)"
27,25,,T,SC,22,24-25,180.6752321,0.2,FALSE,332.382874,"63°37'12""L",9.868,77.50352778,GOOD,Available,33 KV,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.50352777777778 9.868, 77.50497222222222 9.86586111111111)"
28,26,,T,SB+3,24,25-26,289,3.27,FALSE,332.624451,"1°54'36""L",9.865861111,77.50497222,GOOD,Available,11 KV,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.50497222222222 9.86586111111111, 77.50591666666666 9.86436111111111)"
29,27,,T,SB+3,24,26-27,194.5486993,2.3,FALSE,334.598083,"21°2'24""L",9.864361111,77.50591667,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.50591666666666 9.86436111111111, 77.50619444444445 9.86286111111111)"
30,28,,T,SB+3,24,27-28,170.1166156,3.22,FALSE,338.337372,"26°29'24""L",9.862861111,77.50619444,GOOD,Available,33 KV,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.50619444444445 9.86286111111111, 77.50544444444445 9.860333333333333)"
31,29,,S,SA,21,28-29,290.8156449,3.38,FALSE,343.148193,,9.860333333,77.50544444,GOOD,Available,33 KV,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.50544444444445 9.860333333333333, 77.50472222222223 9.857777777777777)"
32,30,,T,SB,21,29-30,295.0371191,0.23,FALSE,344.270599,"19°21'36""R",9.857777778,77.50472222,GOOD,Available,,,Forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.50472222222223 9.857777777777777, 77.50486111111111 9.855333333333332)"
33,31,,S,SA,21,30-31,268.5191877,0.22,FALSE,334.438812,,9.855333333,77.50486111,GOOD,Available,33KV,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.50486111111111 9.855333333333332, 77.50497222222222 9.853472222222221)"
34,32,,T,SB,21,31-32,208.8055938,1.18,FALSE,337.918427,"0°39'36""R",9.853472222,77.50497222,GOOD,Available,,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.50497222222222 9.853472222222221, 77.50516666666667 9.850999999999999)"
35,33,2W,T,SC+3,25,32-33,276,1.67,FALSE,343.916718,"44°59'24""L",9.851,77.50516667,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.50516666666667 9.850999999999999, 77.50358333333334 9.849194444444445)"
36,34,,S,SA+3,24,33-34,265,0.48,FALSE,340.909302,,9.849194444,77.50358333,GOOD,Available,LT,Near High way,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.50358333333334 9.849194444444445, 77.50244444444445 9.847861111111111)"
37,35,,T,SB+3,24,34-35,195,2.47,FALSE,339.912933,"2°14'24""L",9.847861111,77.50244444,GOOD,Available,,Near High way,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.50244444444445 9.847861111111111, 77.501 9.846277777777779)"
38,36,,T,SB+3,24,35-36,237,3.95,FALSE,343.717255,"0°41'60""R",9.846277778,77.501,GOOD,Available,,High Way,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.501 9.846277777777779, 77.49977777777778 9.844888888888889)"
39,37,,S,SA+3,24,36-37,210,0.22,FALSE,346.287994,,9.844888889,77.49977778,GOOD,Available,,Near High way,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.49977777777778 9.844888888888889, 77.49863888888889 9.84363888888889)"
40,38,,T,SB+3,24,37-38,187,0.23,FALSE,340.62854,"8°11'24""R",9.843638889,77.49863889,GOOD,Available,4-33KV,Near High way,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.49863888888889 9.84363888888889, 77.49725 9.841611111111112)"
41,39,,S,SA+3,24,38-39,271.5142201,1.03,FALSE,339.380737,,9.841611111,77.49725,GOOD,Available,LT,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.49725 9.841611111111112, 77.49605555555556 9.839694444444445)"
42,40,,T,SC,22,39-40,250,4.92,FALSE,340.680573,"51°25'48""R",9.839694444,77.49605556,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.49605555555556 9.839694444444445, 77.49688888888889 9.837416666666668)"
43,41,,T,SC+3,24,40-41,270,0.4,FALSE,336.227997,"43°0'0""R",9.837416667,77.49688889,GOOD,Available,LT,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.49688888888889 9.837416666666668, 77.49858333333333 9.836555555555556)"
44,42,,S,SA+3,24,41-42,207.2371931,0.25,FALSE,340.241272,,9.836555556,77.49858333,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.49858333333333 9.836555555555556, 77.49991666666666 9.835805555555556)"
