S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length (m),Footing Resistance of Tower ( Ohms),,Ground Elevation (m),Deviation Angle (Degrees),Latitude,Longitude,"Condition of  Tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/  Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,1 LILO ERIYODU  (110/1),3W,T,DC+0,22,,,1.62,FALSE,288.2789307,,10.46471382,78.08670924,Good,Good,,,PLAIN,LILO SEMPATTI TO TRICHY UPTO AYYALUR  LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0867092404514 10.4647138249129, 78.085489924997 10.4670685529708)"
2,2,,S,DA+0,24,1 LILO ERIYODU-2,297.8244059,9.41,FALSE,285.3950195,,10.46706855,78.08548992,Good,Good,"22KV,2-LT",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.085489924997 10.4670685529708, 78.0843199789524 10.4692113865166)"
3,3,,S,DA+0,24,02-Mar,274.4420873,2.45,FALSE,286.1159668,,10.46921139,78.08431998,Good,Good,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0843199789524 10.4692113865166, 78.0830967240035 10.4717163182795)"
4,4,,S,DA+0,24,03-Apr,312.9862389,1.14,FALSE,284.4337158,,10.47171632,78.08309672,Good,Good,2-LT,THAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0830967240035 10.4717163182795, 78.0818971898406 10.4740914981812)"
5,5,,T,DB+0,22,04-May,298.8829991,1.18,FALSE,283.7125244,24°5'42''RT,10.4740915,78.08189719,Good,Good,2-LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0818971898406 10.4740914981812, 78.0803698394447 10.4753308463841)"
6,6,,S,DA+0,24,05-Jun,220.5213925,4.04,FALSE,281.5496826,,10.47533085,78.08036984,Good,Good,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0803698394447 10.4753308463841, 78.0788345262408 10.4765403550118)"
7,7,,S,DA+0,24,06-Jul,219.1031438,1.53,FALSE,277.9447021,,10.47654036,78.07883453,Good,Good,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0788345262408 10.4765403550118, 78.0773385241627 10.4777391348034)"
8,8,,T,DC+0,22,07-Aug,215.0094953,1.18,FALSE,286.3563232,10°44'28''RT,10.47773913,78.07733852,Good,Good,LT,THAR ROAD,HILLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0773385241627 10.4777391348034, 78.0750511027872 10.4789557680487)"
9,9,,S,DA+0,24,08-Sep,288.3512673,2.2,FALSE,285.6352539,,10.47895577,78.0750511,Good,Good,"22KV,2-LT",THAR ROAD,HILLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0750511027872 10.4789557680487, 78.0731029808521 10.4799791146069)"
10,10,,S,DA+0,24,09-Oct,245.4970294,0.15,FALSE,284.9143066,,10.47997911,78.07310298,Good,Good,LT,THAR ROAD,HILLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0731029808521 10.4799791146069, 78.0708743166178 10.4811560176312)"
