SL.NO,TOWER NO,Joint Box,Tower Suspension/ Tension,DIVATION OF  ANGLE ('),TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER LENGTH (Mtrs),SPAN LENGTH (Mtrs),EARTH FOOTING RESISTENCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING OBJECTS,,CONDITION OF AREA ( Plain/Hills/Forest/Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
GANTRY ,EPPOTHUMVENRAN ,2W,,,,,,,40.87,37,9.013968,78.047838,,,,,EPPOTHUMVENRAN  gantry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.047838 9.013968, 78.0471931770443 9.01421157538336)"
1,1,,T,"09°66'07""RT",PB,20.85,Gantry (Eppothumvenran)- T1,42.20099573,45.09,37,9.014211575,78.04719318,AVAILABLE,33KV LINE -2NOS,CANAL,PLAIN LAND,"Sc line, Plain land, canal , 33kv line-2nos",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0471931770443 9.01421157538336, 78.0454182252287 9.015769894752)"
2,2,,T,"53°84'25""LT",PC,21.65,T1-T2,260.607925,47.87,36,9.015769895,78.04541823,AVAILABLE,LT LINE,NALA,PLAIN LAND,"Sc line, Plain land, nala ,LT line",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0454182252287 9.015769894752, 78.0456599593162 9.01836498158923)"
3,3,,S,,PA,20.9,T2-T3,288.5097236,41.78,36,9.018364982,78.04565996,AVAILABLE,,NALA,PLAIN LAND,"Sc line, Plain land, nala",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0456599593162 9.01836498158923, 78.0459057167172 9.02074746481893)"
4,4,,S,,PA+3,23.9,T3-T4,265.1285544,40.55,34,9.020747465,78.04590572,AVAILABLE,LT LINE,THAR ROAD,PLAIN LAND,"Sc line, Plain land,  thar road, LT line",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0459057167172 9.02074746481893, 78.0462067946791 9.02344483407583)"
5,5,,S,,PA,20.9,T4-T5,300.4355788,39.87,33,9.023444834,78.04620679,AVAILABLE,,,PLAIN LAND,"Sc line, Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0462067946791 9.02344483407583, 78.0463368818163 9.02617496447667)"
6,6,,S,,PA,20.9,T5-T6,302.5696542,38.98,32,9.026174964,78.04633688,AVAILABLE,33KV LINE,CANAL,PLAIN LAND,"Sc line, Plain land, 33kv  line,canal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0463368818163 9.02617496447667, 78.0466248840093 9.02856004511157)"
7,7,,T,"36°09'48""LT",PC+3,24.65,T6-T7,265.9277474,40.98,32,9.028560045,78.04662488,AVAILABLE,33KV LINE,ROAD,PLAIN LAND,"Sc line, Plain land, road, 33kv line",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0466248840093 9.02856004511157, 78.0478151142597 9.02983155187299)"
8,8,,S,,PA,20.9,T7-T8,192.2740237,47.56,31,9.029831552,78.04781511,AVAILABLE,LT LINE,,PLAIN LAND,"Sc line, Plain land,  LT line",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0478151142597 9.02983155187299, 78.049779497087 9.03173416793797)"
9,9,,S,,PA,20.9,T8-T9,301.8186601,39.98,31,9.031734168,78.0497795,AVAILABLE,11KV LINE,,PLAIN LAND,"Sc line, Plain land, 11kv line",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.049779497087 9.03173416793797, 78.0516932532191 9.03364074737006)"
10,10,,T,"07°94'86""LT",PB+3,23.85,T9-T10,298.1617194,44.68,33,9.033640747,78.05169325,AVAILABLE,"230KV LINE, LT LINE",ROAD,PLAIN LAND,"Sc line, Plain land, road, 230 line our line is DP tower, LT line",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0516932532191 9.03364074737006, 78.0523416772484 9.0341284830725)"
11,11,,DP,"06°15'22""LT",DP,8,T11-T12,89.48185893,41.78,31,9.034128483,78.05234168,AVAILABLE,,,PLAIN LAND,"Sc line, Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0523416772484 9.0341284830725, 78.0526015162468 9.03428344580516)"
12,12,,DP,"04°51'08""RT",DP,8,T10-T11,33.34540078,37.98,31,9.034283446,78.05260152,AVAILABLE,,,PLAIN LAND,"Sc line, Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0526015162468 9.03428344580516, 78.053299896419 9.03477813408271)"
13,13,2W,T,"03°00'62""LT",PB,20.85,T12-T13,94.36978661,42.32,32,9.034778134,78.0532999,AVAILABLE,,,PLAIN LAND,"Sc line, Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.053299896419 9.03477813408271, 78.0555851384997 9.03622345437629)"
14,14,,S,,PA,20.9,T13-T14,298.0643023,34.98,35,9.036223454,78.05558514,AVAILABLE,,NALA,PLAIN LAND,"Sc line, Plain land, nala",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0555851384997 9.03622345437629, 78.0578915029764 9.0376618154825)"
15,15,,S,,PA,20.9,T14-T15,299.6167196,38.1,35,9.037661815,78.0578915,AVAILABLE,400KV LINE,,PLAIN LAND,"Sc line, Plain land, 400kv line",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0578915029764 9.0376618154825, 78.0601804330945 9.03904653062414)"
16,16,,S,,PA,20.9,T15-T16,294.8614242,40.98,34,9.039046531,78.06018043,AVAILABLE,,,PLAIN LAND,"Sc line, Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0601804330945 9.03904653062414, 78.0626041442155 9.04055408268664)"
17,17,,T,"08°20'76""LT",PB,20.85,T16-T17,314.6233424,44.56,34,9.040554083,78.06260414,AVAILABLE,,NALA,PLAIN LAND,"Sc line, Plain land , nala",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0626041442155 9.04055408268664, 78.0641933530569 9.04125173313032)"
18,18,,S,,PA,20.9,T17-T18,191.1760135,39.98,35,9.041251733,78.06419335,AVAILABLE,,,PLAIN LAND,"Sc line, Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0641933530569 9.04125173313032, 78.0664433911442 9.04219672118187)"
19,19,,S,,PA+3,23.9,T18-T19,268.7929847,44.09,35,9.042196721,78.06644339,AVAILABLE,,"NALA, THAR ROAD",PLAIN LAND," Sc line, nala, thar road, Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0664433911442 9.04219672118187, 78.0686615779995 9.04320660405939)"
20,20,,S,,PA,20.9,T19-T20,268.4774866,39.98,37,9.043206604,78.06866158,AVAILABLE,,CART TRACK,AGRI LAND,"Sc line, cart track,agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0686615779995 9.04320660405939, 78.0708837881684 9.04414496482351)"
21,21,,T,"24°97'62""RT",PB,20.85,T20-T21,265.6846351,43.78,37,9.044144965,78.07088379,AVAILABLE,,,AGRI LAND,"Sc line,agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0708837881684 9.04414496482351, 78.0725491046905 9.04598293959875)"
22,22,,S,,PA,20.9,T21-T22,273.8226101,42.98,38,9.04598294,78.0725491,AVAILABLE,,,PLAIN LAND,"Sc line, fencing, Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0725491046905 9.04598293959875, 78.0742570012807 9.04781461400298)"
23,23,,S,,PA,20.9,T22-T23,276.4679174,38.98,37,9.047814614,78.074257,AVAILABLE,,,AGRI LAND,"Sc line, fencing, Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0742570012807 9.04781461400298, 78.0759695917368 9.04967111178817)"
24,24,,S,,PA,20.9,T23-T24,278.8367943,40.87,38,9.049671112,78.07596959,AVAILABLE,11KV LINE,,AGRI LAND,"Sc line,11kv line,agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0759695917368 9.04967111178817, 78.0776151269674 9.05146800180413)"
25,25,,S,,PA,20.9,T24-T25,268.9873407,43.09,39,9.051468002,78.07761513,NOT AVAILABLE,220KV LINE,,PLAIN LAND,"Sc line,220kv line,T.No.24  To T.No.25  earth wire is not available, Nala,agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0776151269674 9.05146800180413, 78.0794008076191 9.05340857996204)"
26,26,,T,"16°86'90""LT",PB,20.85,T25-T26,291.1308334,47.87,41,9.05340858,78.07940081,AVAILABLE,,NALA,PLAIN LAND,"Sc line, NALA,agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0794008076191 9.05340857996204, 78.0800351500511 9.05386152350156)"
27,27,,DP,"00°00'00""",DP,8,T26-T27,85.94357968,44.78,42,9.053861524,78.08003515,AVAILABLE,,,AGRI LAND,"Sc line,agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0800351500511 9.05386152350156, 78.0801917240023 9.05397343490222)"
28,28,,DP,"03°45'41""RT",DP,8,T27-T28,21.22079367,40.55,41,9.053973435,78.08019172,AVAILABLE,220KV LINE,,AGRI LAND,"Sc line,220kv line,agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0801917240023 9.05397343490222, 78.0809749290347 9.05460815067834)"
29,29,2W,T,"07°62'31""RT",PB,20.85,T28-T29,111.1937708,39.87,41,9.054608151,78.08097493,AVAILABLE,,,AGRI LAND,"Sc line, agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0809749290347 9.05460815067834, 78.0828571692109 9.0566016873079)"
30,30,,S,,PA,20.9,T29-T30,302.6515593,38.98,44,9.056601687,78.08285717,AVAILABLE,,ROAD,AGRI LAND,"Sc line,road,agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0828571692109 9.0566016873079, 78.0847870185971 9.05859421959779)"
31,31,,T,"04°01'47""LT",PB+3,23.85,T30-T31,306.1779431,39.76,44,9.05859422,78.08478702,AVAILABLE,,,AGRI LAND,"Sc line,agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0847870185971 9.05859421959779, 78.0851685628295 9.05893657115899)"
32,32 & 33,,DP,"12°39'33""RT",DP,8,T31-T32,56.55845999,44.56,43,9.058936571,78.08516856,AVAILABLE,,,AGRI LAND,"Sc line,agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0851685628295 9.05893657115899, 78.0856476724147 9.05960339424997)"
34,34,,T,"06°37'49""RT",PB,20.85,T33-T34,90.70939853,39.98,42,9.059603394,78.08564767,AVAILABLE,"220KV LINE, 11KV LINE","CART TRACK, NALA",AGRI LAND,"Sc line,220kv line,cart track,Nala,11kv line,agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0856476724147 9.05960339424997, 78.0867835879325 9.06162703251881)"
35,35,,S,,PA,20.9,T34-T35,256.5229298,43.25,44,9.061627033,78.08678359,AVAILABLE,LT LINE,,AGRI LAND,"Sc line,lt line,agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0867835879325 9.06162703251881, 78.0878893285989 9.06359338083983)"
36,36,,S,,PA,20.9,T35-T36,249.3675015,34.98,44,9.063593381,78.08788933,AVAILABLE,,,AGRI LAND,"Sc line,agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0878893285989 9.06359338083983, 78.0891425907611 9.06564182823299)"
37,37,,S,,PA,20.9,T36-T37,265.3988892,41.78,45,9.065641828,78.08914259,AVAILABLE,,"NALA, CART TRACK",AGRI LAND,"Sc line,Nala,cart track ,agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0891425907611 9.06564182823299, 78.0902382731437 9.0678226983668)"
38,38,,S,,PA,20.9,T37-T38,269.8469237,39.28,46,9.067822698,78.09023827,AVAILABLE,,,AGRI LAND,"Sc line,agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0902382731437 9.0678226983668, 78.0914217978715 9.06992608158959)"
39,39,,S,,PA+3,23.9,T38-T39,266.7829007,33.98,46,9.069926082,78.0914218,AVAILABLE,LT LINE,ROAD,AGRI LAND,"Sc line,road,lt line,agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0914217978715 9.06992608158959, 78.0925845354795 9.07200693890071)"
40,40,,S,,PA,20.9,T39-T40,263.4901152,42.98,47,9.072006939,78.09258454,AVAILABLE,,,,"Sc line ,agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0925845354795 9.07200693890071, 78.0937080457806 9.07413314213292)"
41,41,,T,"13°79'83""RT",PB,20.85,T40-T41,265.8549613,44.56,48,9.074133142,78.09370805,AVAILABLE,,,,"Sc line ,agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0937080457806 9.07413314213292, 78.0943373590707 9.07665861287486)"
42,42,,S,,PA,20.9,T41-T42,288.0110942,40.98,47,9.076658613,78.09433736,AVAILABLE,,,,"Sc line ,agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0943373590707 9.07665861287486, 78.0949844419956 9.07918539013539)"
43,43,,S,,PA+3,23.9,T42-T43,288.6262975,44.09,46,9.07918539,78.09498444,AVAILABLE,,ROAD,AGRI LAND,"Sc line,lt land,road,agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0949844419956 9.07918539013539, 78.0955926328897 9.08174658119858)"
44,44,,S,,PA,20.9,T43-T44,291.3071496,39.98,45,9.081746581,78.09559263,AVAILABLE,,,AGRI LAND,"Sc line,agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0955926328897 9.08174658119858, 78.0961911007762 9.08424220193935)"
45,45,2W,T,"02°84'20""RT",PB,20.85,T44-T45,283.9976211,41.78,44,9.084242202,78.0961911,AVAILABLE,,,AGRI LAND,"Sc line,agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0961911007762 9.08424220193935, 78.0966380238533 9.08662391770329)"
46,46,,S,,PA,20.9,T45-T46,268.1956918,42.98,41,9.086623918,78.09663802,NOT AVAILABLE,,,AGRI LAND,"Sc line,T.No.44  To T.No.45  earth wire is not available,agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0966380238533 9.08662391770329, 78.0971151217818 9.08911222101269)"
47,47,,S,,PA,20.9,T46-T47,280.4056375,40.98,41,9.089112221,78.09711512,NOT AVAILABLE,,,AGRI LAND,"Sc line,T.No.46  To T.No.47  earth wire is not available,agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0971151217818 9.08911222101269, 78.0975972488522 9.09159885171387)"
48,48,,S,,PA,20.9,T47-T48,280.3273644,42.98,40,9.091598852,78.09759725,NOT AVAILABLE,,,AGRI LAND,"Sc line,T.No.47  To T.No.48  earth wire is not available,agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0975972488522 9.09159885171387, 78.098061941564 9.09407255373703)"
49,49,,T,"57°98'14""LT",PC,21.65,T48-T49,278.5646026,44.56,38,9.094072554,78.09806194,NOT AVAILABLE,,,AGRI LAND,"Sc line,T.No.48  To T.No.49  earth wire is not available,agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.098061941564 9.09407255373703, 78.0999582633376 9.09481280706862)"
50,50,,S,,PA+3,23.9,T49-T50,224.155252,39.98,39,9.094812807,78.09995826,NOT AVAILABLE,,ROAD,AGRI LAND,"Sc line,road,T.No.49  To T.No.50  earth wire is not available,agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0999582633376 9.09481280706862, 78.1021700799465 9.09560669064858)"
51,51,,S,,PA,20.9,T50-T51,258.7329342,42.98,38,9.095606691,78.10217008,NOT AVAILABLE,66KV LINE,,AGRI LAND,"Sc line, 66kv line,T.No.50  To T.No.51  earth wire is not available,agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1021700799465 9.09560669064858, 78.1044016778469 9.09652505085818)"
