S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  Tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/  Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,Theni GANTRY,T,BAY,12,,,NIL,"=IF(H6>15,0)",209,,10.003605555555556,77.467125,NO E/W,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.467125 10.003605555555556, 77.46731666666666 10.00355)"
2,1A,T,DD+0,24,GANTRY-T1A,26,4.56,"=IF(H7>15,0)",210.404411764706,"90°00'00""RT",10.00355,77.46731666666666,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.46731666666666 10.00355, 77.46738888888889 10.004027777777777)"
3,1,T,DB+3,25,T1A-T1,57,6.66,"=IF(H8>15,0)",210.81862745098,"2°19'55"" LT",10.004027777777777,77.46738888888889,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.46738888888889 10.004027777777777, 77.46769444444445 10.006916666666667)"
4,2,S,DA+3,27,T1-T2,324,2.31,"=IF(H9>15,0)",211.232843137255,,10.006916666666667,77.46769444444445,Good,Good,"LT,11KV","Road,RIVER",Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.46769444444445 10.006916666666667, 77.468 10.009722222222223)"
5,3,S,DA+3,27,T2-T3,317,0.89,"=IF(H10>15,0)",211.647058823529,,10.009722222222223,77.468,Good,Good,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.468 10.009722222222223, 77.46830555555556 10.012611111111111)"
6,4,S,DA+3,27,T3-T4,326,1.21,"=IF(H11>15,0)",212.061274509804,,10.012611111111111,77.46830555555556,Good,Good,,Old Railway Crossing,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.46830555555556 10.012611111111111, 77.46858333333334 10.014527777777777)"
7,5,S,DA+0,24,T4-T5,219,3.34,"=IF(H12>15,0)",212.475490196078,,10.014527777777777,77.46858333333334,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.46858333333334 10.014527777777777, 77.46888888888888 10.01713888888889)"
8,6,S,DA+0,24,T5-T6,293,2.89,"=IF(H13>15,0)",212.889705882353,,10.01713888888889,77.46888888888888,Good,Good,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.46888888888888 10.01713888888889, 77.46922222222223 10.019611111111113)"
9,7,S,DA+0,24,T6-T7,281,3.65,"=IF(H14>15,0)",213.303921568627,,10.019611111111113,77.46922222222223,Good,Good,,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.46922222222223 10.019611111111113, 77.46955555555556 10.022083333333335)"
10,8,T,DC+0,22,T7-T8,281,4.56,"=IF(H15>15,0)",213.718137254902,"27°05'21"" RT",10.022083333333335,77.46955555555556,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.46955555555556 10.022083333333335, 77.47094444444444 10.024083333333333)"
11,9,S,DA+0,24,T8-T9,272,5.66,"=IF(H16>15,0)",214.132352941177,,10.024083333333333,77.47094444444444,Good,Good,LT 2Nos,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.47094444444444 10.024083333333333, 77.47236111111111 10.026055555555557)"
12,10,S,DA+0,24,T9-T10,271,8.22,"=IF(H17>15,0)",214.546568627451,,10.026055555555557,77.47236111111111,Good,Good,,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.47236111111111 10.026055555555557, 77.47372222222222 10.028027777777778)"
13,11,S,DA+0,24,T10-T11,270,9.2,"=IF(H18>15,0)",214.960784313726,,10.028027777777778,77.47372222222222,Good,Good,,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.47372222222222 10.028027777777778, 77.47513888888889 10.030027777777779)"
14,12,S,DA+0,24,T11-T12,273,4.3,"=IF(H19>15,0)",215.375,,10.030027777777779,77.47513888888889,Good,Good,"LT,11KV",Pond,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.47513888888889 10.030027777777779, 77.47658333333334 10.032111111111112)"
15,13,S,DA+0,24,T12-T13,282,5.6,"=IF(H20>15,0)",215.789215686275,,10.032111111111112,77.47658333333334,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.47658333333334 10.032111111111112, 77.47811111111112 10.034305555555555)"
16,14,S,DA+0,24,T13-T14,301,1.2,"=IF(H21>15,0)",216.203431372549,,10.034305555555555,77.47811111111112,Good,Good,,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.47811111111112 10.034305555555555, 77.47980555555556 10.03663888888889)"
17,15,S,DA+0,24,T14-T15,323,0.23,"=IF(H22>15,0)",216.617647058824,,10.03663888888889,77.47980555555556,Good,Good,"LT,11KV",,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.47980555555556 10.03663888888889, 77.48144444444445 10.038972222222222)"
18,16,T,DD+0,24,T15-T16,318,0.56,"=IF(H23>15,0)",217.031862745098,"38°19'19"" RT",10.038972222222222,77.48144444444445,Good,Good,,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.48144444444445 10.038972222222222, 77.48405555555556 10.039777777777777)"
19,17,S,DA+0,24,T16-T17,304,2.9,"=IF(H24>15,0)",217.446078431373,,10.039777777777777,77.48405555555556,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.48405555555556 10.039777777777777, 77.48672222222223 10.040555555555555)"
20,18,S,DA+0,24,T17-T18,309,3.6,"=IF(H25>15,0)",217.860294117647,,10.040555555555555,77.48672222222223,Good,Good,"LT,11KV",,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.48672222222223 10.040555555555555, 77.48925 10.041333333333332)"
21,19,S,DA+0,24,T18-T19,293,3.3,"=IF(H26>15,0)",218.274509803922,,10.041333333333332,77.48925,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.48925 10.041333333333332, 77.4918888888889 10.042166666666667)"
22,20,S,DA+0,24,T19-T20,308,6.6,"=IF(H27>15,0)",218.688725490196,,10.042166666666667,77.4918888888889,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4918888888889 10.042166666666667, 77.49419444444445 10.042833333333332)"
23,21,S,DA+3,27,T20-T21,266,6.9,"=IF(H28>15,0)",219.102941176471,,10.042833333333332,77.49419444444445,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.49419444444445 10.042833333333332, 77.49666666666667 10.043611111111112)"
24,22,S,DA+3,27,T21-T22,290,4.5,"=IF(H29>15,0)",219.517156862745,,10.043611111111112,77.49666666666667,Good,Good,"Lt,33Kv","Compundwall,SH Road",Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.49666666666667 10.043611111111112, 77.49841666666667 10.044138888888888)"
25,23,S,DA+0,24,T22-T23,205,3.32,"=IF(H30>15,0)",219.93137254902,,10.044138888888888,77.49841666666667,Good,Good,"22KV,Lt",,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.49841666666667 10.044138888888888, 77.50111111111111 10.044972222222222)"
26,24,S,DA+0,24,T23-T24,312,4.07,"=IF(H31>15,0)",220.345588235294,,10.044972222222222,77.50111111111111,Good,Good,Lt,Annanji,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.50111111111111 10.044972222222222, 77.50375 10.04575)"
27,25,S,DA+0,24,T24-T25,308,4.06,"=IF(H32>15,0)",220.759803921569,,10.04575,77.50375,Good,Good,33Kv,"Road,Fnc",Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.50375 10.04575, 77.50641666666667 10.046555555555555)"
