SL.NO,TOWER NO,Join Box,TOWER S / T,DEVIATION OF  ANGLE,TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER ,SPAN LENGTH (Mtrs),EARTH FOOTING RESISTANCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING DETAILS,,CONDITION OF AREA   Plain/Hills/Forest/Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,Gantry (Sitaperumanallur ss),2W,T,,,,,,,88,8.805571663,77.58188993,,,,,SITAPERUMANALLUR SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.58188992959664 8.805571662596023, 77.58186176572897 8.805356637650068)"
2,1,,T,"18°36'40""RT",KC,24,Gantry (Sitaperumanallur) -T1,40,2.78,87,8.805356638,77.58186177,NOT AVAILABLE,,,AGRI LAND,"DC LINE ,SITAPERUMANALLUR GANTRY -T1  EARTHWIRE IS NOT AVAILABLE,SS INSIDE, AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.58186176572897 8.805356637650068, 77.58114327215655 8.803893521004634)"
3,2,,T,"05°17'25""LT",HC+3,21.94,T1-T2,210,2.45,88,8.803893521,77.58114327,AVAILABLE,,,AGRI LAND,"DC LINE,FENCING,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.58114327215655 8.803893521004634, 77.58036844077573 8.801858533744571)"
4,3,,T,"06°51'08""LT",HC,21.94,T2-T3,237,2.84,87,8.801858534,77.58036844,AVAILABLE,,,AGRI LAND,"DC LINE,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.58036844077573 8.801858533744571, 77.5799134715976 8.800028618170861)"
5,4,,T,"05°30'20""LT",KC+3,21.94,T3-T4,236,2.92,87,8.800028618,77.57991347,AVAILABLE,,,AGRI LAND,"DC LINE,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5799134715976 8.800028618170861, 77.57957317337518 8.797808389837282)"
6,5,,S,,GCR,23.62,T4-T5,238,1.58,88,8.79780839,77.57957317, AVAILABLE,,,AGRI LAND,"DC LINE ,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.57957317337518 8.797808389837282, 77.57928014219866 8.795736908060833)"
7,6,,S,,GCR,23.62,T5-T6,230,1.97,87,8.795736908,77.57928014,AVAILABLE,,,AGRI LAND,"DC LINE,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.57928014219866 8.795736908060833, 77.57898007040966 8.793730029270487)"
8,7,,T,"06°48'10""RT",KC+6,21.94,T6-T7,210,2.57,86,8.793730029,77.57898007,AVAILABLE,,,AGRI LAND,"DC LINE,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.57898007040966 8.793730029270487, 77.57849324410722 8.791868598752748)"
9,8(Lilo O.T Patti-Kayathar-Sitaperummanallur),3W,T,,KC+9,24,T7-T8,190,2.65,91,8.791868599,77.57849324,AVAILABLE,110KV SC LINE,,AGRI LAND,"LILO,,DC LINE,110 KV  SINGLE LINE CROSSING TOP IN OUR LINE,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0,KM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
