S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,LILO : 196,T,SC,26,,,2.05,"=IF(H6>15,0)",333.01947,,10.519748982042,77.6638940256088,GOOD,,,,PLAIN,Renganathapuram - Udumalpet Line,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6638940256088 10.519748982042, 77.6636230386793 10.5195380095392)"
2,150,T,DC,26,"=B6&"" - ""&B7",42.76616228464979,4.1,"=IF(H7>15,0)",333.768981999999,34°27'39''RT,10.5195380095392,77.6636230386793,GOOD,NO E/W,,,PLAIN,Sempatti - Udumalpet Line,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6636230386793 10.5195380095392, 77.6620739791542 10.5194380134344)"
3,149,S,DC,26,"=B7&"" - ""&B8",175.03223754513203,1.73,"=IF(H8>15,0)",334.170227,,10.5194380134344,77.6620739791542,GOOD,Available,HT,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6620739791542 10.5194380134344, 77.6599840354174 10.5193100217729)"
4,148,S,DC,26,"=B8&"" - ""&B9",234.35346624347127,2.18,"=IF(H9>15,0)",333.907042999999,,10.5193100217729,77.6599840354174,GOOD,Available,LT - 2NO,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6599840354174 10.5193100217729, 77.6582059822976 10.5191680323332)"
5,147,S,DC,26,"=B9&"" - ""&B10",200.38641942923218,0.79,"=IF(H10>15,0)",334.329162999999,,10.5191680323332,77.6582059822976,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6582059822976 10.5191680323332, 77.6562499813735 10.5190699640661)"
6,146,T,DC,26,"=B10&"" - ""&B11",219.51884626635626,1.45,"=IF(H11>15,0)",333.609160999999,19°32'11''RT,10.5190699640661,77.6562499813735,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6562499813735 10.5190699640661, 77.6544000115245 10.5196169670671)"
7,145,S,DC,26,"=B11&"" - ""&B12",216.48144597382228,3.02,"=IF(H12>15,0)",331.045502,,10.5196169670671,77.6544000115245,GOOD,Available,,Village Road,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6544000115245 10.5196169670671, 77.6523839961737 10.5201829969882)"
8,144,T,DC,26,"=B12&"" - ""&B13",234.53174119928082,4.19,"=IF(H13>15,0)",331.434508999999,29°50'23''LT,10.5201829969882,77.6523839961737,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6523839961737 10.5201829969882, 77.6503209583461 10.5196739640086)"
9,143,S,DC,26,"=B13&"" - ""&B14",237.88429487042526,5.28,"=IF(H14>15,0)",328.206664999999,,10.5196739640086,77.6503209583461,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6503209583461 10.5196739640086, 77.6479689963161 10.5191009771078)"
10,142,S,DC,26,"=B14&"" - ""&B15",270.3039944395047,1.4,"=IF(H15>15,0)",327.445038,,10.5191009771078,77.6479689963161,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6479689963161 10.5191009771078, 77.6457389909774 10.5185439996421)"
11,141,S,DC,26,"=B15&"" - ""&B16",256.9139429097971,2.93,"=IF(H16>15,0)",324.842132999999,,10.5185439996421,77.6457389909774,GOOD,Available,LT,Canal,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6457389909774 10.5185439996421, 77.6437020208686 10.5180089827626)"
12,140,T,DC,26,"=B16&"" - ""&B17",235.83585999258406,6.03,"=IF(H17>15,0)",325.909270999999,3°4'42''RT,10.5180089827626,77.6437020208686,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6437020208686 10.5180089827626, 77.641609981656 10.5175769794732)"
13,139,T,DC,26,"=B17&"" - ""&B18",239.07846820651716,2.55,"=IF(H18>15,0)",324.110565,12°28'10''RT,10.5175769794732,77.641609981656,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.641609981656 10.5175769794732, 77.6405930053442 10.5175889655947)"
14,138,T,DC,26,"=B18&"" - ""&B19",116.39815924153615,0.89,"=IF(H19>15,0)",325.425201,50°46'14''LT,10.5175889655947,77.6405930053442,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6405930053442 10.5175889655947, 77.6395060401409 10.5163030140101)"
15,LILO : 138/1,T,DC,26,"=B19&"" - ""&B20",190.55990518818587,4.11,"=IF(H20>15,0)",327.393737999999,12°36'38''LT,10.5163030140101,77.6395060401409,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6395060401409 10.5163030140101, 77.6382639259099 10.513921547681)"
16,138/2,S,DC,26,"=B20&"" - ""&B21",301.6244915721849,4.11,"=IF(H21>15,0)",327.932861328125,0°20'10''LT,10.513921547681,77.6382639259099,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6382639259099 10.513921547681, 77.6371547486633 10.5117639619857)"
17,138/3,T,DC,26,"=B21&"" - ""&B22",272.9315336528635,3.21,"=IF(H22>15,0)",322.405395507812,14°50'7''LT,10.5117639619857,77.6371547486633,GOOD,Available,,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6371547486633 10.5117639619857, 77.6370578538626 10.5113177932798)"
18,DP1,T,SC,12,"=B22&"" - ""&B23",55.51001810462479,Nil,"=IF(H23>15,0)",326.9716796875,0°17'9''LT,10.5113177932798,77.6370578538626,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6370578538626 10.5113177932798, 77.637000856921 10.5110488180071)"
19,DP2,T,SC,12,"=B23&"" - ""&B24",35.41801766872946,Nil,"=IF(H24>15,0)",327.452270507812,7°35'13''LT,10.5110488180071,77.637000856921,GOOD,Available,220KV,,PLAIN,UP CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.637000856921 10.5110488180071, 77.636969089508 10.5106264539062)"
20,138/4,T,DC,26,"=B24&"" - ""&B25",51.877011989206515,3.33,"=IF(H25>15,0)",327.932861328125,45°50'10''RT,10.5106264539062,77.636969089508,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.636969089508 10.5106264539062, 77.6351756975054 10.5091421026736)"
21,138/5,S,DC,26,"=B25&"" - ""&B26",261.0820816582476,3.16,"=IF(H26>15,0)",321.684448242187,,10.5091421026736,77.6351756975054,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6351756975054 10.5091421026736, 77.6337238680571 10.5079299118369)"
22,138/6,T,DC,26,"=B26&"" - ""&B27",213.0605166970778,2.36,"=IF(H27>15,0)",315.91650390625,37°42'11''LT,10.5079299118369,77.6337238680571,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6337238680571 10.5079299118369, 77.6332924515008 10.5059456638991)"
23,138/7,S,DC,26,"=B27&"" - ""&B28",229.64429295000465,1.78,"=IF(H28>15,0)",315.195556640625,,10.5059456638991,77.6332924515008,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6332924515008 10.5059456638991, 77.6327418442815 10.5034968070685)"
24,138/8,S,DC,26,"=B28&"" - ""&B29",282.66998594142075,1.95,"=IF(H29>15,0)",318.800537109375,,10.5034968070685,77.6327418442815,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6327418442815 10.5034968070685, 77.6322312187403 10.5011105630546)"
25,138/9,S,DC,26,"=B29&"" - ""&B30",274.96834102222806,3.89,"=IF(H30>15,0)",315.91650390625,,10.5011105630546,77.6322312187403,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6322312187403 10.5011105630546, 77.6317854691296 10.4991239681839)"
26,138/10,S,DC,26,"=B30&"" - ""&B31",230.2332374039797,5.63,"=IF(H31>15,0)",313.753540039062,,10.4991239681839,77.6317854691296,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6317854691296 10.4991239681839, 77.6314066909253 10.4973120521754)"
27,138/11,S,DC,26,"=B31&"" - ""&B32",209.79068769016635,4.27,"=IF(H32>15,0)",316.637573242187,,10.4973120521754,77.6314066909253,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6314066909253 10.4973120521754, 77.6309530623257 10.4952775966376)"
28,138/12,T,DC,26,"=B32&"" - ""&B33",235.59174295257708,3.18,"=IF(H33>15,0)",320.72314453125,12°18'46''RT,10.4952775966376,77.6309530623257,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6309530623257 10.4952775966376, 77.6300090923905 10.493251690641)"
