,Tower No,Type,Supspension/ Tenion,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts, broken, etc)","Condition of Earht wire (Missing, Broken etc)",GROUND EARTH AVAILABLE,Crossing Objects,,Condition of Area (Plain/Hilly/ Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,GANTRY 110KV KADAYAM ,GANTRY,GANTRY,20,,,,127,,8.84184398,77.38421492,GOOD,MISSING,NO,,,SUBSTATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.38421492 8.84184398, 77.38442751 8.84240296)"
2,T.NO-55,DD,T,28,GANTRY -55,66.12866246946176,15.07,129,"106°14'51.63""",8.84240296,77.38442751,GOOD,GOOD,NO,,,PLAINLAND,NO EARTH WIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.38442751 8.84240296, 77.38597385 8.84124533)"
3,T.NO-54,DB,T,24,55-54,213.00234740490538,17.33,129,"12°34'14.63""",8.84124533,77.38597385,GOOD,GOOD,NO,,,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.38597385 8.84124533, 77.3873963 8.84060363)"
4,T.NO-53,DD,T,37,54-53,171.89822570346675,2.58,125,"57°20'26.90""",8.84060363,77.3873963,GOOD,GOOD,YES,,,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3873963 8.84060363, 77.38803501 8.84101529)"
5,T.NO-52,DD,T,37,53-52,83.7615663654877,8.43,126,"58°4'5.27""",8.84101529,77.38803501,GOOD,GOOD,YES,11KV,NON ELACTRICAL RAILWAY CROSSING,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.38803501 8.84101529, 77.38990122 8.84014481)"
6,T.NO-51,DD,T,28,52-51,226.85017081765665,5.01,128,"50°34'17.71""",8.84014481,77.38990122,GOOD,GOOD,NO,,,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.38990122 8.84014481, 77.39044189 8.8380356)"
7,T.NO-50,DA,S,26,51-50,240.85265205099984,2.46,125,,8.8380356,77.39044189,GOOD,GOOD,NO,11KV,,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.39044189 8.8380356, 77.39103655 8.8358447)"
8,T.NO-49,DD,T,28,50-49,251.10356429170812,16.78,130,"58°14'9.50""",8.8358447,77.39103655,GOOD,GOOD,NO,11KV,,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.39103655 8.8358447, 77.39243317 8.8354291)"
9,T.NO-48,DA,S,26,49-48,160.4400199451496,17.45,127,,8.8354291,77.39243317,GOOD,GOOD,NO,11KV,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.39243317 8.8354291, 77.39385757 8.83509465)"
10,T.NO-47,DC,T,26,48-47,161.07451691686057,2.88,126,"18°12'2.52""",8.83509465,77.39385757,GOOD,GOOD,NO,LT,TAAR ROAD,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.39385757 8.83509465, 77.39586682 8.83387077)"
