SL.NO,TOWER NO,Joint Box,Tower Suspension/ Tension,DEVIATION OF ANGLE ('),TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER NO,SPAN LENGTH (Mtrs),EARTH FOOTING RESISTENCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,"CONDITION OF TOWER (Missing parts, broken etc)",CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING OBJECTS,,CONDITION OF AREA ( Plain/Hills/Forest/Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
GANTRY,Thengamputhur,2W,,,,,,,,,8.109441115,77.43394743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.43394743 8.109441115, 77.43380584 8.110185415)"
1,1,,T,"38°15'01""LT",KC+3,27,Gantry THENGAMPUDUR - T1,83.82405438,2.78,35,8.110185415,77.43380584,GOOD,AVAILABLE,"LTLINE,11KV LINE",ROAD,PLAIN LAND," Road ,11kv Line, LT Line,DC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.43380584 8.110185415, 77.43303302 8.110855251)"
2,2,,T,"53°03'50""RT",KC,24,T1-T2,112.9380941,1.43,39,8.110855251,77.43303302,GOOD,AVAILABLE,,,PLAIN LAND,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.43303302 8.110855251, 77.43318021 8.11291216)"
3,3,,T,"81°22'48""RT",KC,24,T2-T3,228.176719,2.76,44,8.11291216,77.43318021,GOOD,AVAILABLE,,,AGRI LAND," coconut gradan, mango gradan,DC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.43318021 8.11291216, 77.43483681 8.113043241)"
4,4,,T,"10°50'57""RT",HC+3,24.94,T3-T4,183.2434984,2.42,47,8.113043241,77.43483681,GOOD,AVAILABLE,"LT LINE,11KV LINE","ROAD, ODAI(NALA)",AGRI LAND," fencing ,mango gradan, lt line,11kv line, Road , house, odai(nala ). nellikai gradan ,DC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.43483681 8.113043241, 77.43721091 8.112781644)"
5,5,,T,"08°33'50""LT",HC,21.94,T4-T5,263.3788837,2.54,47,8.112781644,77.43721091,GOOD,AVAILABLE,,POND,AGRI LAND," banana gradan, pond,DC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.43721091 8.112781644, 77.43963864 8.112876859)"
6,6,,T,"25°35'42""RT",HC,21.94,T5-T6,267.9066075,2.63,52,8.112876859,77.43963864,GOOD,AVAILABLE,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.43963864 8.112876859, 77.44182464 8.111936824)"
7,7,,T,"23°43'16""LT",HC,21.94,T6-T7,262.5281112,2.7,42,8.111936824,77.44182464,GOOD,AVAILABLE,,,AGRI LAND," mango gradan,DC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.44182464 8.111936824, 77.44388022 8.111950393)"
8,8,,T,"45°12'28""LT",KC,24,T7-T8,226.6691702,2.26,45,8.111950393,77.44388022,GOOD,AVAILABLE,,,PLAIN LAND,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.44388022 8.111950393, 77.4451261 8.113217644)"
9,9,,T,"19°47'51""LT",HC+3,24.94,T8-T9,196.3075258,2.58,47,8.113217644,77.4451261,GOOD,AVAILABLE,LT LINE,ROAD,"AGRI LAND
"," kollapalam gradan,Lt Line,Road ,DC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4451261 8.113217644, 77.44578157 8.114626297)"
10,10,,S,,GC,23.62,T9-T10,171.8131698,1.4,48,8.114626297,77.44578157,GOOD,AVAILABLE,,,PLAIN LAND,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.44578157 8.114626297, 77.4466915 8.116622433)"
