S.NO,TOWER NO,TOWER S/T,DEVIATION OF  ANGLE,TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER ,SPAN LENGTH (Mtrs),EARTH FOOTING RESISTANCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING DETAILS,,CONDITION OF AREA (Plain/Hills/Forest/Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
=1+A21,186,S,,LA,24.2,T185 - T186,328.6738650425664,1.45,137,9.327586,77.544631,AVAILABLE,,,AGRI LAND,"dc line,Agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.544631 9.327586, 77.5442169606685 9.32500534598699)"
=1+A22,187,S,,LA,24.2,T186 - T187,289.1579558926227,3.78,136,9.32500534598699,77.5442169606685,AVAILABLE,,,AGRI LAND,"dc line,Agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5442169606685 9.32500534598699, 77.5437227636575 9.32246444341558)"
=1+A23,188,S,,LA+3,27.2,T187 - T188,286.39039235626586,3.67,136,9.32246444341558,77.5437227636575,AVAILABLE,"LT LINE, 11KV LINE",ROAD,AGRI LAND,"dc line,Road,Lt line,11kv line,Agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5437227636575 9.32246444341558, 77.5432540476322 9.3199026787767)"
=1+A24,189,S,,LA+3,27.2,T188 - T189,288.14430387747854,1.59,139,9.3199026787767,77.5432540476322,AVAILABLE,LT LINE,,AGRI LAND,"dc line, Lt line,Agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5432540476322 9.3199026787767, 77.5428537279367 9.31726876943358)"
=1+A25,190,S,,LA,24.2,T189 - T190,294.78695951138945,2.88,140,9.31726876943358,77.5428537279367,AVAILABLE,"LT LINE, 11KV LINE",,AGRI LAND,"dc line ,Lt line,11kv line,Agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5428537279367 9.31726876943358, 77.542365565896 9.31453492190636)"
=1+A26,191,T,"15°44'37""LT",MA,21.95,T190 - T191,307.26591145131295,3.96,144,9.31453492190636,77.542365565896,AVAILABLE,,,AGRI LAND,"dc line ,Agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.542365565896 9.31453492190636, 77.5426425039768 9.31163231536537)"
=1+A27,192,S,,LA,24.2,T191 - T192,322.6582728909599,2.98,145,9.31163231536537,77.5426425039768,AVAILABLE,,,AGRI LAND,"dc line ,Agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5426425039768 9.31163231536537, 77.5429167598486 9.30886633024013)"
=1+A28,193,S,,LA,24.2,T179 - T193,307.58151942538797,1.33,144,9.30886633024013,77.5429167598486,AVAILABLE,,,AGRI LAND,"dc line ,Agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5429167598486 9.30886633024013, 77.5431836396455 9.30637130024003)"
=1+A29,194,S,,LA,24.2,T193 - T194,277.66904222292277,4.21,143,9.30637130024003,77.5431836396455,AVAILABLE,,,AGRI LAND,"dc line ,Agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5431836396455 9.30637130024003, 77.5434589013457 9.30333264000285)"
=1+A30,195,S,,LA,24.2,T194 - T195,337.6346063854174,2.78,140,9.30333264000285,77.5434589013457,AVAILABLE,,,AGRI LAND,"dc line ,Agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5434589013457 9.30333264000285, 77.5437740609049 9.3005814783082)"
=1+A31,196,S,,LA,24.2,T195 - T196,306.42440194766544,2.11,135,9.3005814783082,77.5437740609049,AVAILABLE,,,AGRI LAND,"dc line ,Agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5437740609049 9.3005814783082, 77.5441029667854 9.29772838663073)"
=1+A32,197,S,,LA,24.2,T196 - T197,317.8041280616103,2.67,134,9.29772838663073,77.5441029667854,AVAILABLE,LT LINE,ROAD,AGRI LAND,"dc line, Road, Lt line,Agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5441029667854 9.29772838663073, 77.5443326309323 9.29495236532887)"
=1+A33,198,S,,LA,24.2,T197- T198,308.2467613536245,2.8,134,9.29495236532887,77.5443326309323,AVAILABLE,,,AGRI LAND,"dc line,Agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5443326309323 9.29495236532887, 77.544667571783 9.29191128979067)"
=1+A34,199,S,,LA,24.2,T198 - T199,338.55105915652916,1.09,134,9.29191128979067,77.544667571783,AVAILABLE,,,AGRI LAND,"dc line,Agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.544667571783 9.29191128979067, 77.5448268279433 9.29022348312509)"
=1+A35,200,T,"51°54'17.1""LT",MA,21.95,T199 - T200,187.60211037719563,2.55,134,9.29022348312509,77.5448268279433,AVAILABLE,LT LINE,"NALA, CART TRACK",AGRI LAND,"DC line, LT LINE,NALA, HOUSE,CART TRACK,AGRI LAND,GOOD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5448268279433 9.29022348312509, 77.5466467067599 9.28907831110122)"
=1+A36,201,T,"8°57'17.6"" LT",MA,21.95,T1200 - T201,236.82445049652762,3.12,131,9.28907831110122,77.5466467067599,AVAILABLE,LT LINE-3NOS,NH CROSSING,AGRI LAND,"DC LINE, LT Line-3NOS,NH CROSSING,AGRI LAND,GOOD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5466467067599 9.28907831110122, 77.5479884818196 9.28850158768504)"
