S.NO,TOWER NO,TOWER S/T,DEVIATION OF  ANGLE,TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER ,SPAN LENGTH (Mtrs),EARTH FOOTING RESISTANCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING DETAILS,,CONDITION OF AREA (Plain/Hills/Forest/Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
=1+A70,233,S,,LA,24.2,T232A - T233,170.90239464678902,4.14,127,9.21178893523783,77.5837919488549,AVAILABLE,LT LINE,,AGRI LAND,"DC line,LT line,Good,Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5837919488549 9.21178893523783, 77.584944628179 9.20922007502215)"
=1+A71,234,S,,LA,24.2,T233 - T234,311.26795418256137,3.76,127,9.20922007502215,77.584944628179,NOT AVAILABLE,230KV LINE,,AGRI LAND,"DC line,230kv under crossing, LT,T.233 to T.234 Earth wire Not Available,Good,Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.584944628179 9.20922007502215, 77.5859246402978 9.20690371623285)"
=1+A72,235,S,,LA,24.2,T234 - T235,278.078673472093,3.74,128,9.20690371623285,77.5859246402978,AVAILABLE,,,PLAIN LAND,"DC line,good,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5859246402978 9.20690371623285, 77.5871722027659 9.20411704931114)"
=1+A73,236,S,,LA,24.2,T235 - T236,337.5323997308148,1.13,131,9.20411704931114,77.5871722027659,AVAILABLE,"LT LINE, 11KV LINE","POND, BUND",AGRI LAND,"DC line,Pond,bund,11kv Line,LT Line,Good,Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5871722027659 9.20411704931114, 77.5883349403739 9.2014706882788)"
=1+A74,237,S,,LA,24.2,T236 - T237,319.5635156928036,1.77,132,9.2014706882788,77.5883349403739,AVAILABLE,,ROAD,AGRI LAND,"Dc Line,road,Good,Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5883349403739 9.2014706882788, 77.5894457101821 9.19893551144148)"
=1+A75,238,T,"00°00'00""",HC,22.94,T237 - T238,305.99966968775124,3.21,136,9.19893551144148,77.5894457101821,AVAILABLE,LT LINE,ROAD,AGRI LAND,"dc line , Lt line, Road,Agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5894457101821 9.19893551144148, 77.5906007364392 9.19633743278005)"
=1+A76,239,S,,LA,24.2,T238 - T239,314.331290158901,2.97,137,9.19633743278005,77.5906007364392,AVAILABLE,LT LINE - 2NOS,,AGRI LAND,"dc line, Lt line-2nos,Agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5906007364392 9.19633743278005, 77.5916689261794 9.19388463044098)"
=1+A77,240,S,,LA,24.2,T239 - T240,295.77519464119774,3.45,137,9.19388463044098,77.5916689261794,AVAILABLE,LT LINE,,AGRI LAND,"dc line, Lt line,Agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5916689261794 9.19388463044098, 77.5928457453847 9.19119946922256)"
=1+A78,241,S,,LA,24.2,T240 - T241,324.12013509963697,4.21,135,9.19119946922256,77.5928457453847,AVAILABLE,LT LINE-2NOS,,AGRI LAND,"dc line, Lt line-2nos,Agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5928457453847 9.19119946922256, 77.5939085707068 9.18878667910876)"
=1+A79,242,S,,LA,24.2,T241 - T242,291.4800537069594,2.46,136,9.18878667910876,77.5939085707068,AVAILABLE,,,AGRI LAND,"dc line,Agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5939085707068 9.18878667910876, 77.5949727371335 9.18631429688053)"
=1+A80,243,S,,LA,24.2,T242 - T243,297.59233810026376,1.05,136,9.18631429688053,77.5949727371335,AVAILABLE,LT LINE,,AGRI LAND,"dc line, Lt line,Agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5949727371335 9.18631429688053, 77.5960784777998 9.18374492073567)"
=1+A81,244,S,,LA,24.2,T243 - T244,309.26036931039033,1.69,136,9.18374492073567,77.5960784777998,AVAILABLE,"LT LINE, 11KV LINE",ROAD,AGRI LAND," dc line ,Lt line, Road ,11Kv line,Agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5960784777998 9.18374492073567, 77.5971627607941 9.18131023512956)"
=1+A82,245,S,,LA,24.2,T244 - T245,294.65042338504423,2.03,137,9.18131023512956,77.5971627607941,AVAILABLE,,,AGRI LAND,"dc line,Agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5971627607941 9.18131023512956, 77.5982547551393 9.17872361158815)"
=1+A83,246,S,,LA,24.2,T245 - T246,310.4285287807566,3.33,138,9.17872361158815,77.5982547551393,AVAILABLE,,ROAD,AGRI LAND,"dc line, Road,Agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5982547551393 9.17872361158815, 77.5993712246418 9.17619753952302)"
=1+A84,247,S,,LA,24.2,T246 - T247,305.3336943346915,3.97,140,9.17619753952302,77.5993712246418,AVAILABLE,,ROAD,AGRI LAND,"dc line, Road,Agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5993712246418 9.17619753952302, 77.6004997640848 9.17354302616945)"
=1+A85,248,S,,LA,24.2,T247 - T248,318.9145912653533,1.97,139,9.17354302616945,77.6004997640848,AVAILABLE,LT LINE,,AGRI LAND,"dc line, Lt line,Agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6004997640848 9.17354302616945, 77.6017369329929 9.17087028848162)"
=1+A86,249,S,,LA,24.2,T248 - T249,325.5821795645815,2.84,140,9.17087028848162,77.6017369329929,AVAILABLE,LT LINE,,AGRI LAND,"dc line, Lt line,Agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6017369329929 9.17087028848162, 77.6028510555625 9.16834680844354)"
=1+A87,250,S,,LA,24.2,T249 - T250,304.96988758892445,2.54,141,9.16834680844354,77.6028510555625,AVAILABLE,,,AGRI LAND,"dc line,Agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6028510555625 9.16834680844354, 77.603941373527 9.16580477473901)"
=1+A88,251,S,,LA,24.2,T250 - T251,305.8142751442426,3.76,139,9.16580477473901,77.603941373527,AVAILABLE,11KV LINE,,AGRI LAND,"dc line, 11kv line,Agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.603941373527 9.16580477473901, 77.6048721000552 9.16366488460314)"
=1+A89,252,S,,LA,24.2,T251 - T252,257.99606687887194,3.98,139,9.16366488460314,77.6048721000552,AVAILABLE,,,AGRI LAND,"dc line,Agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6048721000552 9.16366488460314, 77.6059168204665 9.16127673212919)"
=1+A90,253,S,,LA,24.2,T252 - T253,288.19089682534843,1.54,138,9.16127673212919,77.6059168204665,AVAILABLE,,,AGRI LAND,"dc line,Agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6059168204665 9.16127673212919, 77.6069880276918 9.15877006500909)"
=1+A91,254,T (LILO ),"18°57'0.0""LT",MA,21.95,T253 - T254,301.393014419692,1.87,139,9.15877006500909,77.6069880276918,AVAILABLE,"LT LINE, 33KV LINE",,AGRI LAND,"dc line ,Lt line,33kv line, Road, ( LILO ON VEERASIGAMANI ),Agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6069880276918 9.15877006500909, 77.6088367402553 9.15676617499815)"
=1+A92,255,S,,LA,24.2,T254 - T255,300.86601972481435,3.98,140,9.15676617499815,77.6088367402553,AVAILABLE,LT LINE,,AGRI LAND,"dc line, Lt line,Agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6088367402553 9.15676617499815, 77.6107303798198 9.1547218910237)"
=1+A93,256,S,,LA,24.2,T255 - T256,307.5023351146619,2.45,138,9.1547218910237,77.6107303798198,AVAILABLE,,,AGRI LAND,"dc line,Agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6107303798198 9.1547218910237, 77.6127075031399 9.15256472175882)"
=1+A94,257,S,,LA,24.2,T256 - T257,322.9174002155596,4.67,136,9.15256472175882,77.6127075031399,AVAILABLE,,,AGRI LAND,"dc line,Agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6127075031399 9.15256472175882, 77.6145793497562 9.15055053548256)"
=1+A95,258,S,,LA,24.2,T257 - T258,303.4317207956772,1.92,133,9.15055053548256,77.6145793497562,AVAILABLE,LT LINE-2NOS,ROAD,AGRI LAND,"dc line,Road, Lt line-2nos,Agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6145793497562 9.15055053548256, 77.6162872463464 9.14870614652531)"
=1+A96,259,S,,LA,24.2,T258 - T259,277.39459006444986,1.32,132,9.14870614652531,77.6162872463464,AVAILABLE,,,AGRI LAND,"dc line,Agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6162872463464 9.14870614652531, 77.6180689036846 9.14677667770766)"
=1+A97,260,S,,LA,24.2,T259 - T260,289.81800095925735,4.9,130,9.14677667770766,77.6180689036846,AVAILABLE,LT LINE-2NOS,,AGRI LAND,"dc line, lt line- 2nos,Agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6180689036846 9.14677667770766, 77.6198793947696 9.14474226676229)"
=1+A98,261,S,,LA,24.2,T260 - T261,300.57031843647235,2.91,132,9.14474226676229,77.6198793947696,AVAILABLE,,ROAD,AGRI LAND,"dc line, Road,Agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6198793947696 9.14474226676229, 77.6218263432383 9.14267441150448)"
=1+A99,262,S,,LA,24.2,T261 - T262,313.4103830443084,2.49,132,9.14267441150448,77.6218263432383,AVAILABLE,LT  LINE,,AGRI LAND,"dc line, Lt line,Agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6218263432383 9.14267441150448, 77.6236760616302 9.14062441924032)"
=1+A100,263,S,,LA,24.2,T262 - T263,304.7294842085716,1.57,131,9.14062441924032,77.6236760616302,AVAILABLE,LT LINE,,AGRI LAND,"dc line, Lt line,Agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6236760616302 9.14062441924032, 77.6256350800394 9.13846418533042)"
=1+A101,264,S,,LA,24.2,T263 - T264,321.84257986311593,2.21,132,9.13846418533042,77.6256350800394,AVAILABLE,,,AGRI LAND,"DC line,Good,Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6256350800394 9.13846418533042, 77.6276363432407 9.13633869569104)"
=1+A102,265,S,,LA,24.2,T264 - T265,322.1521695923521,4.59,128,9.13633869569104,77.6276363432407,AVAILABLE,"LT LINE, 11KV LINE",ROAD,AGRI LAND,"DC line,Lt line,11kv line ,Road,Good,Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6276363432407 9.13633869569104, 77.6294961199164 9.13430256998906)"
=1+A103,266,S,,LA,24.2,T265 - T266,304.3362007056381,3.43,128,9.13430256998906,77.6294961199164,AVAILABLE,,,AGRI LAND,"DC line,lt line,road,Good,Agri land,ERT3.43",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6294961199164 9.13430256998906, 77.6314397156238 9.13228331499676)"
=1+A104,267,S,,LA,24.2,T266 - T267,309.2556663296941,3.86,126,9.13228331499676,77.6314397156238,AVAILABLE,,,AGRI LAND,"dc line,Agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6314397156238 9.13228331499676, 77.6337232813239 9.12987376607787)"
=1+A105,268,S,,LA,24.2,T267 - T268,366.3292144738506,1.53,129,9.12987376607787,77.6337232813239,AVAILABLE,,,AGRI LAND,"dc line,Agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6337232813239 9.12987376607787, 77.6351448521017 9.12814082722982)"
=1+A106,269,S,,LA,24.2,T268 - T269,247.44850465900802,2.33,128,9.12814082722982,77.6351448521017,AVAILABLE,"LT LINE, 11KV LINE",,AGRI LAND,"dc line, Lt  lIne,11kv line,Agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6351448521017 9.12814082722982, 77.6368493959307 9.12628043269371)"
=1+A107,270,T (LILO ),"7°59'43.2""LT",MA,21.95,T269 - T270,278.4648232757487,1.42,124,9.12628043269371,77.6368493959307,AVAILABLE,33KV LINE,,AGRI LAND,"dc line ,33kv line,Agri Land, (LILO ON AKALUGUMALAI )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6368493959307 9.12628043269371, 77.6385777443647 9.12487519942665)"
=1+A108,271,S,,LA,24.2,T270 - T271,245.61172245640347,2.88,124,9.12487519942665,77.6385777443647,AVAILABLE,33KV LINE,ROAD,AGRI LAND," dc line, Road,33kv line,Agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6385777443647 9.12487519942665, 77.6402883231639 9.12347658131435)"
=1+A109,272,S,,LA,24.2,T271 - T272,243.63836669338187,3.67,123,9.12347658131435,77.6402883231639,AVAILABLE,LT LINE-2NOS,,AGRI LAND,"DC line, LT LINE-2NOS,HOUSE ,AGRI LAND,GOOD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6402883231639 9.12347658131435, 77.6420384645462 9.12204154377721)"
=1+A110,273,S,,LA,24.2,T272 - T273,249.55946145157696,1.08,123,9.12204154377721,77.6420384645462,AVAILABLE,11KV LINE,,WATER LOGGED AREA,"DC line, PUMP HOUSE,11 KV LINE,WATER LOGGED AREA,POND,GOOD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6420384645462 9.12204154377721, 77.644059844315 9.12039993320613)"
=1+A111,274,S,,LA,24.2,T273 - T274,287.1266460675242,3.23,122,9.12039993320613,77.644059844315,AVAILABLE,11KV LINE-2NOS,ROAD,AGRI LAND,"DC line, 11 KV LINE-2NOS,ROAD CROSSING,AGRI LAND,GOOD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.644059844315 9.12039993320613, 77.6461948826909 9.11862987196843)"
=1+A112,275,S,,LA,24.2,T274 - T275,305.81961605658347,2.98,120,9.11862987196843,77.6461948826909,AVAILABLE,"33KV LINE-2NOS, LT LINE","NALA, ROAD",AGRI LAND,"DC line, 33 KV-2NOS,LTLINE,NALA,ROAD CROSSING,AGRI LAND,GOOD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6461948826909 9.11862987196843, 77.6479865983128 9.11717164211806)"
=1+A113,276,S,,LA,24.2,T275 - T276,254.72622973687876,3.33,118,9.11717164211806,77.6479865983128,AVAILABLE,"LT LINE, 11KV LINE",,AGRI LAND,"DC line,LT&11KV PLINE,AGRI LAND,GOOD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6479865983128 9.11717164211806, 77.6501451060175 9.11535985357787)"
=1+A114,277,S,,LA,24.2,T276 - T277,310.76812735547065,1.57,117,9.11535985357787,77.6501451060175,AVAILABLE,,,AGRI LAND,"DC line,AGRI LAND,GOOD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6501451060175 9.11535985357787, 77.6524098962545 9.11350336493903)"
=1+A115,278,S,,LA,24.2,T277 - T278,322.9154237258724,3.98,115,9.11350336493903,77.6524098962545,AVAILABLE,"33KV LINE-2NOS, LT LINE",ROAD,AGRI LAND,"DC line, 33 KV LINE-2NOS,LTLINE,ROAD CROSSING,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6524098962545 9.11350336493903, 77.6545533165335 9.11177663645939)"
=1+A116,279,S,,LA,24.2,T278 - T279,303.491197121025,4.21,115,9.11177663645939,77.6545533165335,AVAILABLE,,,AGRI LAND,"DC line,AGRI LAND,GOOD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6545533165335 9.11177663645939, 77.6568117365241 9.10991847396201)"
=1+A117,280,S,,LA,24.2,T279 - T280,322.4957461455654,1.9,114,9.10991847396201,77.6568117365241,AVAILABLE,LT LINE,WELL,AGRI LAND,"DC line,LTLINE,WELL,AGRI LAND, GOOD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6568117365241 9.10991847396201, 77.6590865850448 9.1080367973349)"
=1+A118,281,S,,LA,24.2,T280 - T281,325.5513079393744,3.12,115,9.1080367973349,77.6590865850448,AVAILABLE,,,AGRI LAND,"DC line,AGRI LAND,GOOD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6590865850448 9.1080367973349, 77.6612434163689 9.1062282729709)"
=1+A119,282,S,,LA,24.2,T281 - T282,310.4016002019758,3.66,114,9.1062282729709,77.6612434163689,AVAILABLE,,,AGRI LAND,"DC line,AGRI LAND,GOOD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6612434163689 9.1062282729709, 77.6633083820343 9.10446012782119)"
=1+A120,283,S,,LA,24.2,T282 - T283,299.8140908930664,2.21,113,9.10446012782119,77.6633083820343,AVAILABLE,33KV LINE,"WELL, NALA",AGRI LAND,"DC line,WELL,NALA,33 KV LINE,AGRI LAND, GOOD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6633083820343 9.10446012782119, 77.6654799655079 9.10274659779756)"
=1+A121,284,S,,LA,24.2,T283 - T284,305.0001619753894,4.22,113,9.10274659779756,77.6654799655079,AVAILABLE,"LT LINE, 11KV LINE",NALA,AGRI LAND,"DC line,LT LINE,11 KV LINE,NALA,AGRI LAND, GOOD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6654799655079 9.10274659779756, 77.6675251498818 9.10130320060267)"
=1+A122,285,S,,LA,24.2,T284 - T285,275.91892187744077,1.97,112,9.10130320060267,77.6675251498818,AVAILABLE,LT LINE,ROAD,AGRI LAND,"DC line,LT LINE,ROAD CROSSING,AGRI LAND, GOOD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6675251498818 9.10130320060267, 77.6697165146469 9.09930991246883)"
=1+A123,286,S,,LA,24.2,T285 - T286,326.76296074828815,5.43,112,9.09930991246883,77.6697165146469,AVAILABLE,"LT LINE, 33KV LINE",,AGRI LAND,"DC line,LT LINE,33 KV LINE,AGRI LAND, GOOD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6697165146469 9.09930991246883, 77.6718066260218 9.09753842252875)"
=1+A124,287,T,"9°12'34.2""RT",MA,21.95,T286 - T287,302.15982013830484,1.66,109,9.09753842252875,77.6718066260218,AVAILABLE,,,AGRI LAND,"DC line,AGRI LAND, GOOD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6718066260218 9.09753842252875, 77.6736898720264 9.09528489985175)"
=1+A125,288,S,,GCR,27,T287 - T288,324.2248627634672,1.04,110,9.09528489985175,77.6736898720264,AVAILABLE,,,AGRI LAND,"DC line,AGRI LAND,GOOD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6736898720264 9.09528489985175, 77.6755550131201 9.09313167497647)"
=1+A126,289,S,,GCR,27,T288 - T289,314.4637653609423,5.64,110,9.09313167497647,77.6755550131201,AVAILABLE,,,AGRI LAND,"DC line,AGRI LAND,GOOD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6755550131201 9.09313167497647, 77.6773215830326 9.09109166123257)"
=1+A127,290,S,,GCR,27,T289 - T290,297.89402643390525,5.21,106,9.09109166123257,77.6773215830326,AVAILABLE,"400KV DC LINE, LT LINE",LT LINE,AGRI LAND,"DC line,LT LINE,TVL- UDP 0101 TO 0102 400 KV DC LINE CROSSING IN OUR LINE BOTTOM,AGRI LAND,GOOD,( NO EARTH LINE DIRECTLY EARTH WIRE IN DIEMEND SHAPE)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6773215830326 9.09109166123257, 77.679228298366 9.08890331808662)"
=1+A128,291,S,,GCR,27,T290 - T291,320.39577843966083,3.66,106,9.08890331808662,77.679228298366,AVAILABLE,"LT LINE-3NOS,11KV LINE",WELL,AGRI LAND,"DC line, LT LINE-3NOS,11 KV LINE,WELL,AGRI LAND,GOOD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.679228298366 9.08890331808662, 77.6809650287032 9.08690665021637)"
=1+A129,292,S,,GCR,27,T291 - T292,292.1205665423059,3.87,105,9.08690665021637,77.6809650287032,AVAILABLE,,NALA,AGRI LAND,"DC line,NALA,AGRI LAND,GOOD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6809650287032 9.08690665021637, 77.6827084645629 9.0849318218519)"
=1+A130,293,S,,GCR+3,30,T292 - T293,290.7828097550239,1.02,106,9.0849318218519,77.6827084645629,AVAILABLE,,ROAD,AGRI LAND,"DC line,ROAD CROSSING,AGRI LAND,GOOD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6827084645629 9.0849318218519, 77.6844834163785 9.0827599946881)"
=1+A131,294,S,,GCR,27,T293 - T294,309.68227178998853,2.45,103,9.0827599946881,77.6844834163785,AVAILABLE,,,PLAIN LAND,"DC line, PLAIN LAND,GOOD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6844834163785 9.0827599946881, 77.6864665746688 9.08061166063248)"
=1+A132,295,S,,GCR,27,T294 - T295,322.69296432365496,6.87,101,9.08061166063248,77.6864665746688,AVAILABLE,,,PLAIN LAND,"DC line, PLAIN LAND,GOOD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6864665746688 9.08061166063248, 77.688216716051 9.0785017185377)"
=1+A133,296,S,,GCR,27,T295 - T296,302.65619624416524,2.05,103,9.0785017185377,77.688216716051,AVAILABLE,LT LINE,,AGRI LAND,"DC line,LT LINE,AGRI LAND,GOOD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.688216716051 9.0785017185377, 77.6898967847228 9.07663841712535)"
=1+A134,297,S,,GCR,27,T296 - T297,276.92662243994846,6.77,102,9.07663841712535,77.6898967847228,AVAILABLE,LT LINE,,AGRI LAND,"DC line,LT LINE,AGRI LAND,GOOD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6898967847228 9.07663841712535, 77.691578194499 9.07472676840899)"
=1+A135,298,S,,GCR+3,30,T297 - T298,281.0318946774931,7.66,102,9.07472676840899,77.691578194499,AVAILABLE,,ROAD,PLAIN LAND,"DC line,ROAD CROSSING, PLAIN LAND, GOOD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.691578194499 9.07472676840899, 77.693975 9.072682)"
=1+A136,299,S,,GCR,27,T298 - T299,323.5842027201615,2.66,101,9.072682,77.693975,AVAILABLE,,WELL,AGRI LAND,"DC line,WELL,AGRI LAND,GOOD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.693975 9.072682, 77.695359 9.070373)"
=1+A137,300,S,,GCR,27,T299 - T300,321.2402396960521,3.21,99,9.070373,77.695359,AVAILABLE,LT LINE-2NOS,,AGRI LAND,"DC line, LT LINE-2NOS, FENCING,AGRI LAND,GOOD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.695359 9.070373, 77.6974934712052 9.06821503506748)"
=1+A138,301,S,,GCR,27,T300 - T301,326.20589802450786,3.22,100,9.06821503506748,77.6974934712052,AVAILABLE,LT LINE,,AGRI LAND,"DC line,LT LINE,AGRI LAND,GOOD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6974934712052 9.06821503506748, 77.6994099095463 9.06618348781752)"
=1+A139,302,T,"00°00'00""",MA,27,T301 - T302,308.23225922836093,4.33,100,9.06618348781752,77.6994099095463,AVAILABLE,11KV LINE,ROAD,AGRI LAND,"DC line,11 KVLINE,ROAD CROSSING,AGRI LAND, GOOD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6994099095463 9.06618348781752, 77.7013300359249 9.0639065917523)"
=1+A140,303,S,,GCR,27,T302 - T303,328.8285284764568,3.66,95,9.0639065917523,77.7013300359249,AVAILABLE,,,AGRI LAND,"DC line,AGRI LAND, GOOD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7013300359249 9.0639065917523, 77.7025715634226 9.06259514339263)"
=1+A141,304,S,,GCR,27,T303 - T304,199.30951593941626,1.09,96,9.06259514339263,77.7025715634226,AVAILABLE,,,AGRI LAND,"DC line,AGRI LAND,GOOD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7025715634226 9.06259514339263, 77.7044715732336 9.06031988004506)"
=1+A142,305,S,,GCR,27,T304 - T305,327.273758083304,4.87,95,9.06031988004506,77.7044715732336,AVAILABLE,11KV LINE,WELL,AGRI LAND,"DC line,11 KV LINE,WELL,AGRI LAND,GOOD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7044715732336 9.06031988004506, 77.7061167731881 9.05833662797601)"
=1+A143,306,S,,GCR,27,T305 - T306,284.5039190064401,4.6,97,9.05833662797601,77.7061167731881,AVAILABLE,,,AGRI LAND,"DC line,AGRI LAND, GOOD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7061167731881 9.05833662797601, 77.7079698443412 9.05627986151512)"
=1+A144,307,T,"00°00'00""",HCR,24,T306 - T307,305.5869764404065,9.34,94,9.05627986151512,77.7079698443412,AVAILABLE,LT LINE,,PLAIN LAND,"DC line,LT LINE,PLAIN LAND, GOOD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7079698443412 9.05627986151512, 77.709879912436 9.05409660362245)"
=1+A145,308,S,,GCR,27,T307 - T308,320.2336162648016,6.75,94,9.05409660362245,77.709879912436,AVAILABLE,,,PLAIN LAND,"DC line, PLAIN LAND, GOOD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.709879912436 9.05409660362245, 77.7117665112018 9.05191498797601)"
=1+A146,309,S,,GCR,27,T308 - T309,318.40917835541825,5.64,95,9.05191498797601,77.7117665112018,AVAILABLE,,,PLAIN LAND,"DC line,PLAIN LAND,GOOD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7117665112018 9.05191498797601, 77.7139099314808 9.04953006199845)"
