S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken, etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain / Hilly/  Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
19,16,,S,A+0,26,15-16,301.0856282,2.59,FALSE,99.081551,,9.831093919,78.47170497,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.47170497479459 9.831093919170005, 78.47121597456514 9.82889693852242)"
20,17,,T,B+0,28,16-17,248.9881357,0.15,FALSE,101.925095,"4°51'36"" L",9.828896939,78.47121597,GOOD,AVAILABLE,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.47121597456514 9.82889693852242, 78.47044701877083 9.826415895165484)"
21,18,,S,A+0,26,17-18,287.250034,0.58,FALSE,103.945618,,9.826415895,78.47044702,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.47044701877083 9.826415895165484, 78.46959298665948 9.823647939260677)"
22,19,,S,A+0,26,18-19,320.3447318,1.77,FALSE,105.553268,,9.823647939,78.46959299,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.46959298665948 9.823647939260677, 78.46879704113695 9.820957935057534)"
23,20,,S,A+0,26,19-20,310.2509446,0.63,FALSE,103.498276,,9.820957935,78.46879704,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.46879704113695 9.820957935057534, 78.46799900013875 9.818319898652986)"
24,21,,S,A+0,26,20-21,304.8031596,3.43,FALSE,102.216835,,9.818319899,78.467999,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.46799900013875 9.818319898652986, 78.46728704128577 9.815780936348414)"
25,22,,S,A+0,26,21-22,291.6460542,0.71,FALSE,99.023758,,9.815780936,78.46728704,GOOD,AVAILABLE,,CANEL,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.46728704128577 9.815780936348414, 78.46647097919572 9.812919941320784)"
26,23,,S,A+0,26,22-23,329.0468434,2.63,FALSE,100.423576,,9.812919941,78.46647098,GOOD,AVAILABLE,,VILLAGE ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.46647097919572 9.812919941320784, 78.46572599564433 9.810395898801685)"
27,24,,S,A+0,26,23-24,291.0537764,0.04,FALSE,102.268639,,9.810395899,78.465726,GOOD,AVAILABLE,,VILLAGE ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.46572599564433 9.810395898801685, 78.46493398961644 9.807442954298129)"
28,25,,S,A+0,26,24-25,338.1620184,0.43,FALSE,103.098816,,9.807442954,78.46493399,GOOD,AVAILABLE,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.46493398961644 9.807442954298129, 78.4642419796929 9.804967945914013)"
29,26,,S,A+0,26,25-26,284.2417538,1.36,FALSE,105.524834,,9.804967946,78.46424198,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.4642419796929 9.804967945914013, 78.46358802360973 9.802662922527471)"
30,27,2W,T,B+0,28,26-27,264.9998961,0.92,FALSE,105.842674,"68°15'36"" L",9.802662923,78.46358802,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.46358802360973 9.802662922527471, 78.46377301221223 9.800880929934655)"
31,28,,S,A+0,26,27-28,198.2524907,0.76,FALSE,105.971176,,9.80088093,78.46377301,GOOD,AVAILABLE,,VILLAGE ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.46377301221223 9.800880929934655, 78.4639089666813 9.799278896799668)"
32,29,,T,B+0,28,28-29,177.9210121,2.81,FALSE,106.575996,"67°38'24"" R",9.799278897,78.46390897,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.4639089666813 9.799278896799668, 78.46297203754797 9.796416895937364)"
33,30,,S,A+0,26,29-30,333.0111486,0.34,FALSE,104.639297,,9.796416896,78.46297204,GOOD,AVAILABLE,3 LT ,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.46297203754797 9.796416895937364, 78.4620470107171 9.793639887573967)"
34,31,,S,A+0,26,30-31,323.6662161,1.06,FALSE,106.042679,,9.793639888,78.46204701,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.4620470107171 9.793639887573967, 78.46118803328301 9.791144930253234)"
35,32,,S,A+0,26,31-32,291.7683119,2.82,FALSE,109.039902,,9.79114493,78.46118803,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.46118803328301 9.791144930253234, 78.46023098758207 9.788382925494702)"
36,33,,S,A+0,26,32-33,323.2161475,7.61,FALSE,112.405807,,9.788382925,78.46023099,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.46023098758207 9.788382925494702, 78.45922901488036 9.785613963754505)"
37,34,,S,A+0,26,33-34,325.5776323,4.71,FALSE,112.394249,,9.785613964,78.45922901,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.45922901488036 9.785613963754505, 78.45830801136299 9.783028900972143)"
38,35,,T,B+0,28,34-35,303.4238148,1.49,FALSE,110.795593,"28°15'0"" L",9.783028901,78.45830801,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.45830801136299 9.783028900972143, 78.45776000253548 9.782532943738797)"
39,36,,T,B+0,28,35-36,81.43333094,6.63,FALSE,111.658646,"27°27'0"" R",9.782532944,78.45776,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.45776000253548 9.782532943738797, 78.45679700568336 9.779906893448697)"
40,37,,S,A+0,26,36-37,309.250226,1.87,FALSE,115.843056,,9.779906893,78.45679701,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.45679700568336 9.779906893448697, 78.45585798107426 9.777281932806154)"
41,38,,S,A+0,26,37-38,308.2474091,0.76,FALSE,116.19931,,9.777281933,78.45585798,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.45585798107426 9.777281932806154, 78.45481896036063 9.774451950809148)"
42,39,,S,A+0,26,38-39,333.3133273,3.1,FALSE,112.330879,,9.774451951,78.45481896,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.45481896036063 9.774451950809148, 78.45382101097243 9.77168089359316)"
