S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,LILO,3W,T,DC on DC,32,,,-,78,,8.684150241,77.52658579,GOOD,,,,PLAIN,COMMON TOWER FOR KAYATHAR - VEERAVANALLUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5265857949852 8.68415024131536, 77.5255128275603 8.68313108570873)"
2,TN - 114,,T,DC on DC,41,TN - 111 : TN - 110,165.3352885,1.8,77,20°15'44''RT,8.683131086,77.52551283,GOOD,AVAILABLE,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5255128275603 8.68313108570873, 77.5250890385359 8.68227026425302)"
3,TN - 113,,T,DC on DC,41,TN - 110 : TN - 109,108.0752462,1.27,78,8°3'24''RT,8.682270264,77.52508904,GOOD,AVAILABLE,,RAILWAY,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5250890385359 8.68227026425302, 77.5242829509079 8.67981201969087)"
4,TN - 112,,S,DC on DC,32,TN - 109 : TN - 108,288.1465661,0.97,79,,8.67981202,77.52428295,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5242829509079 8.67981201969087, 77.5233886018395 8.6770767532289)"
5,TN - 111,,S,DC on DC,32,TN - 108 : TN - 107,320.3047434,2.03,76,,8.677076753,77.5233886,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5233886018395 8.6770767532289, 77.522594500333 8.67469905875623)"
6,TN - 110,,T,DC on DC,32,TN - 107 : TN - 106,279.26717,3.8,75,1°3'54''RT,8.674699059,77.5225945,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.522594500333 8.67469905875623, 77.521724877879 8.67192464880645)"
7,TN - 109,,T,DC on DC,32,TN - 106 : TN - 105,323.6053813,2.64,78,55°53'23''LT,8.671924649,77.52172488,GOOD,AVAILABLE,,"RIVER, MUD ROAD",PLAIN,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.521724877879 8.67192464880645, 77.518958011642 8.67109416984021)"
8,TN - 108,,S,DC on DC,32,TN - 105 : TN - 104,320.2352485,1.72,82,,8.67109417,77.51895801,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.518958011642 8.67109416984021, 77.5162755511701 8.67026670835912)"
9,TN - 107,,S,DC on DC,32,TN - 104 : TN - 103,311.2494,3.17,87,,8.670266708,77.51627555,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5162755511701 8.67026670835912, 77.5137636624276 8.66949255578219)"
10,TN - 106,2W,T,DC on DC,32,TN - 103 : TN - 102,291.5622269,3.16,87,0°10'20''LT,8.669492556,77.51376366,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5137636624276 8.66949255578219, 77.5110506918281 8.6686653457582)"
11,TN - 105,,S,DC on DC,32,TN - 102 : TN - 101,314.451818,3.73,91,,8.668665346,77.51105069,GOOD,AVAILABLE,LT - 2N,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5110506918281 8.6686653457582, 77.508241161704 8.66778717376291)"
12,TN - 104,,S,DC on DC,32,TN - 101 : TN - 100,326.2782088,2.24,92,,8.667787174,77.50824116,GOOD,AVAILABLE,LT - 2N,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.508241161704 8.66778717376291, 77.5054691825062 8.66693775169551)"
13,TN - 103,,S,DC on DC,32,TN - 100 : TN - 99,321.3849232,1.06,87,,8.666937752,77.50546918,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5054691825062 8.66693775169551, 77.5027909968048 8.66610693745315)"
14,TN - 102,,T,DC on DC,32,TN - 99 : TN - 98,310.9099966,3.29,92,0°18'14''LT,8.666106937,77.502791,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5027909968048 8.66610693745315, 77.5004618335515 8.66539791226387)"
15,TN - 101,,S,DC on DC,32,TN - 98 : TN - 97,270.2113244,2.89,88,,8.665397912,77.50046183,GOOD,AVAILABLE,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5004618335515 8.66539791226387, 77.4983740691095 8.66475091315805)"
16,TN - 100,,S,DC on DC,32,TN - 97 : TN - 96,242.7873796,1.54,88,,8.664750913,77.49837407,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4983740691095 8.66475091315805, 77.4960698001086 8.66403711028397)"
