S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length (m),Footing Resistance of Tower ( Ohms),,Ground Elevation(m),"Deviation Angle 
(Degrees)",Latitude,Longitude,"Condition of  Tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/  Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
105,17,,T,DB+0,22,20-21,77,3.98,FALSE,303.4195557,6°24'29''RT,10.43896236,77.84158484,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8415848407894 10.438962355256, 77.8436125908046 10.4399435408413)"
106,18,,T,DC+0,22,21-22,252,4.72,FALSE,294.0467529,32°37'14''LT,10.43994354,77.84361259,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8436125908046 10.4399435408413, 77.8450070042163 10.4422110971063)"
107,19,,T,DD+0,24,22-23,299,4.87,FALSE,292.364502,35°26'27''RT,10.4422111,77.845007,Good,Good,"2-22KV,LT","ROAD, RAILWAY CROSSING",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8450070042163 10.4422110971063, 77.8473067469894 10.443188175559)"
108,20,,S,DA+0,24,23-24,278,4.19,FALSE,285.8756104,,10.44318818,77.84730675,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8473067469894 10.443188175559, 77.8493449743837 10.4440545290708)"
109,21,,S,DA+0,24,24-DP 1,247,9.35,FALSE,288.2789307,,10.44405453,77.84934497,Good,Good,,POND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8493449743837 10.4440545290708, 77.8510710597038 10.4447721038013)"
110,22,,T,DC+0,22,DP 1-DP 2,209,9.26,FALSE,287.5578613,32°22'6''LT,10.4447721,77.85107106,Good,Good,22KV,THAR ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8510710597038 10.4447721038013, 77.8525113221257 10.44681946747)"
111,23,,S,DA+0,24,DP 2-25,281,3.65,FALSE,288.9998779,,10.44681947,77.85251132,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8525113221257 10.44681946747, 77.8534637577831 10.4482010565698)"
112,24,,T,DC+0,22,25-26,190,5.32,FALSE,291.1628418,25°29'57''LT,10.44820106,77.85346376,Good,Good,,MUD ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8534637577831 10.4482010565698, 77.8535800985991 10.4489441122859)"
113,DP 1,,T,DD+0,24,26-27,88,6.32,FALSE,291.4030762,44°54'50''RT,10.44894411,77.8535801,Good,Good,230KV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8535800985991 10.4489441122859, 77.8537244349718 10.4490489698946)"
114,DP 2,,T,DC+0,22,27-28,24,5.89,FALSE,291.4030762,15°37'55''RT,10.44904897,77.85372443,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8537244349718 10.4490489698946, 77.8540186397731 10.4491586890071)"
115,25,,T,DD+0,24,28-29,39,1.21,FALSE,292.8450928,66°32'17''LT,10.44915869,77.85401864,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8540186397731 10.4491586890071, 77.8541302029043 10.4514026083052)"
116,26,,S,DA+0,24,29-30,254,3.33,FALSE,294.5273438,,10.45140261,77.8541302,Good,Good,LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8541302029043 10.4514026083052, 77.8542488068342 10.4544925969094)"
117,27,,S,DA+0,24,30-31,348,2.12,FALSE,283.7125244,,10.4544926,77.85424881,Good,Good,LT,THAR ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8542488068342 10.4544925969094, 77.8543734457343 10.4572002869099)"
118,28,2W,T,DB+0,22,31-32,306,5.63,FALSE,286.3563232,13°25'5''RT,10.45720029,77.85437345,Good,Good,LT,MUD ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8543734457343 10.4572002869099, 77.85514684394 10.4598652292042)"
119,29,,S,DA+0,24,32-33,313,0.56,FALSE,292.364502,,10.45986523,77.85514684,Good,Good,22KV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.85514684394 10.4598652292042, 77.8557387739419 10.4619661532342)"
120,30,,T,DB+0,22,33-34,247,0.86,FALSE,293.0854492,4°55'53''RT,10.46196615,77.85573877,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8557387739419 10.4619661532342, 77.8564322087913 10.4638005327433)"
121,31,,S,DA+0,24,34-35,222,1.12,FALSE,292.364502,,10.46380053,77.85643221,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8564322087913 10.4638005327433, 77.8573488537222 10.466167749837)"
122,32,,S,DA+0,24,35-36,286,9.25,FALSE,289.4804688,,10.46616775,77.85734885,Good,Good,22KV,THAR ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8573488537222 10.466167749837, 77.8582207392901 10.468443185091)"
123,33,,S,DA+0,24,36-37,275,3.6,FALSE,294.7677002,,10.46844319,77.85822074,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8582207392901 10.468443185091, 77.8592264838516 10.4711251426488)"
124,34,,T,DB+0,22,37-38,322,2.85,FALSE,292.6047363,0°57'19''RT,10.47112514,77.85922648,Good,Good,,THAR ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8592264838516 10.4711251426488, 77.8600386064499 10.4731848277151)"
125,35,,S,DA+0,24,38-39,250,3.16,FALSE,289.4804688,,10.47318483,77.86003861,Good,Good,22KV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8600386064499 10.4731848277151, 77.8609088156372 10.4754165932536)"
126,36,2W,T,DB+0,22,39-40,270,2.85,FALSE,290.4418945,6°45'41''RT,10.47541659,77.86090882,Good,Good,LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8609088156372 10.4754165932536, 77.8619791008532 10.4774202872067)"
127,37,,S,DA+0,24,40-41,256,3.32,FALSE,289.2402344,,10.47742029,77.8619791,Good,Good,LT,THAR ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8619791008532 10.4774202872067, 77.8629653993994 10.4792433511465)"
128,38,,S,DA+0,24,41-42,234,2.6,FALSE,289.2402344,,10.47924335,77.8629654,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8629653993994 10.4792433511465, 77.8639774303883 10.481131458655)"
129,39,,S,DA+0,24,42-43,242,3.65,FALSE,285.6352539,,10.48113146,77.86397743,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8639774303883 10.481131458655, 77.8651805687695 10.4833392519503)"
130,40,,S,DA+0,24,43-44,283,3.18,FALSE,290.9224854,,10.48333925,77.86518057,Good,Good,400KV,,,THAPAKUNDU-ANIKADAVU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8651805687695 10.4833392519503, 77.8662747424095 10.4853188898414)"
131,41,,S,DA+0,24,44-45,255,4.12,FALSE,286.8369141,,10.48531889,77.86627474,Good,Good,765KV,,,POWERGRID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8662747424095 10.4853188898414, 77.8673262521624 10.4873350728303)"
132,42,,S,DA+0,24,45-46,256,4.96,FALSE,295.4886475,,10.48733507,77.86732625,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8673262521624 10.4873350728303, 77.8683873172849 10.4892599768936)"
133,43,,S,DA+0,24,46-47,248,1.38,FALSE,287.0772705,,10.48925998,77.86838732,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8683873172849 10.4892599768936, 77.8693500626832 10.4910518601536)"
134,44,2W,T,DB+0,22,47-48,230,4.8,FALSE,290.9224854,0°15'26''RT,10.49105186,77.86935006,Good,Good,LT,THAR ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8693500626832 10.4910518601536, 77.8699919488281 10.4922337085008)"
135,45,,T,DB+0,22,48-49,153,5.16,FALSE,282.2706299,10°17'56''RT,10.49223371,77.86999195,Good,Good,22KV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8699919488281 10.4922337085008, 77.8713587019592 10.4939307086169)"
136,46,,S,DA+0,24,49-50,245,5.86,FALSE,271.4559326,,10.49393071,77.8713587,Good,Good,LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8713587019592 10.4939307086169, 77.8727126307785 10.4955498408526)"
137,47,,S,DA+0,24,50-51,238,2.36,FALSE,268.8123779,,10.49554984,77.87271263,Good,Good,LT,THAR ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8727126307785 10.4955498408526, 77.8741435054689 10.4972843918949)"
138,48,,S,DA+0,24,51-52,253,1.46,FALSE,265.9283447,,10.49728439,77.87414351,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8741435054689 10.4972843918949, 77.8758410923182 10.4993323422968)"
139,49,,S,DA+0,24,52-DP 1,298,5.56,0,261.6025391,,10.49933234,77.87584109,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8758410923182 10.4993323422968, 77.877531806007 10.5013748444616)"
140,50,,T,DB+0,22,DP 1-DP 2,297,7.12,0,260.1605225,14°38'17''LT,10.50137484,77.87753181,Good,Good,"LT,22KV",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.877531806007 10.5013748444616, 77.8785490337759 10.5035648681223)"
141,51,,S,DA+0,24,DP 2-53,272,6.8,FALSE,258.237915,,10.50356487,77.87854903,Good,Good,2-LT,MUD ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8785490337759 10.5035648681223, 77.8795981965959 10.5058545526117)"
142,52,,T,DD+0,24,53-54,284,5.62,FALSE,255.3540039,49°9'22''RT,10.50585455,77.8795982,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8795981965959 10.5058545526117, 77.8793578874319 10.5063775833696)"
