S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length (m),Footing Resistance of Tower ( Ohms),,Ground Elevation(m),"Deviation Angle 
(Degrees)",Latitude,Longitude,"Condition of  Tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/  Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
171,79,,S,DA+0,24,82-83,273,2.17,FALSE,273.8592529,,10.56073288,77.89596654,Good,Good,LT,THAR ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8959665447473 10.5607328843325, 77.8963374439626 10.5625500809401)"
172,80,,S,DA+0,24,83-84,211,3.12,FALSE,275.5415039,,10.56255008,77.89633744,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8963374439626 10.5625500809401, 77.8967466484755 10.5648499075323)"
173,81,,T,DD+0,24,84-85,264,0.89,FALSE,274.8205566,62°43'41''RT,10.56484991,77.89674665,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8967466484755 10.5648499075323, 77.8987530246376 10.5654677376151)"
174,82,,S,DA+0,24,85-86,234,1.2,FALSE,272.4172363,,10.56546774,77.89875302,Good,Good,2-LT,THAR ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8987530246376 10.5654677376151, 77.9008488357067 10.5661110486835)"
175,83,,S,DA+0,24,86-87,245,2.56,FALSE,270.7349854,,10.56611105,77.90084884,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9008488357067 10.5661110486835, 77.9028885718435 10.5667343270033)"
176,84,,S,DA+0,24,87-88,238,1.89,FALSE,266.649292,,10.56673433,77.90288857,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9028885718435 10.5667343270033, 77.9049689602106 10.5673743691295)"
177,85,,S,DA+0,24,88-89,243,2.18,FALSE,261.8427734,,10.56737437,77.90496896,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9049689602106 10.5673743691295, 77.9073533602058 10.5681344401091)"
178,86,,S,DA+0,24,89-83/89/01 LILO MINUKAMPATTY,278,3.16,FALSE,257.5169678,,10.56813444,77.90735336,Good,Good,,POND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9073533602058 10.5681344401091, 77.9093581438064 10.5687441397458)"
179,87,,S,DA+0,24,83/89/01 LILO MINUKAMPATTY-90,234,1.56,FALSE,258.7185059,,10.56874414,77.90935814,Good,Good,LT,THAR ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9093581438064 10.5687441397458, 77.9113878216594 10.5693436134606)"
180,88,,S,DA+0,24,90-91,236,2.86,FALSE,258.237915,,10.56934361,77.91138782,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9113878216594 10.5693436134606, 77.9124745354056 10.5712216626852)"
181,89,,S,DA+0,24,91-92,245,1.96,FALSE,256.7958984,,10.57122166,77.91247454,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9124745354056 10.5712216626852, 77.9131339397281 10.5721051152795)"
182,83/89/01 LILO MINUKAMPATTY,3W,T,DB+0,22,92-93,126,3.22,FALSE,258.7185059,11°13'17''LT,10.57210512,77.91313394,Good,Good,,,,LILO MINUKAMPATTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9131339397281 10.5721051152795, 77.9136547073721 10.5731988698244)"
183,90,,S,DA+0,24,93-94,139,3.25,FALSE,253.9121094,4°24'16''RT,10.57319887,77.91365471,Good,NO E/W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9136547073721 10.5731988698244, 77.9145187139511 10.5747019127011)"
184,91,,S,DA+0,24,94-95,196,6.75,FALSE,251.508667,,10.57470191,77.91451871,Good,Good,,THAR ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9145187139511 10.5747019127011, 77.9157834593206 10.5767967179417)"
185,92,,S,DA+0,24,95-96,275,2.13,FALSE,254.3927002,,10.57679672,77.91578346,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9157834593206 10.5767967179417, 77.9167368169873 10.5784002598375)"
186,93,,T,DC+0,22,96-97,211,5.13,FALSE,250.7877197,26°10'52''LT,10.57840026,77.91673682,Good,Good,"LT,22KV",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9167368169873 10.5784002598375, 77.9169094003736 10.5806792993098)"
187,94,,S,DA+0,24,97-98,259,2.79,FALSE,250.5473633,,10.5806793,77.9169094,Good,Good,,THAR ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9169094003736 10.5806792993098, 77.9170829057693 10.5825697537511)"
188,95,,T,DB+0,22,98-99,216,3.99,FALSE,251.508667,2°59'7''LT,10.58256975,77.91708291,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9170829057693 10.5825697537511, 77.9171619471162 10.5846021138131)"
189,96,,S,DA+0,24,99-100,231,6.1,FALSE,251.7490234,,10.58460211,77.91716195,Good,Good,LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9171619471162 10.5846021138131, 77.9172792937606 10.5868337955325)"
190,97,,T,DC+0,22,100-101,253,4.9,FALSE,262.0831299,33°10'12''RT,10.5868338,77.91727929,Good,Good,22KV,THAR ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9172792937606 10.5868337955325, 77.9189730249345 10.5891277547925)"
191,98,,S,DA+0,24,101-102,320,6.72,FALSE,253.6717529,,10.58912775,77.91897302,Good,Good,"LT,22KV",THAR ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9189730249345 10.5891277547925, 77.9198976326733 10.5904049053788)"
192,99,,S,DA+0,24,102-103,179,8.91,FALSE,252.7104492,,10.59040491,77.91989763,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9198976326733 10.5904049053788, 77.921249885112 10.592427290976)"
193,100,,T,DC+0,22,103-104,274,9.21,FALSE,247.1827393,27°17'30''RT,10.59242729,77.92124989,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.921249885112 10.592427290976, 77.9227696917951 10.5932684149593)"
194,101,,S,DA+0,24,104-105,195,7.31,FALSE,238.5311279,,10.59326841,77.92276969,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9227696917951 10.5932684149593, 77.9254080634564 10.5947515089064)"
195,102,,S,DA+0,24,105-106,337,6.25,FALSE,239.732666,,10.59475151,77.92540806,Good,Good,,MUD ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9254080634564 10.5947515089064, 77.927767150104 10.5960324313491)"
196,103,,S,DA+0,24,106-107,299,5.92,FALSE,244.2989502,,10.59603243,77.92776715,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.927767150104 10.5960324313491, 77.9298633802682 10.5972067359834)"
197,104,,S,DA+0,24,107-108,268,4.13,FALSE,230.1195068,,10.59720674,77.92986338,Good,Good,,MUD ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9298633802682 10.5972067359834, 77.9317223187536 10.5982900969684)"
198,105,,S,DA+0,24,108-83/109,241,5.45,FALSE,232.5228271,,10.5982901,77.93172232,Good,Good,,THAR ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9317223187536 10.5982900969684, 77.9342604428529 10.5996876116842)"
199,106,,T,DC+0,22,83/109-R-GAT,322,3.34,0,231.0808105,28°36'60''LT,10.59968761,77.93426044,Good,Good,LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9342604428529 10.5996876116842, 77.9346577450633 10.6003097165375)"
200,107,,T,DB+0,22,R-GAT-TOTAL KM ,86,4.99,FALSE,227.956543,6°11'25''LT,10.60030972,77.93465775,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9346577450633 10.6003097165375, 77.9353803489357 10.6017692573368)"
201,108,,T,DD+0,24,TOTAL KM -,185,7.19,FALSE,228.1968994,67°23'32''RT,10.60176926,77.93538035,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9353803489357 10.6017692573368, 77.9343698266893 10.6018301937729)"
202,83/109,,T,DB+0,22,-,115,5.16,FALSE,224.1113281,0°59'23''LT,10.60183019,77.93436983,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9343698266893 10.6018301937729, 77.9341484606266 10.6018397491425)"
203,R-GAT,2W,Gantry,DA+0,24,-,29,NIL,,223.1501465,,10.60183975,77.93414846,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TOTAL KM ,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
