S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,GANTRY,2W,GANTRY,GANTRY,15,,,,63,,8.191038519,77.40558322,GOOD,,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4055832158774 8.19103851914405, 77.4055925197899 8.19119936786592)"
2,TN - 1,,T,DC,26,TN - 4 : TN - 5,19.82723949,7.8,62,15°48'31''RT,8.191199368,77.40559252,GOOD,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4055925197899 8.19119936786592, 77.4053325969725 8.19237199611961)"
3,TN - 2,,T,DC,26,TN - 5 : TN - 6,134.8762852,6.5,61,29°29'19''LT,8.192371996,77.4053326,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4053325969725 8.19237199611961, 77.4058184120804 8.19396195933222)"
4,TN - 3,,T,DC,26,TN - 6 : TN - 7,185.8990664,4.9,56,28°0'20''RT,8.193961959,77.40581841,GOOD,AVAILABLE,LT -2,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4058184120804 8.19396195933222, 77.4056470021605 8.19484256207943)"
5,TN - 4,,T,DC,26,TN - 7 : TN - 8,101.2530572,4.6,54,58°46'46''RT,8.194842562,77.405647,GOOD,AVAILABLE,,"RAILWAY, ROAD",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4056470021605 8.19484256207943, 77.4042416084557 8.19535980932414)"
6,TN - 5,,T,DC,26,TN - 8 : LILO - 46,167.1663181,5.7,55,8°3'31''LT,8.195359809,77.40424161,GOOD,AVAILABLE,"11KV, LT","POND, CANAL, ROAD",AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4042416084557 8.19535980932414, 77.4016528576612 8.19675162434577)"
7,TN - 6,,T,MC,48,LILO - 46 : TN - 47,326.2882771,6.2,54,2°49'43''RT,8.196751624,77.40165286,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4016528576612 8.19675162434577, 77.3999197315424 8.19757590070366)"
8,TN - 7,,T,MC,48,TN - 47 : TN - 48,213.7140861,9.5,55,1°22'37''LT,8.197575901,77.39991973,GOOD,AVAILABLE,,"POND, ROAD",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3999197315424 8.19757590070366, 77.3975972738116 8.19874970242381)"
9,TN - 8,,T,DC,26,TN - 48 : TN - 49,289.0879137,8.7,56,0°16'50''LT,8.198749702,77.39759727,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3975972738116 8.19874970242381, 77.3954610619693 8.19984253495931)"
10,LILO - 46,3W,T,DC,26,TN - 49 : TN - 50,266.7263713,5.3,57,0°54'28''LT,8.199842535,77.39546106,GOOD,AVAILABLE,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3954610619693 8.19984253495931, 77.3927345965057 8.20129226893186)"
11,TN - 47,,T,DC,26,TN - 50 : TN - 51,342.6908713,4.9,84,23°7'31''RT,8.201292269,77.3927346,GOOD,AVAILABLE,"11KV, LT","ROAD, CANAL",HILLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3927345965057 8.20129226893186, 77.3913893848657 8.20140701718628)"
