SL.NO,TOWER NO,Joint Box,Tower Suspension/ Tension,DEVIATION OF ANGLE ('),TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER NO,SPAN LENGTH (Mtrs),EARTH FOOTING RESISTENCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,"CONDITION OF TOWER (Missing parts, broken etc)",CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING OBJECTS,,CONDITION OF AREA ( Plain/Hills/Forest/Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
GANTRY,PAZHAVOOR,2W,,,,,,,,56,8.222995834,77.57313252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.57313252 8.222995834, 77.57296555 8.223038312)"
1,1,,T,"03°20'20""LT",HC,21.94,Gantry Pazhavoor,18.99880438,2.56,56,8.223038312,77.57296555,GOOD,AVAILABLE,,,Agri land,DC TWR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.57296555 8.223038312, 77.57061828 8.22352847)"
2,2,,S,,GC,23.62,T1-T2,264.4034185,2.35,59,8.22352847,77.57061828,GOOD,AVAILABLE,"11 kv Line - 2Nos, LT  Line-2nos",,Agri land,"DC TWR,11 kv Line - 2Nos,LT  Line-2nos",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.57061828 8.22352847, 77.56871793 8.223907796)"
3,3,,S,,GC,23.62,T2-T3,213.6719079,2.47,60,8.223907796,77.56871793,GOOD,AVAILABLE,,CART TRACK,Agri land,DC TWRcart track ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.56871793 8.223907796, 77.56720785 8.224239321)"
4,4,,S,,GC,23.62,T3-T4,170.4767417,2.39,62,8.224239321,77.56720785,GOOD,AVAILABLE,LT LINE,Odai POND,Agri land,"DC TWROdai, pond, LTLine",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.56720785 8.224239321, 77.56558679 8.224558575)"
5,5,3W,T,"44°49'12""RT",KC (LILO ),24,T4-T5,182.1749918,2.67,67,8.224558575,77.56558679,GOOD,AVAILABLE,33KV LINE,CART TRACK,Agri land,"DC TWR,33kv Line, cart track,(LILO on pazhavur to karungulam )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.56558679 8.224558575, 77.56439791 8.226314629)"
6,6,,T,"31°09'57""RT",PC,21.65,T5-T6,234.3971294,2.48,67,8.226314629,77.56439791,GOOD,AVAILABLE,"33KV Line,11KV LINE",,Agri land,"33kv Line,11kv Line",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.56439791 8.226314629, 77.56428659 8.228555439)"
7,7,,T,"00°33'22""LT",PB,20.85,T6-T7,248.2762245,2.64,72,8.228555439,77.56428659,GOOD,AVAILABLE,11KV LINE,CART TRACK,Agri land," cart track, how shed, Fencing-2nos,11kv Line",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.56428659 8.228555439, 77.56414879 8.230873556)"
8,8,,T,"02°07'51""LT",PB,20.85,T7-T8,256.9771031,2.32,70,8.230873556,77.56414879,GOOD,AVAILABLE,,,Agri land,4 to 8 govagarden fencing ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.56414879 8.230873556, 77.56393119 8.233116674)"
9,9,,T,"14°52'19""LT",PB,20.85,T8-T9,249.3843723,2.46,72,8.233116674,77.56393119,GOOD,AVAILABLE,11KV LINE-2,"POND, CART TRACK",Agri land,"11kv Line, cart track,  Pond, 11kv line",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.56393119 8.233116674, 77.56317112 8.235152398)"
