SL.NO,TOWER NO,Joint Box,Tower Suspension/ Tension,DIVATIONN OF  ANGLE ('),TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER LENGTH (Mtrs),SPAN LENGTH (Mtrs),FOOTING RESIDENCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,"CONDITION OF TOWER (Missing parts, broken etc)",CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING OBJECTS,,CONDITION OF AREA ( Plain/Hills/Forest/Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
GANTRY,CHERAMANGALAM,2W,,,,,,,,,8.169470916,77.30097067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30097066921851 8.169470916481158, 77.30099819638876 8.169272366043753)"
1,1,,T,,PC,21.65,Gantry Cheramangalam - T1,22,2.78,36,8.169272366,77.3009982,GOOD,AVAILABLE,11KV LINE,ROAD,PLIAN LAND,"SC LINE Road , 11kv Line, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30099819638876 8.169272366043753, 77.30081118390903 8.16897143188644)"
2,2,,T,"103°09'35""LT",PC+3,24.65,T1-T2,55.7990909,2.48,35,8.168971432,77.30081118,GOOD,AVAILABLE,,,PLIAN LAND,"SC LINE ,House, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30081118390903 8.16897143188644, 77.3018813895139 8.168966103611995)"
3,3,,T,"05°30'23""LT",PB,20.85,T2-T3,117.9820313,2.78,30,8.168966104,77.30188139,GOOD,AVAILABLE,,,PLIAN LAND,"SC LINE  Road , Lt line, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3018813895139 8.168966103611995, 77.30447676441325 8.169202353766439)"
4,4,,T,"06°27'49""RT",PB,20.85,T3-T4,287.3089881,2.44,14,8.169202354,77.30447676,GOOD,AVAILABLE,,,AGRI LAND,"SC LINE, Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30447676441325 8.169202353766439, 77.30694272051774 8.169187715828183)"
5,5,,S,,PA,20.9,T4-T5,271.8550066,1.56,11,8.169187716,77.30694272,GOOD,AVAILABLE,,,AGRI LAND,"SC LINE, Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30694272051774 8.169187715828183, 77.3096634840258 8.169090104820528)"
6,6,,T,"26°37'30""LT",PB,20.85,T5-T6,300.1352894,2.63,10,8.169090105,77.30966348,GOOD,AVAILABLE,,,AGRI LAND,"SC LINE, Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3096634840258 8.169090104820528, 77.31152694620143 8.169917105657728)"
7,7,,S,,PA,20.9,T6-T7,224.8884653,1.7,10,8.169917106,77.31152695,GOOD,AVAILABLE,,,AGRI LAND,"SC LINE, Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.31152694620143 8.169917105657728, 77.31362241873803 8.170961474624978)"
8,8,2W,T,"21°20'35""LT",PB,20.85,T7-T8,258.2971993,2.36,16,8.170961475,77.31362242,GOOD,AVAILABLE,,,AGRI LAND,"SC LINE, Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.31362241873803 8.170961474624978, 77.31538966072733 8.172831540568238)"
9,9,,T,"11°13'49""RT",PB,20.85,T8-T9,284.1967291,2.58,13,8.172831541,77.31538966,GOOD,AVAILABLE,,,AGRI LAND,"SC LINE, Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.31538966072733 8.172831540568238, 77.31667880093096 8.173747481660774)"
