,Tower No,Joint Box,Type,Supspension/ Tenion,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts, broken, etc)","Condition of Earht wire (Missing, Broken etc)",GROUND EARTH AVAILABLE,Crossing Objects,,Condition of Area (Plain/Hilly/ Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,GANTRY 110KV UTHUMALI,2W,GANTRY,GANTRY,20,,,,123,,9.00012981,77.53557322,GOOD,,NO,,,SUBSTATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.53557322 9.00012981, 77.53497258 9.00002551)"
2,T.NO-17,,DC,T,26,GANTRY - 17,67.08203932,1.39,128,"17°8'9.07""",9.00002551,77.53497258,GOOD,MISSING,NO,,,CULTIVATION ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.53497258 9.00002551, 77.53322893 9.00024535)"
3,T.NO-16,,DA,S,29,17-16,193.3726971,6.78,125,,9.00024535,77.53322893,GOOD,GOOD,NO,"33KV ,2nos 11KV",,INSIDE POND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.53322893 9.00024535, 77.53078629 9.00059651)"
4,T.NO-15,,DB,T,24,16-15,271.5326868,5.28,128,"1°58'12.53""",9.00059651,77.53078629,GOOD,GOOD,NO,,MUDROAD,INSIDE POND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.53078629 9.00059651, 77.52839755 9.00085691)"
5,T.NO-14,,DA,S,29,15-14,264.382299,8.5,126,,9.00085691,77.52839755,GOOD,GOOD,NO,,,INSIDE POND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.52839755 9.00085691, 77.52571813 9.0011464)"
6,T.NO-13,,DA,S,26,14-13,296.5215001,7.61,128,,9.0011464,77.52571813,GOOD,GOOD,NO,,NALA,INSIDE POND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.52571813 9.0011464, 77.52386501 9.00131274)"
7,T.NO-12,,DA,S,26,13-Dec,204.7071078,1.86,127,,9.00131274,77.52386501,GOOD,GOOD,NO,,,INSIDE POND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.52386501 9.00131274, 77.5211674 9.00160232)"
8,T.NO-11,,DB,T,24,12-Nov,298.5113063,5.65,127,"8°9'43.75""",9.00160232,77.5211674,GOOD,GOOD,NO,2nos 33KV,,INSIDE POND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5211674 9.00160232, 77.51886268 9.00218742)"
9,T.NO-10,,DA,S,26,11-Oct,261.696389,4.74,128,,9.00218742,77.51886268,GOOD,GOOD,NO,,,INSIDE POND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.51886268 9.00218742, 77.51680342 9.00277985)"
10,T.NO-9,,DA,S,26,10-Sep,235.8495283,6.36,129,,9.00277985,77.51680342,GOOD,GOOD,NO,,,INSIDE POND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.51680342 9.00277985, 77.51442616 9.00339253)"
11,T.NO-8,,DA,S,26,09-Aug,270.1851217,6.06,130,,9.00339253,77.51442616,GOOD,GOOD,NO,33KV,,CULTIVATION ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.51442616 9.00339253, 77.51205822 9.00404127)"
12,T.NO-7,,DB,T,24,08-Jul,270.2239812,5.93,125,"4°30'2.66""",9.00404127,77.51205822,GOOD,GOOD,NO,"LT,11KV",NALA,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.51205822 9.00404127, 77.50941659 9.00454728)"
13,T.NO-6,,DA,S,26,07-Jun,295.9679037,3,132,,9.00454728,77.50941659,GOOD,GOOD,NO,,MUD ROAD,CULTIVATION ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.50941659 9.00454728, 77.50704726 9.0049972)"
14,T.NO-5,,DA,S,26,06-May,265.3770902,4.76,125,,9.0049972,77.50704726,GOOD,GOOD,NO,,,CULTIVATION ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.50704726 9.0049972, 77.50469628 9.00547408)"
15,T.NO-4,,DA,S,26,05-Apr,263.9734835,4.81,129,,9.00547408,77.50469628,GOOD,GOOD,NO,"400KV DC LINE CROSSING ABOVE OUR LINE,33KV",TAAR ROAD,CULTIVATION ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.50469628 9.00547408, 77.50236309 9.00589662)"
16,T.NO-3,,DA,S,26,04-Mar,260.9099462,7.36,132,,9.00589662,77.50236309,GOOD,GOOD,NO,LT,"MUDROAD,NALA",PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.50236309 9.00589662, 77.50012982 9.00630942)"
17,T.NO-2,,DD,T,28,03-Feb,249.9039816,5.62,126,"39°32'12.65""",9.00630942,77.50012982,GOOD,GOOD,NO,,,INSIDE POND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.50012982 9.00630942, 77.49883415 9.00559527)"
18,T.NO-1 LILO 110KV UTHUMALAI,3W,DA,T,26,02-Jan,162.9846619,4.44,128,,9.00559527,77.49883415,GOOD,GOOD,NO,,,INSIDE POND,NEED 3WAY JUNCTION BOX.2EARTH WIRE .ONE IS CONTINUE TO OUR T.NO-2 ANOTHER EARTH WIRE CONNECT TO VEERASIGAMANI - KEELAVEERANAM TOWER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
