S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
21,48,S,DA,26,47-48,301.8497314615934,1.86,100.661407,,9.48261402547359,78.0312839895486,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0312839895486 9.48261402547359, 78.0337689723819 9.48304401710629)"
22,49,T,DC,26,48-49,277.23848537239246,3.1,100.364853,"9°33'24"" R",9.48304401710629,78.0337689723819,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0337689723819 9.48304401710629, 78.0367479845881 9.48306103236973)"
23,50,S,DA,26,49-50,327.42371643263346,3.03,98.535172,,9.48306103236973,78.0367479845881,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0367479845881 9.48306103236973, 78.0396130029112 9.48305801488459)"
24,51,S,DA,26,50-51,314.88877569887177,4.08,96.577629,,9.48305801488459,78.0396130029112,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0396130029112 9.48305801488459, 78.0422259774059 9.48307000100612)"
25,52,S,DA,26,51-52,287.1893175524012,1.86,95.115761,,9.48307000100612,78.0422259774059,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0422259774059 9.48307000100612, 78.0449729785323 9.48307603597641)"
26,53,S,DA,26,52-53,301.91683979031046,3.31,94.113319,,9.48307603597641,78.0449729785323,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0449729785323 9.48307603597641, 78.0478059779852 9.4830519799143)"
27,54,S,DA,26,53-54,311.378594022085,2.28,94.1929399999999,,9.4830519799143,78.0478059779852,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0478059779852 9.4830519799143, 78.0505559965968 9.48304301127791)"
28,55,S,DA,26,54-55,302.2479104282159,5.36,93.3568879999999,,9.48304301127791,78.0505559965968,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0505559965968 9.48304301127791, 78.0533849727362 9.4830659776926)"
29,56,S,DA,26,55-56,310.93388936480216,1.24,89.983444,,9.4830659776926,78.0533849727362,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0533849727362 9.4830659776926, 78.0564130190759 9.48300998657941)"
30,57,T,DC,26,56-57,332.85952303486,3.01,90.3638839999999,"1°31'51"" L",9.48300998657941,78.0564130190759,GOOD,Available,LT -2NO,CANAL,Water Lpggwd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0564130190759 9.48300998657941, 78.0590340401977 9.48303102515637)"
